"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2284","E02002868","Nottingham 001",2450,33,159,1533,133,16,52,480,15,20,9,94.598,61.598,154.076,1495.248,-37.752,67.685,34.685,154.789,1513.972,-19.028,391.79099,358.79099,122.926,1317.387,-215.61301,633.32703,600.32703,108.595,1169.6219,-363.37799,-0.04245,78684,-0.02595,48078,-0.0249,46176,-0.0084,15570,-0.17039,316055,-0.15389,285449,-0.20771,385289,-0.19121,354683,-21168,-12689,-13870,-5391,-70927,-62448,-129171,-120692,2.12152
"2365","E02002872","Nottingham 005",3393,82,386,1790,208,30,188,641,27,26,15,186.435,104.435,371.25299,1738.319,-51.681,150.81599,68.816,370.767,1757.798,-32.202,655.89203,573.89203,293.59201,1513.922,-276.078,978.341,896.341,256.43399,1346.698,-443.302,-0.06622,122762,-0.03855,71447,-0.04129,76572,-0.01362,25257,-0.24594,456206,-0.21827,404891,-0.26789,496926,-0.24022,445611,-30112,-16748,-22550,-9186,-93163,-79799,-158873,-145509,1.65756
"2491","E02005821","Ashfield 003",2597,42,245,1889,176,13,3,176,14,26,13,113.562,71.562,235.123,1840.5699,-48.43,81.244,39.244,240.02299,1862.5389,-26.461,462.242,420.242,178.133,1612.6379,-276.362,683.36798,641.36798,158.17599,1451.671,-437.32999,-0.03942,73059,-0.02359,43701,-0.02723,50499,-0.0114,21141,-0.13238,245534,-0.11655,216176,-0.16042,297559,-0.14459,268201,-22904,-13877,-16230,-7203,-75904,-66877,-140301,-131274,1.75082
"2516","E02005831","Ashfield 013",3968,73,260,2743,221,78,308,196,15,46,28,178.158,105.158,247.495,2674.449,-68.55,123.358,50.358,253.436,2711.783,-31.217,620.68103,547.68103,180.853,2396.4829,-346.517,940.08398,867.08398,164.97,2173.762,-569.23798,-0.08322,154315,-0.0477,88418,-0.055,102014,-0.01947,36117,-0.2413,447596,-0.20577,381699,-0.30835,572005,-0.27283,506108,-43184,-24240,-29680,-10736,-123314,-104370,-234122,-215178,1.86056
"2574","E02005911","Rushcliffe 006",4062,166,217,3018,177,53,7,402,3,8,11,341.39099,175.39101,203.21899,2892.8999,-125.1,273.51199,107.512,209.59399,2936.625,-81.375,984.61902,818.61902,143.25999,2445.3359,-572.664,1235.088,1069.088,134.506,2247.5969,-770.40302,-0.09173,170112,-0.04582,84942,-0.07545,139954,-0.02953,54784,-0.23053,427619,-0.18461,342449,-0.23274,431729,-0.18683,346559,-74299,-36673,-63727,-26101,-187399,-149773,-278507,-240881,0.92928
"2644","E02005868","Gedling 004",2767,39,270,1809,145,8,9,443,14,17,13,111.069,72.069,259.884,1764.851,-44.149,112.91,73.91,263.70001,1762.651,-46.349,457.48801,418.48801,198.63699,1562.51,-246.49001,722.95203,683.95203,172.776,1393.418,-415.582,-0.04056,75171,-0.02332,43199,-0.03697,68567,-0.01973,36595,-0.13255,245849,-0.11531,213877,-0.16261,301620,-0.14537,269648,-24953,-14162,-26031,-15240,-79044,-68253,-148143,-137352,2.44891
"2735","E02005851","Broxtowe 002",2277,48,373,1424,153,7,17,207,5,31,12,91.625,43.625,363.32501,1399.0229,-24.977,95.648,47.648,364.43799,1395.027,-28.973,301.97601,253.976,301.03601,1291.285,-132.715,511.492,463.492,260.871,1164.371,-259.629,-0.02954,54728,-0.01241,22960,-0.03172,58836,-0.01459,27068,-0.06953,128924,-0.0524,97156,-0.0979,181547,-0.08077,149779,-21791,-9290,-26885,-14384,-50416,-37915,-106128,-93627,2.5656
"2738","E02005846","Bassetlaw 012",2401,147,481,1285,295,33,0,111,22,18,9,235.575,88.575,457.01599,1241.413,-43.587,221.967,74.967,458.61499,1249.052,-35.948,620.00598,473.00601,340.16199,1061.3831,-223.617,747.45697,600.45697,312.69699,986.67798,-298.32199,-0.04551,84377,-0.01368,25340,-0.04313,80011,-0.01131,20974,-0.0739,137057,-0.04208,78020,-0.08131,150804,-0.04948,91767,-24179,-7841,-23201,-6863,-45231,-28893,-73508,-57170,1.6895
"2795","E02005905","Newark and Sherwood 013",2436,48,146,2001,80,51,4,73,0,16,17,101.214,53.214,139.105,1959.3929,-41.607,81.918,33.918,143.116,1973.354,-27.646,276.341,228.341,109.627,1827.286,-173.714,437.21799,389.21799,102.129,1690.047,-310.953,-0.05784,107237,-0.02865,53095,-0.0485,89966,-0.01931,35824,-0.12126,224903,-0.09207,170761,-0.16681,309410,-0.13762,255268,-41234,-20324,-36810,-15900,-90484,-69574,-178255,-157345,0.89007
"2805","E02002876","Nottingham 009",3414,100,277,1892,184,19,340,540,19,19,24,217.778,117.778,265.48499,1828.925,-63.075,159.582,59.582,271.52701,1860.306,-31.694,741.60602,641.60602,205.502,1555.146,-336.854,1049.623,949.62299,180.739,1389.043,-502.957,-0.0732,135714,-0.03809,70579,-0.04809,89189,-0.01297,24054,-0.25598,474835,-0.22086,409700,-0.27112,502940,-0.23601,437805,-33643,-17171,-24654,-8182,-98169,-81697,-156308,-139836,1.6221
"2821","E02005882","Mansfield 003",3588,35,174,2865,239,39,4,188,12,21,11,125.356,90.356,168.061,2795.0959,-69.904,67.792,32.792,168.015,2842.396,-22.604,566.94501,531.94501,133.117,2459.991,-405.009,882.35999,847.35999,116.93,2208.623,-656.37701,-0.05047,93564,-0.03796,70374,-0.01761,32666,-0.00511,9476,-0.19423,360294,-0.18173,337104,-0.23615,438071,-0.22365,414881,-30567,-22340,-13100,-4873,-120826,-112599,-221189,-212962,2.29689
