"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"266811",1,1,1,6.713,2656,142,16,0.00238,1251,84,23258,"E02006537 E02006540",142
"266812",1,1,1,6.797,2624,151,15,0.00221,1267,84,24315,"E02006537 E02006541",151
"266814",1,1,1,20.386,8846,353,252,0.01236,3800,312,73361,"E02006537 E02006598",353
"266815",1,1,1,15.845,7066,290,243,0.01534,2954,264,70668,"E02006537 E02006601",290
"266816",1,1,1,20.284,9120,300,292,0.0144,3781,341,104373,"E02006537 E02006602",300
"266817",1,1,1,9.518,4060,197,106,0.01114,1774,145,39183,"E02006537 E02006603",197
"266819",1,1,1,20.426,10318,414,550,0.02693,3808,433,107789,"E02006537 E02006615",414
"266820",1,1,1,19.545,9984,370,534,0.02732,3643,422,106426,"E02006537 E02006617",370
"266821",1,1,1,18.565,9190,310,471,0.02537,3461,376,130777,"E02006537 E02006619",310
"266822",1,1,1,13.099,5834,323,108,0.00824,2442,183,74750,"E02006537 E02006623",323
"266823",1,1,1,10.849,4812,245,85,0.00783,2022,152,65009,"E02006537 E02006624",245
"266824",1,1,1,10.393,4102,225,20,0.00192,1937,134,35724,"E02006537 E02006625",225
"266825",1,1,1,15.093,5902,308,36,0.00239,2814,195,42218,"E02006537 E02006626",308
"266826",1,1,1,13.512,5328,284,33,0.00244,2519,179,40269,"E02006537 E02006627",284
"266827",1,1,1,11.565,4552,246,25,0.00216,2156,150,36751,"E02006537 E02006628",246
"266828",1,1,1,8.827,3414,185,14,0.00159,1645,109,32059,"E02006537 E02006629",185
"266829",1,1,1,11.601,4534,269,30,0.00259,2163,153,33911,"E02006537 E02006630",269
"266830",1,1,1,10.439,4032,242,23,0.0022,1946,133,30214,"E02006537 E02006631",242
"266831",1,1,1,14.488,5572,305,31,0.00214,2701,188,35566,"E02006537 E02006633",305
"266862",1,1,1,6.151,2648,199,17,0.00276,1147,87,17315,"E02006538 E02006539",199
"266863",1,1,1,4.255,1856,92,9,0.00212,793,57,14303,"E02006538 E02006540",92
"266864",1,1,1,4.339,1824,101,8,0.00184,809,57,15360,"E02006538 E02006541",101
"266865",1,1,1,18.174,7500,338,55,0.00303,3388,252,70962,"E02006538 E02006543",338
"266866",1,1,1,21.604,8628,474,40,0.00185,4027,278,66608,"E02006538 E02006552",474
"266869",1,1,1,14.292,6428,275,218,0.01525,2664,245,69698,"E02006538 E02006601",275
"266870",1,1,1,18.731,8482,285,267,0.01425,3492,323,103403,"E02006538 E02006602",285
"266871",1,1,1,7.965,3422,182,81,0.01017,1485,126,38213,"E02006538 E02006603",182
"266874",1,1,1,24.426,10840,419,337,0.0138,4553,392,81254,"E02006538 E02006615",419
"266875",1,1,1,21.617,10844,416,535,0.02475,4030,454,114512,"E02006538 E02006617",416
"266876",1,1,1,20.761,9192,341,322,0.01551,3870,346,83744,"E02006538 E02006619",341
"266877",1,1,1,12.178,4948,258,25,0.00205,2270,166,33270,"E02006538 E02006623",258
"266878",1,1,1,9.541,3954,199,20,0.0021,1779,133,28900,"E02006538 E02006624",199
"266879",1,1,1,7.935,3302,175,13,0.00164,1479,107,26769,"E02006538 E02006625",175
"266880",1,1,1,11.054,4528,234,26,0.00235,2061,152,31314,"E02006538 E02006627",234
"266881",1,1,1,9.107,3752,196,18,0.00198,1698,123,27796,"E02006538 E02006628",196
"266882",1,1,1,6.369,2614,135,7,0.0011,1187,82,23104,"E02006538 E02006629",135
"266883",1,1,1,7.981,3232,192,16,0.002,1488,106,21259,"E02006538 E02006631",192
"266884",1,1,1,12.03,4772,255,24,0.002,2243,161,26611,"E02006538 E02006633",255
"266904",1,1,1,2.25,832,61,10,0.00444,419,24,3637,"E02006539 E02006540",61
"266905",1,1,1,1.96,776,119,9,0.00459,365,22,2971,"E02006539 E02006541",119
"266906",1,1,1,11.505,5368,352,184,0.01599,2145,193,69668,"E02006539 E02006543",352
"266907",1,1,1,16.323,6638,400,54,0.00331,3043,208,72566,"E02006539 E02006545",400
"266908",1,1,1,16.222,6572,433,51,0.00314,3024,206,61032,"E02006539 E02006552",433
"266910",1,1,1,20.547,9320,383,256,0.01246,3830,311,78064,"E02006539 E02006598",383
"266911",1,1,1,17.122,7800,385,253,0.01478,3192,281,110485,"E02006539 E02006601",385
"266912",1,1,1,15.876,7682,370,296,0.01864,2959,308,115844,"E02006539 E02006602",370
