"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"122673",1,1,1,21.518,8718,510,65,0.00302,4011,274,65996,"E02002487 E02002496",510
"122674",1,1,1,22.76,9458,560,91,0.004,4243,299,71398,"E02002487 E02002506",560
"122675",1,1,1,13.037,5606,298,126,0.00966,2430,193,69005,"E02002487 E02002537",298
"122676",1,1,1,14.086,6168,332,142,0.01008,2626,215,86120,"E02002487 E02002538",332
"122677",1,1,1,17.763,7876,343,229,0.01289,3311,303,77713,"E02002487 E02002539",343
"122678",1,1,1,18.334,8334,497,188,0.01025,3418,287,110778,"E02002487 E02002543",497
"122679",1,1,1,18.686,8482,522,185,0.0099,3483,280,105527,"E02002487 E02002548",522
"122680",1,1,1,22.76,9430,541,89,0.00391,4243,300,70255,"E02002487 E02002551",541
"122683",1,1,1,2.871,1220,48,15,0.00522,535,46,4522,"E02002487 E02006909",48
"122688",1,1,1,1.885,688,45,17,0.00902,351,17,2471,"E02002488 E02002489",45
"122689",1,1,1,2.683,986,56,20,0.00745,500,27,3557,"E02002488 E02002490",56
"122690",1,1,1,2.005,876,48,16,0.00798,374,29,3159,"E02002488 E02002491",48
"122691",1,1,1,3.645,1448,76,26,0.00713,679,42,5292,"E02002488 E02002492",76
"122692",1,1,1,5.511,2192,138,28,0.00508,1027,59,10492,"E02002488 E02002493",138
"122693",1,1,1,4.013,1676,84,30,0.00748,748,56,5983,"E02002488 E02002494",84
"122694",1,1,1,20.458,8780,520,169,0.00826,3814,284,107450,"E02002488 E02002496",520
"122695",1,1,1,21.7,9520,570,195,0.00899,4045,309,112852,"E02002488 E02002506",570
"122697",1,1,1,12.115,5198,289,126,0.0104,2258,175,67694,"E02002488 E02002537",289
"122698",1,1,1,13.164,5760,323,142,0.01079,2454,196,84809,"E02002488 E02002538",323
"122699",1,1,1,16.841,7468,334,229,0.0136,3139,285,76402,"E02002488 E02002539",334
"122700",1,1,1,17.412,7926,488,188,0.0108,3246,269,109467,"E02002488 E02002543",488
"122701",1,1,1,15.104,6700,412,162,0.01073,2816,223,92472,"E02002488 E02002544",412
"122702",1,1,1,17.764,8074,513,185,0.01041,3311,262,104216,"E02002488 E02002548",513
"122703",1,1,1,18.948,8856,613,219,0.01156,3532,289,112814,"E02002488 E02002551",613
"122709",1,1,1,1.912,790,39,13,0.0068,356,28,3160,"E02002488 E02006909",39
"122710",1,1,1,25.324,11128,664,188,0.00742,4721,358,133099,"E02002488 E02006910",664
"122716",1,1,1,1.276,510,43,5,0.00392,238,16,2257,"E02002489 E02002490",43
"122717",1,1,1,2.276,1096,55,21,0.00923,424,41,3397,"E02002489 E02002491",55
"122718",1,1,1,2.94,1338,100,17,0.00578,548,43,9626,"E02002489 E02002492",100
"122719",1,1,1,3.948,1636,115,13,0.00329,736,47,8465,"E02002489 E02002493",115
"122720",1,1,1,4.109,1792,107,37,0.009,766,66,6735,"E02002489 E02002494",107
"122721",1,1,1,20.618,8376,494,62,0.00301,3843,264,64828,"E02002489 E02002496",494
"122722",1,1,1,21.86,9116,544,88,0.00403,4075,289,70230,"E02002489 E02002506",544
"122724",1,1,1,12.211,5314,312,133,0.01089,2276,185,68446,"E02002489 E02002537",312
"122725",1,1,1,13.26,5876,346,149,0.01124,2472,207,85561,"E02002489 E02002538",346
"122726",1,1,1,16.937,7584,357,236,0.01393,3157,295,77154,"E02002489 E02002539",357
"122727",1,1,1,17.508,8042,511,195,0.01114,3264,279,110219,"E02002489 E02002543",511
"122728",1,1,1,15.2,6816,435,169,0.01112,2833,234,93224,"E02002489 E02002544",435
"122729",1,1,1,17.86,8190,536,192,0.01075,3329,272,104968,"E02002489 E02002548",536
"122730",1,1,1,21.86,9088,525,86,0.00393,4075,290,69087,"E02002489 E02002551",525
