"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"132789",1,1,1,8.646,4346,452,180,0.02082,1612,162,30845,"E02002798 E02002812",452
"132790",1,1,1,7.284,3418,427,133,0.01826,1358,106,25253,"E02002798 E02002813",427
"132791",1,1,1,10.966,5626,524,177,0.01614,2044,189,54161,"E02002798 E02002814",524
"132792",1,1,1,10.893,5298,575,235,0.02157,2031,194,33460,"E02002798 E02002816",575
"132793",1,1,1,8.917,4354,499,184,0.02063,1662,154,28323,"E02002798 E02002818",499
"132794",1,1,1,6.782,2642,317,135,0.01991,1264,90,15155,"E02002798 E02002819",317
"132795",1,1,1,6.838,2656,291,131,0.01916,1275,91,15767,"E02002798 E02002820",291
"132796",1,1,1,8.113,3184,348,136,0.01676,1512,112,17685,"E02002798 E02002821",348
"132797",1,1,1,7.564,2970,328,135,0.01785,1410,101,16455,"E02002798 E02002823",328
"132798",1,1,1,12.456,5032,488,175,0.01405,2322,175,25945,"E02002798 E02002824",488
"132801",1,1,1,22.355,10596,531,510,0.02281,4167,441,182864,"E02002798 E02004029",531
"132802",1,1,1,19.088,9880,519,505,0.02646,3558,415,78321,"E02002798 E02004031",519
"132803",1,1,1,18.884,9500,539,495,0.02621,3520,401,50918,"E02002798 E02004032",539
"132804",1,1,1,16.283,8240,443,394,0.0242,3035,345,69766,"E02002798 E02004033",443
"132805",1,1,1,15.312,7910,422,427,0.02789,2854,346,42713,"E02002798 E02004034",422
"132806",1,1,1,16.264,8354,459,449,0.02761,3032,362,54750,"E02002798 E02004035",459
"132807",1,1,1,14.852,7522,421,357,0.02404,2769,315,62254,"E02002798 E02004036",421
"132808",1,1,1,12.044,6140,496,301,0.02499,2245,230,31652,"E02002798 E02004038",496
"132809",1,1,1,12.459,6186,388,308,0.02472,2322,262,41738,"E02002798 E02004039",388
"132810",1,1,1,11.549,5302,332,236,0.02043,2153,204,45118,"E02002798 E02004040",332
"132811",1,1,1,12.029,5628,373,248,0.02062,2242,215,46707,"E02002798 E02004041",373
"132812",1,1,1,9.6,4866,291,251,0.02615,1790,198,26383,"E02002798 E02004043",291
"132813",1,1,1,8.849,4188,427,158,0.01786,1650,139,15984,"E02002798 E02004044",427
"132814",1,1,1,26.197,12418,712,611,0.02332,4883,514,229647,"E02002798 E02004054",712
"132818",1,1,1,11.544,5430,365,278,0.02408,2152,210,39572,"E02002798 E02004080",365
"132819",1,1,1,6.221,2990,176,122,0.01961,1160,126,17810,"E02002798 E02004081",176
"132820",1,1,1,6.827,3098,267,168,0.02461,1273,122,16328,"E02002798 E02004082",267
"132821",1,1,1,10.799,5008,325,299,0.02769,2013,195,35484,"E02002798 E02004083",325
"132822",1,1,1,12.726,5454,418,256,0.02012,2372,195,81281,"E02002798 E02004085",418
"132823",1,1,1,7.724,3236,383,176,0.02279,1440,117,21952,"E02002798 E02004086",383
"132824",1,1,1,15.501,6230,654,184,0.01187,2890,202,30107,"E02002798 E02004089",654
