"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"132790",1,1,1,7.69,4026,432,105,0.01365,1434,103,10323,"E02002798 E02002813"
"132791",1,1,1,12.504,6978,733,235,0.01879,2331,231,18386,"E02002798 E02002814"
"132792",1,1,1,12.179,6722,665,195,0.01601,2270,196,17875,"E02002798 E02002816"
"132793",1,1,1,9.886,5082,503,150,0.01517,1843,155,14414,"E02002798 E02002818"
"132794",1,1,1,7.725,3722,437,95,0.0123,1440,92,9291,"E02002798 E02002819"
"132795",1,1,1,7.636,3866,390,95,0.01244,1423,92,9525,"E02002798 E02002820"
"132796",1,1,1,7.769,3616,407,88,0.01133,1448,94,10028,"E02002798 E02002821"
"132797",1,1,1,8.431,4018,432,95,0.01127,1572,102,10539,"E02002798 E02002823"
"132798",1,1,1,13.08,6386,519,113,0.00864,2438,165,15404,"E02002798 E02002824"
"132801",1,1,1,23.448,15034,812,482,0.02056,4371,459,48777,"E02002798 E02004029"
"132802",1,1,1,21.564,12226,731,415,0.01925,4020,417,46600,"E02002798 E02004031"
"132803",1,1,1,20.147,11496,717,399,0.0198,3756,391,43056,"E02002798 E02004032"
"132804",1,1,1,17.113,10328,626,334,0.01952,3190,340,38271,"E02002798 E02004033"
"132805",1,1,1,16.282,9760,595,309,0.01898,3035,325,36781,"E02002798 E02004034"
"132806",1,1,1,15.854,9546,566,479,0.03021,2955,373,36823,"E02002798 E02004035"
"132807",1,1,1,16.979,9658,645,431,0.02538,3165,370,36986,"E02002798 E02004036"
"132808",1,1,1,13.033,7348,517,381,0.02923,2429,269,27382,"E02002798 E02004038"
"132809",1,1,1,12.187,7216,462,330,0.02708,2272,269,26638,"E02002798 E02004039"
"132810",1,1,1,12.827,7058,449,396,0.03087,2391,273,27750,"E02002798 E02004040"
"132811",1,1,1,11.957,6564,424,388,0.03245,2229,260,26830,"E02002798 E02004041"
"132812",1,1,1,10.754,6564,458,261,0.02427,2005,221,23102,"E02002798 E02004043"
"132813",1,1,1,8.73,4812,397,178,0.02039,1627,144,15596,"E02002798 E02004044"
"132814",1,1,1,25.257,16778,899,791,0.03132,4708,575,54628,"E02002798 E02004054"
"132818",1,1,1,11.484,9964,392,282,0.02456,2141,212,29486,"E02002798 E02004080"
"132819",1,1,1,4.759,3762,157,166,0.03488,887,122,14730,"E02002798 E02004081"
"132820",1,1,1,6.814,3592,300,170,0.02495,1270,123,14987,"E02002798 E02004082"
"132821",1,1,1,10.951,9760,373,259,0.02365,2041,182,28014,"E02002798 E02004083"
"132822",1,1,1,19.188,8320,811,144,0.0075,3577,250,25152,"E02002798 E02004085"
"132823",1,1,1,7.751,3820,392,188,0.02425,1445,123,13789,"E02002798 E02004086"
"132824",1,1,1,19.046,8218,839,132,0.00693,3550,232,22785,"E02002798 E02004089"
"132825",1,1,1,15.61,6710,691,116,0.00743,2910,189,21420,"E02002798 E02004090"
"132826",1,1,1,25.009,11938,903,310,0.0124,4662,362,35692,"E02002798 E02004118"
"132827",1,1,1,21.079,10526,853,305,0.01447,3929,317,28259,"E02002798 E02004119"
"132828",1,1,1,12.635,5576,605,118,0.00934,2355,156,18984,"E02002798 E02004121"
"132829",1,1,1,20.73,11184,776,262,0.01264,3864,298,31100,"E02002798 E02004122"
"132830",1,1,1,17.442,8790,663,193,0.01107,3251,252,22021,"E02002798 E02004123"
"132840",1,1,1,11.231,6286,426,365,0.0325,2094,261,26108,"E02002798 E02006827"
"132841",1,1,1,11.328,8122,417,292,0.02578,2112,212,24725,"E02002798 E02006828"
"132846",1,1,1,4.54,2704,239,84,0.0185,846,75,6889,"E02002799 E02002800"
"132847",1,1,1,1.648,588,74,29,0.0176,307,17,1981,"E02002799 E02002801"
"132848",1,1,1,1.194,366,59,30,0.02513,223,9,1286,"E02002799 E02002802"
"132849",1,1,1,3.375,1868,171,67,0.01985,629,47,4885,"E02002799 E02002803"
"132850",1,1,1,4.684,2574,231,92,0.01964,873,77,6940,"E02002799 E02002806"
"132851",1,1,1,3.074,1180,142,58,0.01887,573,35,4891,"E02002799 E02002807"
"132852",1,1,1,5.092,2970,314,70,0.01375,949,66,6685,"E02002799 E02002808"
"132853",1,1,1,5.71,3206,277,133,0.02329,1064,97,8535,"E02002799 E02002809"
"132854",1,1,1,5.816,3090,350,94,0.01616,1084,86,8113,"E02002799 E02002811"
"132855",1,1,1,7.693,4316,441,129,0.01677,1434,140,12803,"E02002799 E02002812"
"132856",1,1,1,5.549,2762,316,72,0.01298,1034,72,7279,"E02002799 E02002813"
"132857",1,1,1,6.924,2766,371,64,0.00924,1291,73,7902,"E02002799 E02002819"
"132858",1,1,1,6.823,2738,331,66,0.00967,1272,72,8006,"E02002799 E02002820"
"132859",1,1,1,7.143,2906,333,69,0.00966,1332,81,8753,"E02002799 E02002821"
"132860",1,1,1,9.331,4420,453,134,0.01436,1739,128,13639,"E02002799 E02002824"
"132862",1,1,1,12.416,6410,510,392,0.03157,2314,275,25859,"E02002799 E02004038"
"132863",1,1,1,15.466,8550,577,453,0.02929,2883,331,32713,"E02002799 E02004040"
"132864",1,1,1,10.137,5626,451,272,0.02683,1890,227,21579,"E02002799 E02004043"
"132865",1,1,1,8.113,3874,390,189,0.0233,1512,150,14073,"E02002799 E02004044"
"132867",1,1,1,5.082,3180,182,203,0.03994,947,148,13933,"E02002799 E02004081"
"132868",1,1,1,22.683,10374,745,255,0.01124,4228,322,32250,"E02002799 E02004118"
"132874",1,1,1,3.957,2200,184,70,0.01769,738,68,6014,"E02002800 E02002802"
"132875",1,1,1,1.536,960,84,23,0.01497,286,17,2769,"E02002800 E02002803"
"132876",1,1,1,3.353,1838,198,74,0.02207,625,68,5108,"E02002800 E02002804"
"132877",1,1,1,1.972,1114,122,36,0.01826,368,33,3066,"E02002800 E02002806"
"132878",1,1,1,6.022,3062,314,98,0.01627,1123,100,8897,"E02002800 E02002807"
"132879",1,1,1,3.053,1838,161,42,0.01376,569,42,4552,"E02002800 E02002808"
"132880",1,1,1,10.171,4728,510,127,0.01249,1896,163,13140,"E02002800 E02002809"
"132881",1,1,1,5.611,2880,322,109,0.01943,1046,122,8338,"E02002800 E02002810"
"132882",1,1,1,4.082,2170,224,64,0.01568,761,64,6304,"E02002800 E02002811"
"132883",1,1,1,4.988,3046,304,97,0.01945,930,108,10028,"E02002800 E02002812"
"132884",1,1,1,4.612,2450,223,64,0.01388,860,65,6616,"E02002800 E02002813"
"132885",1,1,1,6.795,3396,386,122,0.01795,1267,137,10424,"E02002800 E02002814"
"132886",1,1,1,7.087,3648,417,172,0.02427,1321,145,11033,"E02002800 E02002816"
"132887",1,1,1,8.107,3494,430,80,0.00987,1511,108,9289,"E02002800 E02002819"
"132888",1,1,1,7.077,3226,362,76,0.01074,1319,95,8420,"E02002800 E02002820"
"132889",1,1,1,6.833,3150,354,79,0.01156,1274,96,9220,"E02002800 E02002821"
"132890",1,1,1,7.692,3934,363,114,0.01482,1434,112,12325,"E02002800 E02002824"
"132893",1,1,1,20.258,10608,742,354,0.01747,3776,395,43601,"E02002800 E02004032"
"132894",1,1,1,13.144,6460,542,336,0.02556,2450,273,27927,"E02002800 E02004038"
"132895",1,1,1,8.841,3924,422,133,0.01504,1648,148,16141,"E02002800 E02004044"
"132897",1,1,1,30.702,14958,826,573,0.01866,5723,582,46860,"E02002800 E02004076"
"132898",1,1,1,6.543,3578,254,167,0.02552,1220,162,17624,"E02002800 E02004081"
"132899",1,1,1,19.745,8338,796,141,0.00714,3681,272,25264,"E02002800 E02004085"
"132900",1,1,1,19.603,8236,824,129,0.00658,3654,254,22897,"E02002800 E02004089"
"132901",1,1,1,19.3,8356,556,197,0.01021,3598,269,27730,"E02002800 E02004118"
"132902",1,1,1,33.524,15780,1085,465,0.01387,6249,545,45560,"E02002800 E02004126"
"132912",1,1,1,1.521,630,52,27,0.01775,284,21,2354,"E02002801 E02002802"
"132913",1,1,1,4.283,2378,214,74,0.01728,798,71,6645,"E02002801 E02002803"
"132914",1,1,1,4.061,2426,248,79,0.01945,757,88,6426,"E02002801 E02002805"
"132915",1,1,1,5.582,3164,288,71,0.01272,1041,86,8005,"E02002801 E02002806"
"132916",1,1,1,2.131,1130,112,49,0.02299,397,38,3457,"E02002801 E02002807"
"132917",1,1,1,5.167,3106,286,61,0.01181,963,72,7363,"E02002801 E02002808"
"132918",1,1,1,4.238,2702,228,104,0.02454,790,84,6669,"E02002801 E02002809"
"132919",1,1,1,5.891,3226,322,85,0.01443,1098,91,8791,"E02002801 E02002811"
"132920",1,1,1,7.768,4452,413,120,0.01545,1448,146,13481,"E02002801 E02002812"
"132921",1,1,1,5.624,2898,288,63,0.0112,1048,78,7957,"E02002801 E02002813"
"132922",1,1,1,6.375,2758,340,61,0.00957,1188,80,7543,"E02002801 E02002819"
"132923",1,1,1,6.286,2902,293,61,0.0097,1172,80,7777,"E02002801 E02002820"
"132924",1,1,1,6.494,2880,293,58,0.00893,1211,82,7995,"E02002801 E02002821"
"132925",1,1,1,11.805,5650,405,83,0.00703,2201,152,13371,"E02002801 E02002824"
"132926",1,1,1,17.942,10190,684,372,0.02073,3345,383,39415,"E02002801 E02004033"
"132927",1,1,1,13.862,7210,575,419,0.03023,2584,312,28526,"E02002801 E02004038"
"132928",1,1,1,14.206,8234,529,442,0.03111,2648,321,31500,"E02002801 E02004040"
"132929",1,1,1,11.583,6426,516,299,0.02581,2159,264,24246,"E02002801 E02004043"
"132930",1,1,1,6.528,3980,247,230,0.03523,1217,185,16600,"E02002801 E02004081"
"132931",1,1,1,8.193,4768,380,216,0.02636,1527,171,18737,"E02002801 E02004082"
"132932",1,1,1,22.373,9930,861,161,0.0072,4171,313,29112,"E02002801 E02004083"
"132933",1,1,1,17.913,7584,697,114,0.00636,3339,238,23119,"E02002801 E02004085"
"132934",1,1,1,9.922,4526,420,78,0.00786,1850,131,12117,"E02002801 E02004086"
"132935",1,1,1,17.771,7482,725,102,0.00574,3313,219,20752,"E02002801 E02004089"
"132936",1,1,1,23.591,10884,788,262,0.01111,4398,346,34010,"E02002801 E02004118"
"132937",1,1,1,19.661,9472,738,257,0.01307,3665,301,26577,"E02002801 E02004119"
"132945",1,1,1,2.938,1718,154,37,0.01259,548,46,4517,"E02002802 E02002803"
"132946",1,1,1,4.313,2664,259,50,0.01159,804,72,6041,"E02002802 E02002806"
"132947",1,1,1,2.016,884,94,34,0.01687,376,33,3646,"E02002802 E02002807"
"132948",1,1,1,3.898,2606,257,40,0.01026,727,58,5399,"E02002802 E02002808"
"132949",1,1,1,4.696,2624,223,99,0.02108,875,89,8551,"E02002802 E02002809"
"132950",1,1,1,4.622,2726,293,64,0.01385,862,77,6827,"E02002802 E02002811"
