"","Name","N. commuters (all modes)","Current %","Expected %","Current (n)","Expected (n)","% v. short car","Short trips (%)"
"228","North Hertfordshire",65407,1.871359,1.982342,1224,1297,43.651696,27.2356169828917
"229","Hinckley and Bosworth",54065,2.252844,2.247443,1218,1215,48.99087,28.2178858781097
"230","Sevenoaks",56499,0.810634,1.468993,458,830,43.781914,19.0127258889538
"231","Gravesham",47868,0.940085,2.065034,450,988,43.475533,26.1197459680789
"232","Winchester",57793,1.913727,2.006751,1106,1160,30.251179,26.6606682470195
"233","Birmingham",425748,1.521088,3.115481,6476,13264,36.471405,37.3284196285126
"234","Mole Valley",42785,1.818394,1.981436,778,848,40.090662,23.5316115461026
"235","Derbyshire Dales",35354,1.012615,2.083777,358,737,43.541778,25.6180347344006
"236","Pendle",39498,1.263355,3.175432,499,1254,45.111701,41.7793305990177
"237","Leicester",137987,3.622805,3.862878,4999,5330,32.068586,55.3175299122381
"238","Brentwood",36621,0.882008,1.686322,323,618,41.078454,20.9661123399143
"239","East Staffordshire",55186,3.156598,2.976071,1742,1642,43.287719,40.8527525096945
"240","Northumberland",147827,1.40705,2.254227,2080,3332,44.072155,27.4638597820425
"241","South Northamptonshire",46045,1.0316,1.724052,475,794,49.91715,17.3960256271039
"242","Cheshire East",182448,2.568403,2.415958,4686,4408,46.906342,32.2086293080768
"243","Broxbourne",46481,1.284396,2.098153,597,975,50.023361,26.12035025064
"244","Torridge",29731,1.227675,2.227417,365,662,39.334226,28.7645891493727
"245","East Riding of Yorkshire",159885,3.658254,2.297423,5849,3673,40.348761,27.8362573099415
"246","Daventry",39789,1.357159,2.050097,540,816,50.278669,23.8885119002739
"247","Barrow-in-Furness",31344,5.178025,4.140209,1623,1298,41.965567,63.8878254211332
"248","York",99183,11.234788,3.241919,11143,3215,24.26449,50.5631005313411
"249","Rochford",40878,1.228044,2.26101,502,924,51.1728,24.4116639757327
"250","Purbeck",21662,2.839073,2.512233,615,544,39.781217,29.5448250392392
"251","Wakefield",152354,1.230686,2.667737,1875,4064,43.550506,35.779828557176
"252","Broadland",62011,3.876732,2.628427,2404,1630,51.105868,29.1770814855429
"253","Portsmouth",97004,7.255371,3.490791,7038,3386,31.176646,49.4165189064368
"254","Kirklees",193183,0.928653,2.923675,1794,5648,45.337912,37.8749682943116
"255","Newcastle-under-Lyme",57642,1.167551,3.041407,673,1753,49.773653,39.8025745116408
"256","Rother",38065,1.245238,2.05628,474,783,45.193958,25.1044266386444
"257","Wokingham",81786,2.380603,2.314254,1947,1893,50.691295,27.9228718851637
"258","Isle of Wight",59735,2.969783,3.040891,1774,1816,35.583879,36.0492173767473
"259","Stoke-on-Trent",108538,1.453869,3.605099,1578,3913,44.739751,45.9544122795703
"260","Three Rivers",44333,1.200009,2.173049,532,963,51.105596,25.50470304288
"261","Eden",27785,1.176894,2.151736,327,598,39.634918,27.2881050926759
"262","Hastings",40924,1.407487,3.18299,576,1303,39.926665,50.7257355097253
"263","Wychavon",58785,1.798078,2.131636,1057,1253,47.184207,25.3908309943013
"264","Basingstoke and Deane",90556,2.090419,2.5356,1893,2296,45.664474,36.1201908211493
"265","South Lakeland",52190,2.615444,2.384635,1365,1245,36.707233,33.3857060739605
"266","Chichester",53905,4.051572,2.130368,2184,1148,35.557292,29.5445691494295
"267","Merton",105369,3.250482,2.138124,3425,2253,26.753295,24.6808833717697
"268","Reading",80199,4.069876,3.1864,3264,2555,26.651036,46.5018267060687
"269","Mendip",54272,2.168706,2.21202,1177,1201,41.146509,29.6414357311321
"270","Lewisham",136570,3.791462,2.459598,5178,3359,22.409254,24.0265065534158
"271","Watford",47835,2.243127,2.654565,1073,1270,35.749048,37.3450402425003
"272","Gosport",40213,10.683112,3.415415,4296,1373,40.673788,43.8117026832119
"273","Bromsgrove",46604,1.014934,2.00697,473,935,51.857835,22.5731696850056
"274","South Tyneside",64867,2.161346,3.136031,1402,2034,42.920393,40.1467618357562
"275","South Norfolk",60798,3.06918,2.010163,1866,1222,45.830098,20.4891608276588
"276","Taunton Deane",54619,6.310991,3.247053,3447,1774,36.389048,44.8305534704041
"277","Chelmsford",86925,2.873742,2.260237,2498,1965,40.025485,32.4958297382801
"278","Worthing",50977,5.078761,3.264435,2589,1664,39.440626,47.9274967142044
"279","West Dorset",46237,2.372559,2.322052,1097,1074,37.252221,31.3233990094513
"280","Milton Keynes",128238,2.815858,3.055468,3611,3918,45.585938,38.4667571234735
"281","Ealing",165800,2.880579,2.371318,4776,3932,29.882417,26.6749095295537
"282","Sandwell",129039,1.555344,3.38043,2007,4362,43.73808,43.0412510946303
"283","Mid Suffolk",48942,2.719546,1.916531,1331,938,42.949027,21.0534918883576
"284","Poole",72164,4.719805,3.440019,3406,2482,46.083049,48.6031816418159
