"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"548","E02006142","East Staffordshire 012",2626,72,199,2042,190,27,0,45,17,24,10,175.131,103.131,187.737,1964.0551,-77.945,140.909,68.909,189.96899,1990.615,-51.385,615.62097,543.62097,133.00999,1637.512,-404.48801,793.97601,721.97601,118.74,1494.9969,-547.00299,-0.05033,93333,-0.02678,49643,-0.04186,77642,-0.0183,33952,-0.14533,269577,-0.12177,225887,-0.15275,283350,-0.1292,239660,-36701,-19468,-30136,-12903,-105781,-88548,-161309,-144076,1.89362
"585","E02006195","Stafford 008",3613,36,194,3022,168,79,5,73,2,20,14,111.414,75.414,185.61,2962.1111,-59.889,69.532,33.532,188.37199,2997.282,-24.718,427.76401,391.76401,140.812,2721.252,-300.74799,691.02899,655.02899,122.862,2500.1941,-521.80603,-0.05838,108255,-0.04078,75619,-0.02594,48110,-0.00834,15474,-0.16781,311287,-0.15022,278651,-0.21385,396699,-0.19626,364063,-37997,-26483,-20331,-8817,-124701,-113187,-242735,-231221,1.38139
"613","E02006133","East Staffordshire 003",3296,78,545,2373,183,34,2,48,6,17,10,161.168,83.168,517.77002,2323.876,-49.124,149.019,71.019,513.97601,2338.0459,-34.954,490.61401,412.61401,382.75299,2153.731,-219.269,703.53497,625.53497,337.492,2006.585,-366.41501,-0.0426,78975,-0.0216,40024,-0.03131,58073,-0.01031,19122,-0.08347,154808,-0.06247,115857,-0.12515,232143,-0.10415,193192,-36896,-19701,-27699,-10504,-79290,-62095,-170566,-153371,3.19127
"708","E02006156","Lichfield 011",3034,25,102,2512,138,186,9,32,8,12,10,80.655,55.655,97.807,2466.8379,-45.162,35.652,10.652,101.594,2503.261,-8.739,287.474,262.474,75.984,2302.4719,-209.528,511.89099,486.89099,68.561,2114.0039,-397.996,-0.04332,80252,-0.02858,52895,-0.02157,40014,-0.00682,12657,-0.11696,216853,-0.10221,189496,-0.17819,330471,-0.16344,303114,-35720,-23302,-17832,-5414,-101820,-89402,-224193,-211775,1.90461
"730","E02002984","Stoke-on-Trent 034",2854,51,129,2379,153,33,4,74,5,18,8,146.649,95.649,123.272,2299.511,-79.489,100.066,49.066,124.371,2339.9619,-39.038,561.69702,510.69699,92.523,1960.106,-418.89401,798.33698,747.33698,83.125,1757.199,-621.80103,-0.06518,120865,-0.04463,82751,-0.03127,57995,-0.01072,19881,-0.24044,446041,-0.2199,407927,-0.2558,474536,-0.23525,436422,-37376,-25842,-21816,-10282,-136198,-124664,-219862,-208328,1.72098
"754","E02006129","Cannock Chase 012",3087,58,532,2070,233,48,2,95,17,25,7,143.896,85.896,510.02899,2017.974,-52.026,114.189,56.189,514.23102,2039.561,-30.439,562.35303,504.353,382.46701,1783.015,-286.98499,790.64899,732.64899,345.21201,1625.411,-444.58899,-0.03433,63587,-0.02235,41369,-0.01755,32545,-0.00557,10327,-0.09996,185357,-0.08798,163139,-0.12923,239664,-0.11725,217446,-25017,-16579,-14550,-6112,-77942,-69504,-151942,-143504,1.56935
"866","E02006191","Stafford 004",3700,44,262,3075,175,61,3,55,2,13,10,144.55,100.55,247.422,2997.3601,-77.64,84.603,40.603,257.052,3042.752,-32.248,563.80103,519.80103,176.258,2683.739,-391.26099,809.25403,765.25403,161.39301,2473.626,-601.37402,-0.06329,117373,-0.04343,80519,-0.03332,61800,-0.01345,24946,-0.16999,315332,-0.15012,278478,-0.22052,409076,-0.20065,372222,-41178,-28103,-26459,-13384,-129211,-116136,-250696,-237621,1.5159
"872","E02006185","South Staffordshire 012",2933,38,211,2266,156,51,10,161,8,15,17,102.935,64.935,203.483,2218.616,-47.384,74.025,36.025,205.933,2240.936,-25.064,415.677,377.677,158.343,1999.639,-266.36099,662.409,624.409,142.125,1804.095,-461.905,-0.03441,63723,-0.02,37001,-0.02719,50438,-0.01279,23716,-0.1046,193947,-0.09019,167225,-0.13822,256324,-0.12381,229602,-30340,-17106,-22425,-9191,-92347,-79113,-183106,-169872,2.32019
"883","E02006143","East Staffordshire 013",3622,138,257,2779,265,50,0,77,24,24,8,329.29199,191.29201,235.539,2636.5979,-142.40199,209.37801,71.378,248.62601,2726.615,-52.385,1014.896,876.896,152.51199,2132.2759,-646.724,1168.613,1030.613,147.618,2002.052,-776.948,-0.07885,146237,-0.04826,89486,-0.04636,85995,-0.01576,29244,-0.23106,428641,-0.20047,371890,-0.22131,410540,-0.19071,353789,-56024,-34555,-32286,-10817,-164871,-143402,-233664,-212195,0.96423
"902","E02006132","East Staffordshire 002",2939,81,428,2071,234,18,4,73,6,16,8,172.54401,91.544,404.67099,2014.36,-56.64,132.94701,51.947,414.25299,2039.701,-31.299,548.823,467.823,293.25299,1796.439,-274.561,739.23401,658.23401,262.01901,1661.27,-409.73001,-0.04066,75392,-0.02133,39535,-0.03034,56290,-0.01101,20433,-0.09612,178292,-0.07679,142435,-0.1221,226506,-0.10278,190649,-32110,-17530,-23226,-8646,-80382,-65802,-151223,-136643,1.97885
