"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"1","E02000001 E02000186","E02000001","E02000186",282,196,23,1,3,11,1,24,14,0,42.65,18.65,12.98,-1.02,10.22,-0.78,28.54,4.54,13.75,-0.25,10.82,-0.18,105.34,81.34,9.64,-4.36,7.45,-3.55,128.22,104.22,8.39,-5.61,6.48,-4.52,-0.00611,11333,-0.01095,20305,-0.00484,8972,-0.00716,13281,-0.00105,1948,-0.03697,68596,-0.03087,57263,-0.02976,55219,-0.02365,43886,-0.00396,7344,-0.00709,13155,-0.00313,5811,-0.00464,8605,-0.00068,1261,-0.02395,44441,-0.02,37097,-0.01936,35922,-0.0154,28578,-216,-413,-197,-262,-46,-1119,-903,-1366,-1150,205,3.67712,4.897,5.044,2408,3268,1.33175,1.03002,0.71472,913,12737,0.00654,8.51064
"2","E02000001 E02000187","E02000001","E02000187",133,71,30,2,0,5,0,6,14,0,16.21,10.21,12.88,-1.12,4.6,-0.4,6,0,14,0,5,0,57.39,51.39,8.32,-5.68,2.96,-2.04,65.33,59.33,7.44,-6.56,2.65,-2.35,-0.00109,2013,-0.0029,5376,-0.00181,3363,-0.00109,2013,0,0,-0.01459,27066,-0.0135,25053,-0.01093,20268,-0.00984,18255,-0.00071,1315,-0.00189,3514,-0.00119,2199,-0.00071,1315,0,0,-0.00955,17710,-0.00884,16395,-0.00722,13385,-0.00651,12070,-41,-119,-78,-41,0,-444,-403,-506,-465,76,3.00073,3.899,3.94,1900,2414,1.29935,1.01052,0.71813,727,9376,0.0066,4.51128
"3","E02000001 E02000190","E02000001","E02000190",184,73,26,0,0,2,0,17,59,1,30.95,13.95,54.07,-4.93,1.83,-0.17,20.31,3.31,57.77,-1.23,1.96,-0.04,82.08,65.08,36.01,-22.99,1.22,-0.78,91.64,74.64,32.64,-26.36,1.11,-0.89,-8e-04,1485,-0.00146,2715,-0.00066,1230,-0.00093,1723,-0.00013,238,-0.00515,9561,-0.00435,8076,-4e-04,748,4e-04,-737,-6e-04,1105,-0.00109,2018,-0.00049,913,-0.00069,1287,-1e-04,182,-0.00387,7173,-0.00327,6068,-0.00088,1636,-0.00029,531,-30,-54,-24,-36,-6,-145,-115,-162,-132,79,2.20494,2.925,2.893,1454,1844,1.32657,0.98906,0.8547,545,8070,0.00726,9.23913
"4","E02000001 E02000191","E02000001","E02000191",283,144,29,6,1,11,1,25,60,1,47.99,22.99,54.7,-5.3,10.02,-0.98,33.6,8.6,58.02,-1.98,10.63,-0.37,126.66,101.66,35.91,-24.09,6.68,-4.32,141.47,116.47,32.53,-27.47,6.04,-4.96,-0.00328,6088,-0.00602,11165,-0.00274,5077,-0.00415,7704,-0.00087,1616,-0.02058,38178,-0.0173,32090,-0.01213,22497,-0.00885,16409,-0.0022,4081,-0.00405,7517,-0.00185,3436,-0.00279,5178,-0.00059,1097,-0.01397,25911,-0.01177,21830,-0.00862,15999,-0.00642,11918,-214,-405,-191,-285,-71,-1056,-842,-1180,-966,149,2.77265,4.113,3.754,2064,2776,1.48342,0.91272,0.53489,767,12430,0.00693,8.83392
"5","E02000001 E02000192","E02000001","E02000192",493,55,45,11,1,8,0,27,331,3,61.76,34.76,306.32001,-24.68,7.4,-0.6,32.05,5.05,327.25,-3.75,7.91,-0.09,220.95,193.95,193.42,-137.58,4.67,-3.33,239.39,212.39,180.25,-150.75,4.35,-3.65,0.00125,-2325,0.00281,-5219,0.00156,-2894,0.00146,-2704,2e-04,-379,0.01538,-28537,0.01413,-26212,0.0259,-48042,0.02464,-45717,0.00065,-1208,0.00146,-2703,0.00081,-1495,0.00076,-1406,0.00011,-198,0.00805,-14937,0.0074,-13729,0.01465,-27174,0.014,-25966,-40,-92,-52,-47,-7,-333,-293,-360,-320,67,1.30828,1.868,1.764,998,1334,1.42783,0.94433,0.9636,348,7114,0.00907,5.47667
"6","E02000001 E02000193","E02000001","E02000193",562,178,83,9,6,0,1,27,221,2,70.23,43.23,203.19,-17.81,0,0,36.91,9.91,216.69,-4.31,0,0,257.67001,230.67,125.67,-95.33,0,0,281.70999,254.71001,115.74,-105.26,0,0,-0.00069,1286,-0.00172,3198,-0.00103,1912,-0.00085,1572,-0.00015,286,-0.00769,14274,-0.007,12988,0.00699,-12974,0.00769,-14260,-0.00057,1055,-0.00143,2651,-0.00086,1596,-0.00071,1307,-0.00014,252,-0.0067,12430,-0.00613,11375,0.00257,-4770,0.00314,-5825,0,0,0,0,0,0,0,0,0,213,2.03737,2.238,2.669,1400,1782,1.09847,1.19258,0.80429,417,8423,0.00749,4.80427
"7","E02000001 E02000371","E02000001","E02000371",1063,71,179,8,5,7,1,99,674,4,194.92999,95.93,606.96002,-67.04,6.31,-0.69,112.8,13.8,664.26001,-9.74,6.87,-0.13,537.29999,438.29999,367.60001,-306.39999,3.83,-3.17,556.12,457.12,354.42999,-319.57001,3.69,-3.31,0.00422,-7831,0.00831,-15419,0.00409,-7588,0.00463,-8586,0.00041,-755,0.05551,-102984,0.05129,-95153,0.0911,-169016,0.08688,-161185,0.00216,-4012,0.00426,-7899,0.0021,-3887,0.00237,-4401,0.00021,-389,0.02879,-53406,0.02662,-49394,0.05139,-95351,0.04923,-91339,-79,-155,-76,-93,-14,-434,-355,-450,-371,86,1.41798,2.041,2.136,978,994,1.43937,1.04655,0.39196,380,3285,0.00468,9.31326
"8","E02000001 E02000372","E02000001","E02000372",125,104,4,0,3,1,1,4,0,0,7.33,3.33,0,0,0.97,-0.03,6.16,2.16,0,0,0.98,-0.02,14.15,10.15,0,0,0.92,-0.08,26.24,22.24,0,0,0.82,-0.18,-0.00278,5164,-0.0051,9453,-0.00231,4289,-0.00395,7319,-0.00116,2155,-0.01455,26985,-0.01176,21821,-0.01976,36667,-0.01698,31503,-0.00179,3320,-0.00328,6077,-0.00149,2757,-0.00254,4705,-0.00075,1385,-0.00935,17347,-0.00756,14027,-0.01271,23572,-0.01092,20252,-24,-42,-18,-37,-13,-76,-52,-143,-119,112,10.05651,12.238,13.531,6106,7262,1.21692,1.10565,0.57199,2281,57423,0.00798,3.2
"9","E02000001 E02000573","E02000001","E02000573",999,166,294,27,18,13,3,98,362,2,170.73,72.73,332.67999,-29.32,11.95,-1.05,119.74,21.74,352.95001,-9.05,12.7,-0.3,452.03,354.03,220.48,-141.52,7.86,-5.14,491.70999,393.70999,204.47,-157.53,7.29,-5.71,-0.00171,3182,-0.0032,5930,-0.00148,2748,-0.00201,3733,-3e-04,551,-0.01462,27126,-0.01291,23944,0.00837,-15524,0.01008,-18706,-0.00147,2720,-0.00268,4971,-0.00121,2251,-0.00172,3187,-0.00025,467,-0.01225,22726,-0.01078,20006,0.00225,-4172,0.00371,-6892,-135,-239,-104,-165,-30,-648,-513,-705,-570,182,1.76302,2.162,2.212,1188,1190,1.22631,1.02313,0.83256,403,6527,0.00723,9.80981
"10","E02000001 E02000574","E02000001","E02000574",638,133,161,11,8,12,1,66,236,0,109.47,43.47,218.10001,-17.9,11.1,-0.9,91.44,25.44,225.67999,-10.32,11.54,-0.46,272.84,206.84,150.55,-85.45,7.62,-4.38,309.20999,243.21001,135.53999,-100.46,6.85,-5.15,-0.00153,2839,-0.0025,4630,-0.00097,1791,-0.002,3706,-0.00047,867,-0.00917,17008,-0.00764,14169,0.00748,-13877,0.00901,-16716,-0.00127,2359,-0.00208,3865,-0.00081,1506,-0.00166,3073,-0.00039,714,-0.00797,14787,-0.0067,12428,0.00242,-4484,0.00369,-6843,-153,-260,-107,-208,-55,-681,-528,-773,-620,143,1.80782,2.414,2.965,1404,1836,1.33531,1.22825,1.20133,450,7438,0.00911,10.34483
