"","geo_code","all","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","geo_label.y","avslope"
"106","E02001092",22740,0,0,1495,0,0,11942,0,722,8581,0,1531.5699,809.57001,8217.1504,-363.85001,11545.048,-396.952,1916.802,1194.802,7942.4458,-638.55402,11461.094,-480.90701,8923.2285,8201.2285,4875.6919,-3705.3081,7944.502,-3997.498,10164.311,9442.3105,4559.0342,-4021.9661,7126.9258,-4815.0742,-0.05516,102321,-0.09636,178690,-0.04119,76369,-0.06024,111736,-0.00508,9415,-0.48365,897231,-0.42848,794910,-0.20174,374209,-0.14658,271888,-0.03904,72403,-0.06817,126386,-0.02913,53983,-0.04628,85843,-0.00724,13440,-0.34873,646929,-0.3097,574526,-0.17304,320965,-0.134,248562,-20882,-38578,-17696,-36754,-15872,-195781,-174899,-250199,-229317,"Manchester 048",64.18846
"107","E02001093",16441,0,0,1553,0,0,6676,0,380,7832,0,984.91302,604.91302,7507.8252,-324.17499,6443.4492,-232.55099,1154.347,774.34698,7357.1011,-474.89899,6426.2202,-249.78,6440.542,6060.542,4632.957,-3199.043,4306.2251,-2369.7749,7314.6909,6934.6909,4297.1489,-3534.8511,3879.1289,-2796.8711,-0.00592,10972,-0.01858,34426,-0.01266,23454,-0.00022,403,0.0057,-10569,-0.13915,258109,-0.13323,247137,0.038,-70542,0.04391,-81514,-0.00586,10867,-0.01584,29322,-0.00998,18455,-0.00412,7633,0.00174,-3234,-0.11463,212608,-0.10877,201741,-0.00417,7675,0.0017,-3192,-6273,-13997,-7724,-11843,-5570,-86238,-79965,-110171,-103898,"Manchester 049",79.55669
"108","E02001094",17473,0,0,2233,0,0,7876,0,376,6988,0,1085.502,709.50201,6643.3208,-344.67899,7580.0571,-295.94299,1088.5341,712.534,6572.4902,-415.51001,7627.333,-248.666,6644.874,6268.874,4120.147,-2867.8521,5122.4468,-2753.553,7596.4219,7220.4219,3840.342,-3147.658,4620.3779,-3255.6221,-0.01408,26116,-0.03588,66502,-0.0218,40386,-0.01173,21760,0.00235,-4356,-0.27661,513138,-0.26253,487022,-0.11812,219093,-0.10403,192977,-0.01146,21253,-0.0274,50755,-0.01593,29502,-0.0111,20577,0.00036,-676,-0.20033,371600,-0.18886,350347,-0.10207,189320,-0.09061,168067,-7123,-16424,-9301,-10793,-3670,-97814,-90691,-127221,-120098,"Manchester 050",79.67876
"109","E02001095",21626,0,0,2374,0,0,10132,0,640,8480,0,1353.395,713.39502,8136.7422,-343.258,9833.1104,-298.88901,3268.739,2628.739,6774.9878,-1705.012,9402.5195,-729.47998,7987.0669,7347.0669,4973.3271,-3506.6731,7017.2622,-3114.738,9330.5713,8690.5713,4598.3789,-3881.6211,6226.9521,-3905.0491,-0.05565,103228,-0.08856,164219,-0.03291,60991,-0.05667,105108,-0.00102,1880,-0.39183,726888,-0.33618,623660,-0.17066,316554,-0.11501,213326,-0.04077,75627,-0.06432,119241,-0.02354,43614,-0.04678,86768,-0.00601,11141,-0.28816,534538,-0.24738,458911,-0.15208,282072,-0.1113,206445,-17529,-31095,-13566,-37157,-19628,-154315,-136786,-207485,-189956,"Manchester 051",84.92515
"110","E02001096",20504,0,0,2284,0,0,9084,0,567,8569,0,1336.043,769.04303,8178.1001,-390.89999,8766.875,-317.125,1961.309,1394.309,7819.2349,-749.76501,8554.71,-529.28998,7838.7578,7271.7578,4868.395,-3700.605,6080.7998,-3003.2,8909.3418,8342.3418,4571.7002,-3997.301,5486.6992,-3597.301,-0.04115,76334,-0.06624,122812,-0.02509,46478,-0.04066,75415,5e-04,-919,-0.27803,515752,-0.23688,439418,-0.08759,162435,-0.04644,86101,-0.02962,54946,-0.04815,89248,-0.01852,34302,-0.03324,61647,-0.00361,6701,-0.21111,391586,-0.18148,336640,-0.09397,174275,-0.06435,119329,-14812,-26402,-11590,-29127,-14315,-124717,-109905,-165139,-150327,"Manchester 052",78.97349
"111","E02001097",24419,0,0,4286,0,0,10755,0,749,8629,0,1506.455,757.45502,8270.8037,-358.19601,10444.584,-310.41599,1621.5389,872.539,8113.8691,-515.13202,10457.139,-297.86099,8233.1055,7484.105,5138.2588,-3490.741,7639.2852,-3115.7151,9670.3232,8921.3232,4800.2861,-3828.7141,6888.8462,-3866.1541,-0.03116,57794,-0.07508,139215,-0.04392,81421,-0.03079,57106,0.00037,-688,-0.47679,884519,-0.44563,826725,-0.33512,621682,-0.30396,563888,-0.03458,64146,-0.06506,120619,-0.03048,56473,-0.03591,66613,-0.00133,2467,-0.34709,643888,-0.31251,579742,-0.264,489725,-0.22942,425579,-19175,-32388,-13213,-24772,-5597,-145269,-126094,-204181,-185006,"Manchester 053",82.19165
"112","E02001098",16181,0,0,1842,0,0,6495,0,449,7395,0,730.96399,281.96399,7238.2358,-156.76401,6397.292,-97.708,686.14398,237.144,7240.752,-154.24699,6428.126,-66.874,3388.8369,2939.8369,5797.7729,-1597.2271,5445.813,-1049.187,5368.3042,4919.3042,4881.8452,-2513.155,4605.8452,-1889.155,-0.02097,38906,-0.03373,62561,-0.01276,23655,-0.02093,38830,4e-05,-76,-0.16761,310935,-0.14664,272029,-0.09246,171506,-0.07148,132600,-0.01529,28367,-0.02429,45016,-0.00899,16649,-0.01602,29722,-0.00073,1355,-0.1203,223156,-0.10501,194789,-0.07971,147857,-0.06442,119490,-9974,-15114,-5140,-12873,-2899,-65049,-55075,-115486,-105512,"Oldham 001",240.34154
"113","E02001099",5979,0,0,469,0,0,2428,0,196,2886,0,350.45001,154.45,2790.4529,-95.547,2378.7739,-49.226,235.504,39.504,2862.8311,-23.17,2414.4529,-13.547,1670.0081,1474.0081,2018.103,-867.89697,1920.626,-507.37399,2206.658,2010.658,1804.579,-1081.421,1646.87,-781.13,-0.00934,17320,-0.01418,26277,-0.00484,8957,-0.00994,18424,-0.00059,1104,-0.06969,129254,-0.06035,111934,-0.04524,83903,-0.0359,66583,-0.00732,13571,-0.01077,19945,-0.00345,6374,-0.00779,14437,-0.00047,866,-0.04986,92473,-0.04254,78902,-0.03578,66346,-0.02846,52775,-4773,-7001,-2228,-5307,-534,-28333,-23560,-44581,-39808,"Oldham 002",209.00841
"114","E02001100",24479,0,0,1828,0,0,10070,0,735,11846,0,1269.171,534.16998,11539.688,-306.31201,9881.3193,-188.681,1084.55,349.54999,11611.594,-234.40601,9974.9658,-95.035,6100.5171,5365.5171,8927.9658,-2918.0339,8028.207,-2041.793,8579.6855,7844.686,7830.2588,-4015.74,6851.125,-3218.875,-0.02453,45502,-0.04381,81235,-0.01928,35733,-0.02886,53532,-0.00433,8030,-0.283,525000,-0.25847,479498,-0.19028,352976,-0.16575,307474,-0.01972,36565,-0.03321,61557,-0.01349,24992,-0.023,42646,-0.00328,6081,-0.19869,368585,-0.17898,332020,-0.14603,270889,-0.12632,234324,-14194,-22652,-8458,-17574,-3380,-107566,-93372,-172932,-158738,"Oldham 003",213.65102
"115","E02001101",11630,0,0,658,0,0,4751,0,476,5745,0,722.60999,246.61,5595.4341,-149.567,4665.6299,-85.37,573.05902,97.059,5669.083,-75.917,4732.7661,-18.234,3002.2061,2526.2061,4206.4258,-1538.574,3883.6011,-867.39899,4323.0449,3847.0449,3582.1899,-2162.8101,3268.2781,-1482.722,-0.02258,41875,-0.02638,48884,-0.0038,7009,-0.02064,38286,0.00193,-3589,-0.04874,90390,-0.02617,48515,0.04486,-83270,0.06744,-125145,-0.01826,33866,-0.02162,40056,-0.00336,6190,-0.01729,32065,0.00097,-1801,-0.04652,86266,-0.02826,52400,0.00677,-12607,0.02503,-46473,-12606,-16525,-3919,-13136,-530,-51960,-39354,-85106,-72500,"Oldham 004",227.68764
"116","E02001102",9650,0,0,548,0,0,4691,0,234,4177,0,452.57101,218.571,4061.834,-115.166,4599.062,-91.938,360.64999,126.65,4102.3208,-74.679,4645.1299,-45.87,2605.0811,2371.0811,2940.2251,-1236.775,3680.0439,-1010.956,3628.415,3394.415,2516.428,-1660.572,3139.804,-1551.196,-0.01377,25539,-0.02001,37071,-0.00624,11532,-0.01349,25011,0.00028,-528,-0.07859,145752,-0.06482,120213,-0.00941,17408,0.00436,-8131,-0.00993,18412,-0.01459,27015,-0.00466,8603,-0.01018,18878,-0.00025,466,-0.06095,113018,-0.05101,94606,-0.02088,38684,-0.01095,20272,-6618,-10575,-3957,-8189,-1571,-49745,-43127,-80066,-73448,"Oldham 005",218.91003
"117","E02001103",15077,0,0,1064,0,0,4490,0,1706,7817,0,1783.123,77.123,7764.668,-52.332,4470.4258,-19.574,1818.8571,112.857,7719.1201,-97.88,4478.957,-11.043,2052.3569,346.35699,7548.27,-268.73099,4429.27,-60.73,3270.5471,1564.547,6732.0659,-1084.933,4107.8848,-382.11499,0.05753,-106751,0.05716,-106079,-0.00037,672,0.06086,-112917,0.00332,-6166,0.05828,-108160,0.00075,-1409,0.10855,-201426,0.05102,-94675,-0.02898,53748,-0.03036,56292,-0.00139,2544,-0.02714,50336,0.00184,-3412,-0.02961,54900,-0.00063,1152,-0.01048,19408,0.0185,-34340,-40494,-42023,-1529,-40654,-160,-44271,-3777,-69002,-28508,"Oldham 006",459.769
"118","E02001104",19654,0,0,1242,0,0,6087,0,1244,11081,0,1473.809,229.80901,10932.005,-148.995,6021.1758,-65.824,1540.98,296.98001,10819.686,-261.314,6067.6479,-19.352,3370.0061,2126.0061,9593.876,-1487.124,5582.52,-504.48001,6048.1968,4804.1968,7965.0088,-3115.991,4713.9971,-1373.0031,-0.00014,256,-0.00126,2305,-0.00112,2049,0.00671,-12444,0.00685,-12700,0.01816,-33737,0.0183,-33993,0.19804,-367459,0.19818,-367715,-0.0136,25218,-0.01556,28825,-0.00197,3607,-0.00985,18264,0.00375,-6954,-0.01272,23557,0.00088,-1661,0.08484,-157441,0.09843,-182659,-26549,-30226,-3677,-27004,-455,-52964,-26415,-103069,-76520,"Oldham 007",334.45581
