"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"11","E02006227 E02006266","E02006227","E02006266","Babergh 001","Mid Suffolk 006",52,0,0,51,0,1,0,0,0,0,0,0,0.73,0.73,0,50.28,-0.72,0,0,0,51,0,2.73,2.73,0,48.32,-2.68,7.07,7.07,0,44.07,-6.93,-0.00061,1131,-0.00061,1131,0,0,0,0,-0.00197,3647,-0.00197,3647,-0.00333,6181,-0.00333,6181,-565,-565,0,0,-2112,-2112,-5459,-5459,12.1865,15.471,15.507,1.26952,1.00233,1.80984,1.83143,6728,6762
"12","E02006227 E02006268","E02006227","E02006268","Babergh 001","Mid Suffolk 008",23,0,0,17,5,0,0,0,0,1,0,0,0.28,0.28,0,16.79,-0.21,0,0,0,17,0,1,1,0,16.27,-0.73,2.8,2.8,0,14.95,-2.05,-0.00023,430,-0.00023,430,0,0,0,0,-0.00073,1349,-0.00073,1349,-0.00138,2555,-0.00138,2555,-171,-171,0,0,-608,-608,-1707,-1707,12.40125,16.334,16.73,1.31713,1.02424,1.95298,1.7633,6922,6972
"13","E02006227 E02006269","E02006227","E02006269","Babergh 001","Mid Suffolk 009",39,0,0,38,1,0,0,0,0,0,0,0,0.51,0.51,0,37.5,-0.5,0,0,0,38,0,1.88,1.88,0,36.17,-1.83,5.04,5.04,0,33.09,-4.91,-0.00042,775,-0.00042,775,0,0,0,0,-0.00136,2516,-0.00136,2516,-0.00239,4434,-0.00239,4434,-400,-400,0,0,-1467,-1467,-3944,-3944,12.13349,15.777,16.713,1.30029,1.05933,2.10433,1.90271,6950,7232
"14","E02006227 E02006270","E02006227","E02006270","Babergh 001","Mid Suffolk 010",64,1,0,59,2,1,0,0,0,0,1,1.5625,1.69,0.69,0,58.36,-0.64,1.56,0.56,0,58.53,-0.47,2.15,1.15,0,57.85,-1.15,6.5,5.5,0,53.78,-5.22,-0.00136,2518,-0.00058,1072,-0.00118,2185,-4e-04,739,-0.00167,3090,-0.00089,1644,-0.00393,7289,-0.00315,5843,-1390,-602,-1225,-437,-1881,-1093,-5703,-4915,13.63005,17.963,19.407,1.3179,1.08039,2.27134,2.00958,8058,9238
"15","E02006227 E02006271","E02006227","E02006271","Babergh 001","Mid Suffolk 011",82,2,3,71,3,1,0,1,0,1,0,2.43902,2.86,0.86,2.97,70.24,-0.76,3.24,1.24,2.94,69.92,-1.08,2.68,0.68,2.99,70.38,-0.62,8.08,6.08,2.79,65.59,-5.41,-0.00233,4328,-0.00071,1325,-0.00255,4722,-0.00093,1719,-0.00214,3960,-0.00052,957,-0.00508,9416,-0.00346,6413,-2414,-730,-2722,-1038,-2273,-589,-6867,-5183,13.40316,18.843,18.842,1.40586,0.99995,2.17587,2.1123,9340,9566
"16","E02006227 E02006272","E02006227","E02006272","Babergh 001","Mid Suffolk 012",18,0,0,16,0,2,0,0,0,0,0,0,0.14,0.14,0,15.87,-0.13,0,0,0,16,0,0.29,0.29,0,15.73,-0.27,1.28,1.28,0,14.85,-1.15,-0.00012,224,-0.00012,224,0,0,0,0,-0.00022,408,-0.00022,408,-9e-04,1664,-9e-04,1664,-154,-154,0,0,-320,-320,-1389,-1389,18.48222,23.894,26.645,1.29281,1.11513,2.20557,2.23306,10464,12198
"17","E02006227 E02006275","E02006227","E02006275","Babergh 001","St Edmundsbury 003",12,0,2,9,1,0,0,0,0,0,0,0,0.1,0.1,1.98,8.93,-0.07,0,0,2,9,0,0.23,0.23,1.96,8.83,-0.17,0.92,0.92,1.85,8.31,-0.69,-7e-05,127,-7e-05,127,0,0,0,0,-0.00016,300,-0.00016,300,-0.00055,1011,-0.00055,1011,-81,-81,0,0,-193,-193,-772,-772,18.68469,22.022,25.765,1.17861,1.16997,1.82545,1.88628,9758,11992
"18","E02006227 E02006276","E02006227","E02006276","Babergh 001","St Edmundsbury 004",36,1,0,31,3,1,0,0,0,0,0,2.77778,1.35,0.35,0,30.69,-0.31,1.77,0.77,0,30.27,-0.73,1.26,0.26,0,30.8,-0.2,2.84,1.84,0,29.43,-1.57,-0.00119,2198,-3e-04,549,-0.00153,2842,-0.00064,1193,-0.0011,2034,-0.00021,385,-0.00221,4106,-0.00133,2457,-1508,-372,-2009,-873,-1375,-239,-3004,-1868,17.05131,23.474,24.97,1.37667,1.06373,1.48675,1.81418,9886,11380
"19","E02006227 E02006277","E02006227","E02006277","Babergh 001","St Edmundsbury 005",33,1,0,30,1,0,0,0,0,1,0,3.0303,1.33,0.33,0,29.7,-0.3,1.69,0.69,0,29.37,-0.63,1.15,0.15,0,29.85,-0.15,2.95,1.95,0,28.16,-1.84,-0.00117,2171,-0.00028,522,-0.00146,2716,-0.00058,1067,-0.00101,1868,-0.00012,219,-0.00209,3879,-0.0012,2230,-1265,-313,-1607,-655,-1104,-152,-2848,-1896,15.88931,20.29,22.665,1.27696,1.11705,1.67077,1.77807,8860,10294
"20","E02006227 E02006278","E02006227","E02006278","Babergh 001","St Edmundsbury 006",111,1,2,99,4,0,0,5,0,0,0,0.9009,2.08,1.08,1.98,98.02,-0.98,2.67,1.67,1.89,97.44,-1.56,3.47,2.47,1.97,96.79,-2.21,9.85,8.85,1.88,91.06,-7.94,-0.00166,3072,-0.00093,1729,-0.00192,3564,-0.0012,2221,-0.00261,4839,-0.00188,3496,-0.00613,11373,-0.00541,10030,-1948,-1009,-2505,-1566,-3233,-2294,-9177,-8238,17.07943,20.125,23.463,1.17832,1.16586,1.94783,1.84972,8980,10734
"21","E02006227 E02006279","E02006227","E02006279","Babergh 001","St Edmundsbury 007",31,0,0,30,1,0,0,0,0,0,0,0,0.29,0.29,0,29.72,-0.28,0,0,0,30,0,0.74,0.74,0,29.29,-0.71,2.62,2.62,0,27.47,-2.53,-0.00025,461,-0.00025,461,0,0,0,0,-0.00057,1057,-0.00057,1057,-0.00167,3097,-0.00167,3097,-297,-297,0,0,-758,-758,-2705,-2705,17.28493,20.734,24.298,1.19954,1.17189,1.9292,1.83554,9154,11098
"22","E02006227 E02006280","E02006227","E02006280","Babergh 001","St Edmundsbury 008",34,0,0,30,3,0,0,0,0,1,0,0,0.26,0.26,0,29.77,-0.23,0,0,0,30,0,0.52,0.52,0,29.54,-0.46,2.37,2.37,0,27.91,-2.09,-0.00022,415,-0.00022,415,0,0,0,0,-4e-04,750,-4e-04,750,-0.00176,3265,-0.00176,3265,-286,-286,0,0,-570,-570,-2597,-2597,18.71485,24.404,28.176,1.30399,1.15456,2.14309,1.92007,11324,13348
"23","E02006227 E02006281","E02006227","E02006281","Babergh 001","St Edmundsbury 009",69,1,1,62,0,0,0,4,0,1,0,1.44928,1.75,0.75,0.99,61.32,-0.68,1.44,0.44,0.96,61.63,-0.37,2.82,1.82,1,60.31,-1.69,6.92,5.92,0.98,56.53,-5.47,-0.00136,2517,-0.00064,1190,-0.00103,1912,-0.00032,585,-0.00212,3926,-0.0014,2599,-0.00426,7903,-0.00354,6576,-1440,-650,-1141,-351,-2407,-1617,-6019,-5229,15.58472,18.494,21.971,1.18668,1.18801,1.89791,1.81603,7936,9480
"24","E02006227 E02006282","E02006227","E02006282","Babergh 001","St Edmundsbury 010",18,0,1,16,0,0,0,0,0,1,0,0,0.15,0.15,0.99,15.87,-0.13,0,0,1,16,0,0.26,0.26,0.99,15.77,-0.23,1.25,1.25,0.93,14.89,-1.11,-0.00011,207,-0.00011,207,0,0,0,0,-2e-04,365,-2e-04,365,-0.00095,1760,-0.00095,1760,-172,-172,0,0,-306,-306,-1470,-1470,17.21518,26.003,28.444,1.51047,1.09387,1.93439,2.63324,12616,17262
"25","E02006228 E02006229","E02006228","E02006229","Babergh 002","Babergh 003",149,2,3,118,14,0,0,5,0,6,1,1.34228,7.78,5.78,2.88,113.36,-4.64,2.06,0.06,3,117.95,-0.05,34.44,32.44,2.38,91.93,-26.07,52.66,50.66,2,77.3,-40.7,-0.00301,5576,-0.00226,4185,-0.00077,1431,-2e-05,40,-0.01121,20801,-0.01046,19410,-0.01098,20373,-0.01023,18982,-2095,-1567,-544,-16,-9342,-8814,-14286,-13758,4.7457,6.509,7.094,1.37156,1.08988,2.12014,2.25543,2754,3704
