"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"255011",1,1,1,23.178,10640,473,316,0.01363,4321,358,39476,"E02006230 E02006297"
"255023",1,1,1,21.229,10076,489,337,0.01587,3957,358,36633,"E02006231 E02006235"
"255024",1,1,1,13.364,8732,203,215,0.01609,2491,216,27618,"E02006231 E02006236"
"255025",1,1,1,11.35,7014,173,136,0.01198,2116,163,19563,"E02006231 E02006237"
"255026",1,1,1,6.849,3224,195,102,0.01489,1277,116,10080,"E02006231 E02006245"
"255027",1,1,1,5.965,2706,179,86,0.01442,1112,91,8322,"E02006231 E02006246"
"255028",1,1,1,5.842,2604,186,81,0.01387,1089,84,7808,"E02006231 E02006247"
"255029",1,1,1,8.306,4322,239,126,0.01517,1548,141,12706,"E02006231 E02006248"
"255030",1,1,1,6.619,3610,196,110,0.01662,1234,115,10081,"E02006231 E02006249"
"255031",1,1,1,4.402,2218,162,68,0.01545,821,55,6013,"E02006231 E02006250"
"255032",1,1,1,6.323,3228,194,91,0.01439,1179,90,8466,"E02006231 E02006251"
"255033",1,1,1,6.762,3462,197,132,0.01952,1261,124,12085,"E02006231 E02006252"
"255034",1,1,1,7.771,3866,220,135,0.01737,1449,136,13348,"E02006231 E02006253"
"255035",1,1,1,2.998,1356,76,37,0.01234,559,34,4038,"E02006231 E02006254"
"255036",1,1,1,6.119,3472,205,122,0.01994,1141,108,10799,"E02006231 E02006255"
"255037",1,1,1,3.773,1856,111,76,0.02014,703,56,6198,"E02006231 E02006256"
"255038",1,1,1,1.178,514,31,21,0.01783,220,18,2117,"E02006231 E02006257"
"255039",1,1,1,8.207,4130,259,145,0.01767,1530,142,13189,"E02006231 E02006258"
"255040",1,1,1,2.639,2316,71,79,0.02994,492,58,5427,"E02006231 E02006259"
"255041",1,1,1,7.452,3910,208,138,0.01852,1389,130,12599,"E02006231 E02006260"
"255042",1,1,1,23.855,12362,547,355,0.01488,4447,391,44704,"E02006231 E02006267"
"255043",1,1,1,22.946,11778,544,301,0.01312,4277,357,39241,"E02006231 E02006270"
"255044",1,1,1,18.217,12362,465,305,0.01674,3396,322,35737,"E02006231 E02006271"
"255045",1,1,1,10.073,6102,273,152,0.01509,1878,151,15576,"E02006231 E02006272"
"255046",1,1,1,21.421,11050,552,308,0.01438,3993,348,36717,"E02006231 E02006291"
"255047",1,1,1,14.996,6942,378,245,0.01634,2795,241,27834,"E02006231 E02006292"
"255049",1,1,1,18.042,9000,481,255,0.01413,3363,285,29035,"E02006231 E02006294"
"255050",1,1,1,12.731,6500,374,156,0.01225,2373,195,19324,"E02006231 E02006296"
"255051",1,1,1,9.759,4590,261,145,0.01486,1819,156,17086,"E02006231 E02006297"
"255052",1,1,1,20.34,9078,478,197,0.00969,3792,289,34858,"E02006231 E02006298"
"255053",1,1,1,23.676,10216,578,217,0.00917,4413,330,39712,"E02006231 E02006299"
"255054",1,1,1,22.526,9732,536,201,0.00892,4199,317,37762,"E02006231 E02006300"
"255055",1,1,1,23.999,10444,625,210,0.00875,4474,337,39740,"E02006231 E02006301"
"255069",1,1,1,3.816,1530,88,47,0.01232,711,51,8259,"E02006232 E02006233"
"255070",1,1,1,4.99,1892,71,71,0.01423,930,62,9551,"E02006232 E02006234"
"255071",1,1,1,12.4,5802,279,197,0.01589,2311,186,17229,"E02006232 E02006235"
"255075",1,1,1,25.946,12560,471,361,0.01391,4837,408,47546,"E02006232 E02006271"
"255102",1,1,1,2.472,1304,60,54,0.02184,461,38,4075,"E02006233 E02006234"
"255103",1,1,1,17.561,8182,376,278,0.01583,3274,279,26214,"E02006233 E02006235"
"255116",1,1,1,18.823,13388,375,261,0.01387,3509,340,36450,"E02006233 E02006282"
"255117",1,1,1,24.249,14716,495,329,0.01357,4520,406,49167,"E02006233 E02006283"
"255136",1,1,1,15.671,8172,308,272,0.01736,2921,262,28180,"E02006234 E02006235"
"255147",1,1,1,20.912,13488,425,255,0.01219,3898,371,38592,"E02006234 E02006282"
"255148",1,1,1,26.338,14816,545,323,0.01226,4910,437,51309,"E02006234 E02006283"
"255176",1,1,1,15.214,6806,367,236,0.01551,2836,239,24714,"E02006235 E02006236"
"255178",1,1,1,27.018,12850,473,436,0.01614,5036,412,43175,"E02006235 E02006247"
"255179",1,1,1,24.419,11056,566,383,0.01568,4552,376,41020,"E02006235 E02006250"
"255182",1,1,1,23.067,10462,489,362,0.01569,4300,358,39040,"E02006235 E02006254"
"255185",1,1,1,25.424,12802,470,404,0.01589,4739,426,48518,"E02006235 E02006271"
"255186",1,1,1,28.968,13486,522,439,0.01515,5400,437,46707,"E02006235 E02006272"
"255214",1,1,1,13.336,5512,195,171,0.01282,2486,199,30301,"E02006236 E02006237"
"255215",1,1,1,19.326,10804,371,317,0.0164,3603,324,36682,"E02006236 E02006245"
"255216",1,1,1,18.442,10286,355,301,0.01632,3438,298,34924,"E02006236 E02006246"
