"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4134","E02003943","Cornwall 054",2779,34,1012,1374,139,31,7,111,10,40,21,86.009,52.009,983.19202,1356.5031,-17.497,52.211,18.211,1007.443,1363.9041,-10.096,393.14899,359.14899,799.96399,1265.12,-108.88,661.73297,627.73297,671.36298,1157.6949,-216.30499,-0.01303,24155,-0.00329,6094,-0.01497,27769,-0.00523,9708,-0.01073,19893,-0.00099,1832,0.00181,-3369,0.01155,-21430,-11487,-5062,-10753,-4328,-29928,-23503,-69345,-62920,3.10673
"4215","E02003904","Cornwall 037",1848,15,475,1167,72,18,3,50,16,24,8,31.779,16.779,467.50101,1159.2581,-7.742,31.561,16.561,467.62799,1159.3719,-7.628,119.511,104.511,422.61099,1124.14,-42.86,278.89999,263.89999,357.336,1044.932,-122.068,-0.00749,13875,-0.00307,5682,-0.0066,12235,-0.00218,4042,-0.01298,24062,-0.00856,15869,-0.01421,26348,-0.00979,18155,-6383,-3108,-5984,-2709,-17259,-13984,-52585,-49310,NA
"4230","E02003912","Cornwall 048",2804,33,282,2147,158,22,7,85,5,34,31,56.606,23.606,278.03,2129.8049,-17.194,57.731,24.731,278.20401,2128.6941,-18.306,162.366,129.366,254.599,2057.8279,-89.172,404.38101,371.38101,218.41,1878.854,-268.146,-0.02997,55570,-0.01076,19936,-0.02793,51807,-0.00872,16173,-0.05681,105373,-0.0376,69739,-0.11209,207930,-0.09287,172296,-21978,-7664,-23299,-8985,-43789,-29475,-126518,-112204,NA
"4425","E02003895","Cornwall 016",3263,21,405,2444,216,54,1,47,4,41,30,56.553,35.553,397.91299,2419.55,-24.45,41.648,20.648,400.03601,2430.5229,-13.477,282.89499,261.89499,346.99399,2268.4741,-175.526,579.52002,558.52002,294.77301,2058.4719,-385.52802,-0.01011,18725,-0.00718,13297,-0.00411,7631,-0.00119,2203,-0.03432,63646,-0.03139,58218,-0.07777,144264,-0.07484,138836,-7763,-5745,-3371,-1353,-28148,-26130,-93325,-91307,4.81232
"4665","E02003954","Cornwall 020",2837,82,687,1756,154,6,3,78,12,33,26,132.57899,50.579,666.263,1731.377,-24.623,118.678,36.678,668.69098,1740.8571,-15.143,366.785,284.785,558.35498,1628.3101,-127.69,613.21503,531.21503,473.69101,1492.4709,-263.52899,-0.01812,33591,-0.00758,14044,-0.01384,25676,-0.0033,6129,-0.03149,58406,-0.02095,38859,-0.05058,93821,-0.04004,74274,-17692,-7252,-15616,-5176,-36584,-26144,-89662,-79222,3.48457
"4666","E02003903","Cornwall 034",2615,113,353,1690,143,25,3,130,11,82,65,144.506,31.506,347.08899,1670.677,-19.322,180.869,67.869,342.83401,1647.115,-42.886,243.58701,130.58701,321.52802,1615.0909,-74.909,474.56299,361.56299,280.88501,1468.7111,-221.289,-0.06752,125235,-0.0121,22431,-0.07954,147546,-0.02412,44742,-0.08399,155789,-0.02857,52985,-0.12454,231024,-0.06912,128220,-39918,-7194,-53626,-20902,-52225,-19501,-111822,-79098,NA
"4697","E02003920","Cornwall 049",3203,59,372,2310,233,47,0,116,3,44,19,106.561,47.561,363.646,2277.1909,-32.809,106.542,47.542,359.03799,2280.936,-29.064,351.70401,292.70401,311.319,2116.2361,-193.76401,676.55701,617.55701,264.09799,1884.738,-425.26199,-0.03008,55787,-0.01527,28313,-0.02056,38138,-0.00575,10664,-0.07873,146044,-0.06392,118570,-0.13069,242448,-0.11588,214974,-19917,-9527,-16322,-5932,-54570,-44180,-134155,-123765,3.52428
"4703","E02003933","Cornwall 003",2340,29,237,1830,132,14,4,20,5,36,33,50.308,21.308,232.953,1815.038,-14.962,51.174,22.174,231.94701,1815.219,-14.781,130.59,101.59,213.629,1762.6,-67.4,297.91299,268.91299,187.035,1640.1541,-189.84599,-0.01964,36435,-0.00865,16044,-0.01624,30120,-0.00524,9729,-0.03893,72215,-0.02794,51824,-0.06996,129795,-0.05897,109404,-15373,-6878,-14780,-6285,-33007,-24512,-93532,-85037,3.77788
"4705","E02003916","Cornwall 063",2358,79,701,1218,106,96,3,87,11,21,36,114.087,35.087,685.44,1202.899,-15.101,118.668,39.668,686.96399,1197.9,-20.1,283.07199,204.07201,591.96198,1143.675,-74.325,500.194,421.194,510.16199,1038.354,-179.646,-0.02266,42028,-0.00598,11082,-0.02442,45298,-0.00774,14352,-0.03037,56337,-0.01369,25391,-0.05297,98259,-0.03629,67313,-14230,-4157,-17043,-6970,-23175,-13102,-60328,-50255,3.44966
"4755","E02003914","Cornwall 060",2994,94,402,1966,209,105,1,122,26,44,25,125.343,31.343,396.80801,1946.162,-19.838,142.35001,48.35,394.73801,1935.79,-30.21,256.29401,162.29401,370.909,1866.266,-99.735,586.375,492.375,312.776,1656.256,-309.74399,-0.03702,68653,-0.00954,17678,-0.04008,74346,-0.0126,23371,-0.05945,110284,-0.03197,59309,-0.10587,196405,-0.07839,145430,-21576,-5830,-25767,-10021,-37095,-21349,-98775,-83029,4.64849
"5014","E02003942","Cornwall 015",2947,34,487,2025,264,13,5,50,30,26,13,92.069,58.069,474.25699,1988.141,-36.859,66.13,32.13,480.29599,2004.27,-20.73,446.23001,412.23001,389.33701,1769.948,-255.052,733.16199,699.16199,329.16501,1583.115,-441.88501,-0.01937,35912,-0.00956,17718,-0.01544,28637,-0.00563,10443,-0.05294,98209,-0.04313,80015,-0.07131,132282,-0.0615,114088,-14168,-7087,-13064,-5983,-42272,-35191,-90208,-83127,2.86133
"5016","E02003946","Cornwall 061",3146,61,173,2542,157,33,4,95,4,38,39,106.263,45.263,168.569,2506.2681,-35.732,103.994,42.994,170.278,2506.98,-35.02,258.88901,197.88901,146.44501,2392.689,-149.311,496.841,435.841,131.56799,2197.188,-344.81201,-0.06775,125676,-0.02594,48111,-0.06371,118193,-0.0219,40628,-0.12005,222703,-0.07824,145138,-0.1925,357131,-0.15069,279566,-45514,-17224,-48482,-20192,-84185,-55895,-194774,-166484,2.28731
"5041","E02003938","Cornwall 008",2321,57,471,1588,100,11,5,26,9,26,28,88.234,31.234,460.14301,1570.1,-17.9,66.286,9.286,469.04199,1581.625,-6.375,220.873,163.873,407.12399,1500.45,-87.55,426.302,369.302,344.02899,1375.162,-212.838,-0.022,40797,-0.00638,11818,-0.01885,34965,-0.00323,5986,-0.03358,62282,-0.01795,33303,-0.04204,77978,-0.02641,48999,-19114,-6320,-16065,-3271,-37739,-24945,-87492,-74698,3.62106
