"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"175335",1,1,1,8.573,3746,177,277,0.03231,1598,139,23759,"E02003901 E02003904",177
"175338",1,1,1,21.8,11906,450,900,0.04128,4064,532,55196,"E02003901 E02003941",450
"175339",1,1,1,23.298,12692,437,975,0.04185,4343,580,56300,"E02003901 E02003942",437
"175341",1,1,1,23.989,13970,652,1145,0.04773,4472,678,83476,"E02003901 E02003957",652
"175342",1,1,1,22.113,12072,571,1063,0.04807,4122,578,56936,"E02003901 E02003960",571
"175343",1,1,1,26.425,15276,640,1283,0.04855,4926,730,107096,"E02003901 E02003961",640
"175345",1,1,1,27.744,15594,725,1206,0.04347,5172,705,140856,"E02003901 E02003963",725
"175365",1,1,1,7.08,3940,241,339,0.04788,1320,196,16173,"E02003902 E02003903",241
"175390",1,1,1,24.004,14278,700,1123,0.04678,4475,706,68811,"E02003903 E02003904",700
"175409",1,1,1,9.684,4034,183,271,0.02798,1805,143,20662,"E02003905 E02003906",183
"175410",1,1,1,15.609,7578,237,429,0.02748,2910,305,85448,"E02003905 E02003907",237
"175411",1,1,1,9.506,4084,172,329,0.03461,1772,162,39133,"E02003905 E02003908",172
"175412",1,1,1,11.878,6338,195,521,0.04386,2214,294,26809,"E02003905 E02003909",195
"175413",1,1,1,11.092,4966,233,388,0.03498,2068,202,42284,"E02003905 E02003910",233
"175414",1,1,1,15.982,7948,356,577,0.0361,2979,349,52098,"E02003905 E02003911",356
"175415",1,1,1,13.502,6698,238,569,0.04214,2517,286,27358,"E02003905 E02003912",238
"175420",1,1,1,19.219,9142,262,531,0.02763,3583,370,157196,"E02003905 E02003919",262
"175421",1,1,1,19.309,9570,305,581,0.03009,3599,403,134475,"E02003905 E02003920",305
"175430",1,1,1,13.676,5930,243,352,0.02574,2549,217,71491,"E02003905 E02003952",243
"175431",1,1,1,14.73,7110,275,473,0.03211,2746,302,58004,"E02003905 E02003953",275
"175432",1,1,1,12.625,5376,203,324,0.02566,2353,186,39973,"E02003905 E02003954",203
"175433",1,1,1,12.181,5058,213,314,0.02578,2271,170,29817,"E02003905 E02003955",213
"175434",1,1,1,21.057,9584,360,401,0.01904,3925,376,94734,"E02003905 E02003956",360
"175435",1,1,1,27.143,12462,457,575,0.02118,5060,490,110846,"E02003905 E02003957",457
"175436",1,1,1,18.16,9684,312,625,0.03442,3385,443,49857,"E02003905 E02003958",312
"175438",1,1,1,24.956,12688,552,873,0.03498,4652,549,85984,"E02003905 E02003961",552
"175439",1,1,1,23.301,11908,516,820,0.03519,4344,527,83675,"E02003905 E02003962",516
"175440",1,1,1,23.781,11854,505,832,0.03499,4433,513,83757,"E02003905 E02003963",505
"175441",1,1,1,21.313,11694,477,793,0.03721,3973,480,59537,"E02003905 E02003964",477
"175443",1,1,1,8.015,4798,186,266,0.03319,1494,231,22779,"E02003906 E02003907",186
