"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2443","E02005565","King's Lynn and West Norfolk 015",2981,7,103,61,3,24,2440,187,44,96,16,136.188,92.188,90.803,2365.48804,-74.512,65.204,21.204,95.817,2422.15796,-17.842,439.40201,395.40201,72.26,2122.93701,-317.064,641.16199,597.16199,68.002,1951.927,-488.073,-0.08875,164638,-0.06451,119679,-0.03738,69335,-0.01314,24376,-0.24826,460577,-0.22402,415618,-0.26239,486798,-0.23815,441839,-52104,-37849,-23742,-9487,-167734,-153479,-267966,-253711,0.00482
"2520","E02005586","Norwich 003",5389,5,64,314,14,70,2543,302,466,1587,24,688.315,222.315,1493.35596,2446.15894,-96.841,665.43903,199.439,1522.27197,2438.95093,-104.048,1464.08704,998.08698,1110.81494,2151.59204,-391.40799,1871.96899,1405.96899,989.17297,1930.104,-612.896,-0.0982,182158,-0.02391,44326,-0.1077,199798,-0.03341,61966,-0.14381,266776,-0.06951,128944,-0.13684,253858,-0.06255,116026,-82309,-22898,-88823,-29412,-133970,-74559,-203731,-144320,0.01738
"2592","E02005542","Great Yarmouth 005",2533,2,25,251,18,23,1068,257,125,719,45,267.62701,142.627,661.841,1007.65802,-60.342,178.985,53.985,696.84802,1045.52905,-22.471,828.95801,703.95801,420.87601,782.48798,-285.51199,873.59198,748.59198,420.77899,751.05298,-316.94699,-0.04314,80007,-0.02225,41267,-0.02812,52159,-0.00724,13419,-0.09466,175608,-0.07378,136868,-0.07106,131822,-0.05018,93082,-20299,-10721,-13939,-4361,-54389,-44811,-70351,-60773,0.00375
"2593","E02005525","Broadland 006",4818,23,34,360,7,71,3707,246,137,207,26,274.957,137.957,197.075,3600.93408,-106.066,237.09399,100.094,200.85001,3633.64893,-73.351,779.60303,642.60303,150.617,3217.17798,-489.82199,1187.84094,1050.84094,136.496,2894.49902,-812.50098,-0.11668,216441,-0.05963,110610,-0.09478,175824,-0.03773,69993,-0.26371,489223,-0.20666,383392,-0.30834,572033,-0.25129,466202,-83826,-43100,-74592,-33866,-217927,-177201,-375750,-335024,0.01392
"2773","E02005575","North Norfolk 006",2495,9,32,60,12,27,2008,132,62,119,34,104.904,42.904,114.879,1974.28198,-33.718,83.081,21.081,117.173,1991.21497,-16.785,243.80499,181.80499,97.895,1869.27698,-138.72301,411.88199,349.88199,87.678,1731.94995,-276.04999,-0.06526,121067,-0.02774,51445,-0.05082,94276,-0.01329,24654,-0.10567,196028,-0.06814,126406,-0.14049,260635,-0.10296,191013,-36906,-15838,-29186,-8118,-75585,-54517,-149694,-128626,NA
"2782","E02005508","Breckland 006",2666,1,21,90,8,33,2197,147,57,97,15,116.405,59.405,93.021,2148.4021,-48.598,88.501,31.501,95.945,2170.82397,-26.176,285.34,228.34,79.743,2011.854,-185.146,447.96301,390.96301,75.484,1872.65503,-324.345,-0.06245,115821,-0.03333,61808,-0.05247,97338,-0.02335,43325,-0.11876,220308,-0.08964,166295,-0.16631,308526,-0.13719,254513,-43742,-23888,-32935,-13081,-95859,-76005,-192286,-172432,0.01007
"2928","E02006908","Norwich 015",2734,2,67,221,9,19,1260,133,155,854,14,223.077,68.077,830.39398,1227.23901,-32.761,215.008,60.008,827.711,1234.84802,-25.152,484.621,329.621,721.85602,1111.29004,-148.71001,763.85303,608.85303,605.185,992.73999,-267.26001,-0.04334,80377,-0.01227,22743,-0.03843,71280,-0.00736,13646,-0.07815,144962,-0.04708,87328,-0.07389,137063,-0.04282,79429,-32293,-9392,-31097,-8196,-58263,-35362,-93096,-70195,NA
"2954","E02005518","Breckland 016",5537,3,62,97,42,30,3781,536,216,753,17,403.078,187.078,710.64398,3660.71191,-120.288,327.44699,111.447,726.22101,3710.86108,-70.139,1123.72998,907.72998,526.53699,3215.48999,-565.51001,1415.91895,1199.91895,484.89801,3008.12988,-772.87,-0.08286,153715,-0.04052,75158,-0.06535,121230,-0.023,42673,-0.15066,279504,-0.10832,200947,-0.20213,374995,-0.15979,296438,-60568,-30747,-46052,-16231,-131821,-102000,-248392,-218571,0.01229
"3013","E02005593","Norwich 010",2865,4,19,412,24,40,1247,192,330,579,18,452.047,122.047,544.63098,1192.65601,-54.344,435.897,105.897,544.62201,1201.92004,-45.08,790.09601,460.09601,441.66501,1048.68994,-198.31,988.54999,658.54999,405.422,947.68701,-299.31299,-0.07819,145035,-0.02046,37943,-0.07175,133092,-0.01402,26000,-0.14109,261725,-0.08336,154633,-0.1391,258035,-0.08137,150943,-51317,-13098,-48666,-10447,-82656,-44437,-115355,-77136,0.0128
"3051","E02005589","Norwich 006",4708,5,28,435,23,77,2498,362,510,734,36,705.50403,195.504,689.60199,2392.62402,-105.376,698.49103,188.491,688.25201,2401.18408,-96.816,1247.16699,737.16699,564.245,2105.98389,-392.01599,1620.11206,1110.11206,501.45999,1887.08398,-610.91602,-0.14182,263070,-0.03802,70518,-0.13869,257281,-0.0349,64729,-0.25527,473573,-0.15148,281021,-0.25757,477834,-0.15378,285282,-98334,-26540,-97084,-25290,-159345,-87551,-229018,-157224,0.01395
