"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"763","E02005804","Scarborough 010",3179,4,46,200,21,16,1385,223,77,1187,20,145.783,68.783,1155.83899,1358.06006,-26.94,121.213,44.213,1166.35596,1368.03601,-16.964,552.65503,475.655,947.07703,1214.31604,-170.68401,867.48401,790.48401,813.88599,1083.80103,-301.19901,-0.0209,38771,-0.0073,13527,-0.01675,31075,-0.00314,5831,-0.03795,70405,-0.02435,45161,-0.03704,68723,-0.02344,43479,-13158,-5262,-10794,-2898,-32714,-24818,-61783,-53887,0.03128
"776","E02005754","Hambleton 005",3220,2,67,51,3,8,2370,192,112,400,15,242.56,130.56,373.89001,2279.15698,-90.843,217.56,105.56,378.99301,2296.78296,-73.217,774.27301,662.27301,258.98801,1918.21997,-451.78,928.005,816.005,239.22099,1799.20898,-570.79102,-0.03777,70057,-0.01661,30801,-0.03771,69956,-0.01655,30700,-0.07857,145755,-0.05741,106499,-0.0865,160474,-0.06534,121218,-41566,-19409,-38868,-16711,-93456,-71299,-150283,-128126,0.0107
"790","E02002780","York 009",4007,3,97,282,24,30,1385,207,532,1431,16,794.68201,262.68201,1300.974,1296.91101,-88.088,675.03198,143.032,1359.76794,1337.29395,-47.706,1516.21301,984.21301,907.82098,1081.56494,-303.435,1623.12695,1091.12695,882.51202,1023.22101,-361.77899,-0.05286,98051,-0.01176,21809,-0.05023,93170,-0.00913,16928,-0.06529,121113,-0.02419,44871,-0.0411,76217,0,-25,-65184,-17112,-61535,-13463,-96983,-48911,-119439,-71367,0.00727
"799","E02005787","Richmondshire 006",3232,5,30,33,6,17,2456,206,32,420,27,73.759,41.759,410.43399,2427.66309,-28.338,60.193,28.193,417.358,2433.49097,-22.509,245.87199,213.87199,359.42499,2321.72095,-134.27901,492.66199,460.66199,309.41599,2148.33911,-307.66101,-0.02496,46304,-0.00985,18265,-0.02605,48329,-0.01094,20290,-0.04799,89030,-0.03288,60991,-0.07892,146407,-0.0638,118368,-32904,-14563,-36167,-17826,-63079,-44738,-163149,-144808,NA
"803","E02005771","Harrogate 011",3813,2,50,347,27,33,2536,267,81,459,11,164.341,83.341,447.83401,2481.41309,-54.587,169.944,88.944,444.66,2480.49902,-55.501,603.05603,522.05603,378.68201,2205.09399,-330.905,1013.76599,932.76599,319.57501,1940.96301,-595.03802,-0.0279,51709,-0.01459,27039,-0.02286,42403,-0.00956,17733,-0.08904,165164,-0.07574,140494,-0.11289,209406,-0.09959,184736,-24908,-13362,-22078,-10532,-79714,-68168,-152921,-141375,0.02855
"829","E02005782","Richmondshire 001",3016,5,50,37,3,11,2568,139,23,156,24,63.603,40.603,151.772,2535.12012,-32.88,38.905,15.905,153.78101,2555.69995,-12.3,209.52,186.52,130.91,2423.71289,-144.287,406.78299,383.78299,117.348,2256.71899,-311.28101,-0.02069,38350,-0.01373,25444,-0.01061,19674,-0.00365,6768,-0.06591,122250,-0.05895,109344,-0.11456,212520,-0.1076,199614,-28061,-18791,-16005,-6735,-71288,-62018,-180830,-171560,0.03208
"1212","E02005751","Hambleton 002",3252,5,46,23,4,8,2796,121,35,181,33,111.531,76.531,171.782,2734.18408,-61.816,64.659,29.659,177.93401,2771.73608,-24.264,400.423,365.423,128.27499,2510.91699,-285.082,592.64398,557.64398,118.692,2338.74097,-457.259,-0.03707,68731,-0.02293,42510,-0.02498,46333,-0.01084,20112,-0.09232,171249,-0.07819,145028,-0.13128,243514,-0.11714,217293,-42509,-26027,-27674,-11192,-107994,-91512,-223111,-206629,0.01298
"1217","E02005788","Ryedale 001",2318,1,18,36,3,14,1714,154,53,301,24,103.355,50.355,288.45001,1681.37598,-32.624,77.958,24.958,293.215,1699.25305,-14.747,285.31201,232.312,236.459,1569.95996,-144.03999,455.211,402.211,206.364,1448.48401,-265.51599,-0.03569,66213,-0.01645,30513,-0.02389,44326,-0.00465,8626,-0.06752,125272,-0.04828,89572,-0.07697,142798,-0.05773,107098,-29142,-13825,-20482,-5165,-67887,-52570,-130179,-114862,0.01658
"1300","E02005745","Craven 004",1978,1,77,27,4,6,1522,100,25,202,14,48.752,23.752,197.968,1504.60095,-17.399,52.718,27.718,197.123,1501.78101,-20.219,173.285,148.285,172.40601,1417.64197,-104.358,347.276,322.276,144.674,1288.07397,-233.92599,-0.01839,34092,-0.00779,14435,-0.01848,34276,-0.00788,14619,-0.0398,73813,-0.0292,54156,-0.06547,121427,-0.05487,101770,-13758,-5781,-15252,-7275,-32121,-24144,-78416,-70439,0.03574
"1438","E02005748","Craven 007",3232,4,218,64,4,24,2531,159,34,170,24,61.451,27.451,167.90601,2509.16089,-21.839,78.883,44.883,168.739,2493.86694,-37.133,174.142,140.142,153.45599,2423.78906,-107.211,436.784,402.784,134.01601,2214.34302,-316.65799,-0.03584,66450,-0.01515,28062,-0.04219,78264,-0.0215,39876,-0.07353,136389,-0.05284,98001,-0.14226,263887,-0.12156,225499,-24043,-10520,-30487,-16964,-52864,-39341,-150290,-136767,0.04503
"1466","E02002784","York 013",5185,10,336,402,11,17,1279,160,442,2490,38,644.34003,202.34,2374.18799,1229.92297,-49.077,508.54599,66.546,2451.43896,1262.73999,-16.26,1402.77905,960.77899,1856.35999,1088.72705,-190.27299,1662.53198,1220.53198,1700.99805,1026.39099,-252.60899,-0.04207,78032,-0.01019,18898,-0.03506,65038,-0.00318,5904,-0.05525,102476,-0.02337,43342,-0.03094,57389,0.00093,-1745,-38575,-10280,-31942,-3647,-59626,-31331,-77222,-48927,0.0132
"1496","E02005803","Scarborough 009",3714,4,41,174,19,42,1989,296,135,1000,14,228.07401,93.074,968.65198,1941.21802,-47.782,234.168,99.168,962.81201,1941.68103,-47.319,721.81598,586.81598,784.65802,1700.18701,-288.81299,1078.06799,943.06799,679.72699,1508.79895,-480.20099,-0.03585,66490,-0.01154,21403,-0.03187,59111,-0.00756,14024,-0.06666,123655,-0.04235,78568,-0.07533,139750,-0.05103,94663,-22875,-8071,-21609,-6805,-50978,-36174,-92975,-78171,0.03371
"1595","E02005783","Richmondshire 002",3522,6,29,130,11,15,2369,226,38,671,27,97.019,59.019,652.35101,2336.302,-32.698,73.976,35.976,661.46899,2347.57104,-21.429,409.371,371.371,535.48798,2181.573,-187.427,720.901,682.901,456.02499,1991.08105,-377.91901,-0.01457,27018,-0.00789,14623,-0.01043,19336,-0.00374,6941,-0.04288,79542,-0.0362,67147,-0.06667,123677,-0.05999,111282,-20927,-12201,-15260,-6534,-56054,-47328,-137034,-128308,0.02883
