"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1958","E02005740","Northumberland 020",4222,63,352,2990,343,22,5,374,18,34,21,183.49699,120.497,334.659,2911.572,-78.428,115.246,52.246,345.418,2955.093,-34.907,700.83899,637.83899,243.96899,2591.552,-398.448,1025.728,962.72803,220.79401,2356.1799,-633.82001,-0.08138,150924,-0.05205,96522,-0.04688,86958,-0.01755,32556,-0.22975,426191,-0.20042,371789,-0.28519,529055,-0.25586,474653,-49079,-30567,-31795,-13283,-145413,-126901,-271013,-252501,1.06141
"2079","E02005711","Northumberland 024",3140,106,398,1950,309,19,18,266,32,15,27,231.349,125.349,371.952,1878.024,-71.976,146.868,40.868,390.03,1925.391,-24.609,737.67798,631.67798,253.511,1597.719,-352.28101,903.92999,797.92999,243.79401,1480.908,-469.09201,-0.05884,109100,-0.03369,62456,-0.03465,64263,-0.0095,17619,-0.14093,261404,-0.11578,214760,-0.17172,318530,-0.14657,271886,-32822,-18702,-21253,-7133,-85269,-71149,-152951,-138831,1.21654
"2188","E02005733","Northumberland 040",3290,24,247,2552,228,79,10,88,5,15,42,60.249,36.249,240.95599,2526.8069,-25.193,36.761,12.761,244.858,2543.0859,-8.914,226.742,202.742,208.63,2415.2439,-136.756,446.48999,422.48999,181.17799,2255.2019,-296.798,-0.02803,52004,-0.01592,29540,-0.01735,32190,-0.00524,9726,-0.07959,147660,-0.06748,125196,-0.11353,210625,-0.10142,188161,-17930,-10279,-12215,-4564,-56508,-48857,-127133,-119482,NA
"2204","E02005736","Northumberland 013",2926,72,350,1919,272,12,11,231,18,17,24,171.34801,99.348,329.811,1860.333,-58.666,134.186,62.186,334.69501,1884.636,-34.364,592.41998,520.41998,229.957,1623.923,-295.077,768.43799,696.43799,215.71001,1500.375,-418.625,-0.04726,87635,-0.0296,54886,-0.02667,49465,-0.00901,16716,-0.12344,228975,-0.10578,196226,-0.16105,298753,-0.14339,266004,-28405,-17806,-16759,-6160,-79138,-68539,-151185,-140586,1.30941
"2266","E02005704","Northumberland 006",4877,90,578,3445,344,83,5,234,14,25,59,168.866,78.866,555.45801,3398.3921,-46.608,158.252,68.252,557.91901,3405.3459,-39.654,426.71799,336.71799,462.38101,3263.6021,-181.399,714.08502,624.08502,407.561,3070.5349,-374.465,-0.06795,126056,-0.03285,60939,-0.05742,106523,-0.02232,41406,-0.11644,216012,-0.08134,150895,-0.18007,334069,-0.14497,268952,-48053,-24280,-43439,-19666,-98580,-74807,-222926,-199153,NA
"2764","E02005727","Northumberland 019",2493,7,213,2006,145,20,3,56,2,11,30,21.342,14.342,210.489,1995.4659,-10.534,9.036,2.036,212.526,2004.604,-1.396,71.351,64.351,200.114,1960.17,-45.83,188.425,181.425,180.621,1873.334,-132.666,-0.01303,24177,-0.00955,17718,-0.0044,8167,-0.00092,1708,-0.03786,70232,-0.03437,63773,-0.0707,131160,-0.06721,124701,-8841,-6804,-2707,-670,-26666,-24629,-84176,-82139,NA
"2893","E02005709","Northumberland 022",2151,74,351,1236,233,9,6,185,27,18,12,160.263,86.263,328.44101,1192.205,-43.795,117.356,43.356,339.92499,1211.787,-24.213,510.29501,436.29501,227.01401,1022.819,-213.181,624.242,550.242,216.793,948.39301,-287.60699,-0.0448,83067,-0.0215,39844,-0.03747,69498,-0.01416,26275,-0.09821,182152,-0.07491,138929,-0.11257,208796,-0.08927,165573,-26309,-11982,-25029,-10702,-60268,-45941,-101402,-87075,1.21265
"3217","E02005721","Northumberland 011",2158,23,158,1530,167,36,3,205,2,9,25,71.744,48.744,152.408,1497.661,-32.339,41.614,18.614,156.67799,1516.1,-13.9,294.43399,271.43399,119.566,1358.687,-171.313,464.08499,441.08499,104.687,1240.056,-289.944,-0.03667,67991,-0.02153,39909,-0.02473,45873,-0.00959,17791,-0.09644,178890,-0.0813,150808,-0.12893,239162,-0.11379,211080,-23427,-13163,-19859,-9595,-62166,-51902,-122700,-112436,1.6373
"3376","E02005705","Northumberland 007",2696,14,283,2068,173,42,9,58,2,10,37,26.391,12.391,279.983,2059.9121,-8.088,18.183,4.183,281.83099,2065.365,-2.635,73.676,59.676,266.20099,2031.161,-36.839,201.246,187.246,236.756,1946.486,-121.514,-0.01235,22913,-0.00633,11746,-0.00763,14160,-0.00161,2993,-0.02794,51823,-0.02192,40656,-0.05613,104126,-0.05011,92959,-8921,-4729,-5896,-1704,-21432,-17240,-72162,-67970,NA
"3391","E02005714","Northumberland 027",2794,33,90,2263,158,54,5,149,10,10,22,107.464,74.464,85.626,2202.877,-60.123,64.037,31.037,88.489,2237.1731,-25.827,411.94501,378.94501,62.191,1963.15,-299.85001,621.57703,588.57703,55.819,1787.972,-475.02802,-0.05478,101570,-0.03988,73921,-0.02797,51875,-0.01306,24226,-0.15963,296101,-0.14473,268452,-0.2119,393069,-0.19699,365420,-33243,-24159,-18917,-9833,-106581,-97497,-207326,-198242,1.43389
