"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"5371","E02003839","Cheshire East 050",2870,7,93,49,5,18,2062,155,104,369,8,207.765,103.765,347.41901,1992.42798,-69.572,156.056,52.056,361.897,2023.38794,-38.612,634.638,530.638,239.608,1724.80896,-337.19101,805.35303,701.35303,224.679,1590.60205,-471.39801,-0.0568,105338,-0.02785,51625,-0.04586,85079,-0.01691,31366,-0.13211,245066,-0.10316,191353,-0.14159,262657,-0.11264,208944,-39695,-19647,-31791,-11743,-101940,-81892,-162836,-142788,0.00994
"5377","E02003887","Cheshire West and Chester 037",2853,3,25,55,15,23,2278,193,56,192,13,123.589,67.589,184.436,2227.07202,-50.928,107.723,51.723,185.03,2241.03296,-36.967,427.29401,371.29401,143.569,2006.10803,-271.892,623.93597,567.93597,129.198,1848.21204,-429.78799,-0.04039,74873,-0.02287,42383,-0.02998,55599,-0.01246,23109,-0.10042,186269,-0.08291,153779,-0.13869,257261,-0.12117,224771,-29639,-16566,-22645,-9572,-76863,-63790,-154386,-141313,0.01496
"5388","E02003870","Cheshire East 018",5387,2,222,200,33,30,3103,272,136,1363,26,271.12799,135.12801,1313.57202,3034.21802,-68.782,209.841,73.841,1334.90698,3066.24902,-36.751,985.13501,849.13501,1005.14001,2708.46509,-394.535,1390.56201,1254.56201,897.76599,2467.66797,-635.33099,-0.05364,99434,-0.02271,42067,-0.04234,78544,-0.01142,21177,-0.10231,189744,-0.07139,132377,-0.14337,265917,-0.11245,208550,-37710,-17411,-29163,-8864,-88203,-67904,-182222,-161923,0.01958
"5482","E02003835","Cheshire East 046",3410,5,125,74,4,37,2729,178,126,121,11,253.16701,127.167,115.44,2622.323,-106.677,217.789,91.789,116.092,2653.08691,-75.913,778.01703,652.01703,89.361,2187.927,-541.073,1018.008,892.008,80.172,1984.91296,-744.08698,-0.07083,131353,-0.03751,69547,-0.05516,102311,-0.02184,40505,-0.18839,349464,-0.15507,287658,-0.19735,366099,-0.16404,304293,-49370,-26144,-39355,-16129,-142129,-118903,-210346,-187120,0.00946
"5499","E02003813","Cheshire East 024",2856,1,27,59,4,18,2312,112,70,236,17,154.375,84.375,221.985,2248.37598,-63.624,127.014,57.014,228.713,2266.14404,-45.856,471.83801,401.83801,160.267,2018.229,-293.771,661.61499,591.61499,148.675,1857.97498,-454.02499,-0.05345,99099,-0.03287,60925,-0.04593,85206,-0.02535,47032,-0.13798,255926,-0.1174,217752,-0.16577,307493,-0.14519,269319,-40610,-24198,-40774,-24362,-113568,-97156,-202212,-185800,0.01249
"5533","E02002596","Warrington 007",4089,6,80,197,13,32,3206,254,105,182,14,322.39899,217.399,168.22,3038.31494,-167.685,178.584,73.584,175.841,3150.19092,-55.809,1159.97595,1054.97595,112.485,2396.71289,-809.28699,1371.38794,1266.38794,107.386,2223.13696,-982.86298,-0.10625,197008,-0.07344,136148,-0.05349,99214,-0.02068,38354,-0.34698,643642,-0.31417,582782,-0.32529,603398,-0.29248,542538,-64965,-44320,-35050,-14405,-215800,-195155,-300827,-280182,0.00424
"5567","E02003798","Cheshire West and Chester 029",2527,1,22,413,45,19,1403,230,109,276,9,209.44299,100.443,260.79199,1353.776,-49.224,180.51601,71.516,261.69901,1370.13696,-32.863,647.474,538.474,190.142,1145.96704,-257.03299,793.86102,684.86102,173.86,1068.28699,-334.71301,-0.04834,89654,-0.02072,38420,-0.03893,72223,-0.01131,20989,-0.11481,212974,-0.08719,161740,-0.1092,202569,-0.08158,151335,-26552,-10462,-22563,-6473,-63436,-47346,-88443,-72353,0.01156
"5583","E02003800","Cheshire West and Chester 030",2495,5,43,59,3,16,2089,102,40,128,10,75.89,35.89,123.942,2060.63794,-28.362,65.968,25.968,124.21,2068.52002,-20.48,190.037,150.037,105.467,1975.75305,-113.247,354.41901,314.41901,92.628,1840.302,-248.698,-0.04748,88041,-0.02253,41753,-0.03779,70107,-0.01284,23819,-0.09205,170740,-0.0671,124452,-0.1386,257094,-0.11365,210806,-34329,-16062,-29017,-10750,-71006,-52739,-156562,-138295,0.01896
"5672","E02003882","Cheshire West and Chester 021",4171,2,48,95,11,33,2884,315,171,590,22,344.23001,173.23,549.91699,2775.68188,-108.318,256.02399,85.024,569.53198,2831.88892,-52.111,965.82599,794.82599,400.82999,2393.56299,-490.43701,1240.35303,1069.35303,361.94901,2194.79199,-689.20801,-0.08054,149363,-0.04185,77596,-0.05516,102323,-0.01647,30556,-0.19047,353322,-0.15179,281555,-0.19747,366297,-0.15878,294530,-63275,-32682,-44739,-14146,-161654,-131061,-258421,-227828,0.0191
"5681","E02003849","Cheshire West and Chester 011",2789,3,45,129,36,21,1641,268,156,479,11,267.53299,111.532,449.327,1580.66296,-60.337,254.71001,98.71,453.43799,1587.604,-53.395,697.48499,541.48499,324.672,1357.198,-283.802,824.99298,668.99298,308.035,1274.59998,-366.39999,-0.0561,104014,-0.02271,42082,-0.05263,97624,-0.01924,35692,-0.1133,210151,-0.07992,148219,-0.11744,217840,-0.08406,155908,-36270,-14214,-35626,-13570,-78498,-56442,-118225,-96169,0.00862
