"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"126150",1,1,1,5.712,3068,207,23,0.00403,1065,74,9662,"E02002594 E02002600"
"126151",1,1,1,5.162,2838,192,19,0.00368,962,67,7580,"E02002594 E02002601"
"126152",1,1,1,8.646,4324,256,43,0.00497,1612,115,12985,"E02002594 E02002602"
"126153",1,1,1,5.064,2810,200,19,0.00375,944,65,7535,"E02002594 E02002603"
"126154",1,1,1,7.032,4138,232,32,0.00455,1311,91,11599,"E02002594 E02002606"
"126155",1,1,1,8.286,4718,275,34,0.0041,1545,107,13800,"E02002594 E02002607"
"126156",1,1,1,7.666,3914,244,35,0.00457,1429,100,13704,"E02002594 E02002609"
"126157",1,1,1,14.037,9462,421,113,0.00805,2617,209,23135,"E02002594 E02002610"
"126158",1,1,1,11.444,6220,365,107,0.00935,2133,196,23071,"E02002594 E02002613"
"126159",1,1,1,31.6,20750,803,275,0.0087,5891,474,47916,"E02002594 E02003859"
"126174",1,1,1,2.605,1164,79,3,0.00115,486,36,3875,"E02002595 E02002596"
"126175",1,1,1,1.417,540,33,1,0.00071,264,19,2055,"E02002595 E02002597"
"126176",1,1,1,5.483,2846,229,38,0.00693,1022,82,8657,"E02002595 E02002598"
"126177",1,1,1,4.749,2722,214,31,0.00653,885,69,7110,"E02002595 E02002599"
"126178",1,1,1,2.047,824,44,6,0.00293,382,27,3403,"E02002595 E02002600"
"126179",1,1,1,4.092,1810,122,4,0.00098,763,52,5645,"E02002595 E02002601"
"126180",1,1,1,2.819,1234,59,22,0.0078,525,40,4291,"E02002595 E02002602"
"126181",1,1,1,5.552,2356,164,6,0.00108,1035,71,8143,"E02002595 E02002603"
"126182",1,1,1,8.621,4216,172,61,0.00708,1607,123,12132,"E02002595 E02002604"
"126183",1,1,1,3.827,1548,86,15,0.00392,713,50,6034,"E02002595 E02002606"
"126184",1,1,1,4.931,2360,98,31,0.00629,919,65,7337,"E02002595 E02002607"
"126185",1,1,1,8.129,4020,165,60,0.00738,1515,116,11667,"E02002595 E02002608"
"126186",1,1,1,6.12,2966,156,30,0.0049,1141,83,10427,"E02002595 E02002609"
"126187",1,1,1,12.491,8514,333,108,0.00865,2328,192,19858,"E02002595 E02002610"
"126188",1,1,1,7.824,4144,216,60,0.00767,1458,119,14267,"E02002595 E02002611"
"126189",1,1,1,8.199,4426,232,65,0.00793,1528,127,15407,"E02002595 E02002612"
"126190",1,1,1,9.898,5272,277,102,0.01031,1845,179,19794,"E02002595 E02002613"
"126191",1,1,1,25.491,12916,595,287,0.01126,4752,402,48971,"E02002595 E02003878"
"126213",1,1,1,1.402,514,42,2,0.00143,261,16,2260,"E02002596 E02002597"
"126214",1,1,1,7.629,3642,289,41,0.00537,1422,108,11712,"E02002596 E02002598"
"126215",1,1,1,6.895,3518,274,34,0.00493,1285,95,10165,"E02002596 E02002599"
"126216",1,1,1,2.981,1162,73,9,0.00302,556,36,5144,"E02002596 E02002600"
"126217",1,1,1,2.237,1170,78,3,0.00134,417,27,3225,"E02002596 E02002601"
"126218",1,1,1,4.965,2030,119,25,0.00504,926,66,7346,"E02002596 E02002602"
"126219",1,1,1,3.697,1716,120,5,0.00135,689,46,5723,"E02002596 E02002603"
"126220",1,1,1,4.107,2470,118,16,0.0039,766,52,7244,"E02002596 E02002606"
"126221",1,1,1,5.555,2812,141,20,0.0036,1036,69,9282,"E02002596 E02002607"
"126222",1,1,1,10.275,4816,225,63,0.00613,1915,142,14722,"E02002596 E02002608"
"126223",1,1,1,4.741,2246,130,19,0.00401,884,61,9349,"E02002596 E02002609"
"126224",1,1,1,11.112,7794,307,97,0.00873,2071,170,18780,"E02002596 E02002610"
"126225",1,1,1,6.445,3424,190,49,0.0076,1201,97,13189,"E02002596 E02002611"
"126226",1,1,1,6.82,3706,206,54,0.00792,1271,104,14329,"E02002596 E02002612"
"126227",1,1,1,8.519,4552,251,91,0.01068,1588,157,18716,"E02002596 E02002613"
"126228",1,1,1,28.675,19082,689,259,0.00903,5345,435,43561,"E02002596 E02003859"
"126229",1,1,1,25.773,14108,628,242,0.00939,4804,405,44595,"E02002596 E02003863"
"126230",1,1,1,24.112,12196,569,276,0.01145,4495,379,47893,"E02002596 E02003878"
"126251",1,1,1,6.475,3210,248,39,0.00602,1207,94,9972,"E02002597 E02002598"
"126252",1,1,1,5.741,3086,233,32,0.00557,1070,81,8425,"E02002597 E02002599"
"126253",1,1,1,1.579,648,33,7,0.00443,294,20,2885,"E02002597 E02002600"
"126254",1,1,1,2.653,1096,82,1,0.00038,495,33,3508,"E02002597 E02002601"
"126255",1,1,1,3.811,1598,78,23,0.00604,710,52,5606,"E02002597 E02002602"
"126256",1,1,1,4.113,1642,124,3,0.00073,767,52,6006,"E02002597 E02002603"
"126257",1,1,1,3.359,1372,75,16,0.00476,626,43,5516,"E02002597 E02002606"
"126258",1,1,1,4.153,2298,101,18,0.00433,774,53,7023,"E02002597 E02002607"
"126259",1,1,1,9.121,4384,184,61,0.00669,1700,128,12982,"E02002597 E02002608"
"126260",1,1,1,5.157,2172,134,17,0.0033,961,66,9632,"E02002597 E02002609"
"126261",1,1,1,11.528,7720,311,95,0.00824,2149,176,19063,"E02002597 E02002610"
"126262",1,1,1,7.236,3632,210,52,0.00719,1349,110,14612,"E02002597 E02002612"
"126263",1,1,1,8.935,4478,255,89,0.00996,1666,163,18999,"E02002597 E02002613"
"126264",1,1,1,24.528,12122,573,274,0.01117,4572,385,48176,"E02002597 E02003878"
"126304",1,1,1,1.573,800,70,7,0.00445,293,20,2243,"E02002598 E02002599"
"126305",1,1,1,5.403,2942,194,32,0.00592,1007,73,8866,"E02002598 E02002600"
"126306",1,1,1,7.499,3740,235,36,0.0048,1398,100,11771,"E02002598 E02002601"
"126307",1,1,1,3.402,2026,158,28,0.00823,634,49,5363,"E02002598 E02002602"
"126308",1,1,1,9.704,4560,291,38,0.00392,1809,128,15192,"E02002598 E02002603"
"126309",1,1,1,2.435,1118,96,7,0.00287,454,30,3463,"E02002598 E02002604"
"126310",1,1,1,2.975,1218,120,9,0.00303,555,35,3919,"E02002598 E02002605"
"126311",1,1,1,5.902,3554,220,43,0.00729,1100,79,8776,"E02002598 E02002606"
"126312",1,1,1,4.721,2608,152,35,0.00741,880,61,7851,"E02002598 E02002607"
"126313",1,1,1,3.249,1518,108,12,0.00369,606,42,4722,"E02002598 E02002608"
"126314",1,1,1,8.226,4730,295,56,0.00681,1533,111,13170,"E02002598 E02002609"
"126315",1,1,1,15.293,9656,431,232,0.01517,2851,259,23121,"E02002598 E02002610"
"126316",1,1,1,8.095,3842,248,113,0.01396,1509,134,13341,"E02002598 E02002612"
"126317",1,1,1,10.443,5916,337,184,0.01762,1947,209,19661,"E02002598 E02002613"
"126375",1,1,1,3.753,2480,125,25,0.00666,700,53,6708,"E02002599 E02002600"
"126376",1,1,1,5.849,3278,166,29,0.00496,1090,80,9613,"E02002599 E02002601"
"126377",1,1,1,1.752,1564,89,21,0.01199,327,28,3205,"E02002599 E02002602"
"126378",1,1,1,8.054,4098,222,31,0.00385,1501,108,13034,"E02002599 E02002603"
"126379",1,1,1,3.234,1674,137,12,0.00371,603,44,4931,"E02002599 E02002604"
"126380",1,1,1,2.308,1214,96,2,0.00087,430,28,3210,"E02002599 E02002605"
"126381",1,1,1,4.252,3092,151,36,0.00847,793,59,6618,"E02002599 E02002606"
"126382",1,1,1,3.538,2562,123,28,0.00791,660,49,5813,"E02002599 E02002607"
"126383",1,1,1,3.752,1828,126,11,0.00293,699,50,5679,"E02002599 E02002608"
"126384",1,1,1,6.576,4268,226,49,0.00745,1226,91,11012,"E02002599 E02002609"
"126385",1,1,1,12.947,9816,403,127,0.00981,2413,200,20443,"E02002599 E02002610"
"126386",1,1,1,8.28,5446,286,79,0.00954,1543,127,14852,"E02002599 E02002611"
"126387",1,1,1,7.803,3774,235,108,0.01384,1455,132,12872,"E02002599 E02002612"
"126388",1,1,1,10.151,5848,324,179,0.01763,1892,207,19192,"E02002599 E02002613"
"126393",1,1,1,25.927,12880,596,336,0.01296,4833,414,47567,"E02002599 E02003878"
"126425",1,1,1,2.162,826,47,4,0.00185,403,28,3064,"E02002600 E02002601"
"126426",1,1,1,2.249,1032,37,4,0.00178,419,30,3797,"E02002600 E02002602"
"126427",1,1,1,4.367,1646,103,6,0.00137,814,56,6485,"E02002600 E02002603"
"126428",1,1,1,7.581,3788,146,41,0.00541,1413,107,11210,"E02002600 E02002604"
"126429",1,1,1,4.863,2324,99,31,0.00637,907,70,7729,"E02002600 E02002605"
"126430",1,1,1,1.905,774,50,9,0.00472,355,25,2816,"E02002600 E02002606"
"126431",1,1,1,2.574,1652,70,11,0.00427,480,33,4139,"E02002600 E02002607"
"126432",1,1,1,7.089,3592,139,40,0.00564,1321,100,10745,"E02002600 E02002608"
"126433",1,1,1,4.198,2192,120,24,0.00572,783,57,7209,"E02002600 E02002609"
