"","geo_code","geo_label","all","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1439","E02003788","South Cambridgeshire 014",2662,6,159,80,3,28,1926,109,252,88,11,350.728,98.728,81.707,-78.221,357.17599,105.176,85.602,-86.668,516.021,264.021,63.52,-206.51401,693.242,441.242,58.884,-353.80801,-0.12167,225708,-0.03299,61184,-0.12685,235322,-0.03816,70798,-0.16577,307520,-0.07708,142996,-0.18308,339639,-0.0944,175115,-120425,-33060,-128545,-41180,-167657,-80292,-241188,-153823,0.00554
"1468","E02003776","South Cambridgeshire 002",3013,4,56,153,3,54,2218,129,217,172,7,336.14499,119.145,155.936,-87.352,296.354,79.354,170.09,-63.177,596.284,379.284,115.998,-276.686,798.85602,581.85602,110.938,-442.83099,-0.10219,189561,-0.03667,68004,-0.09822,182199,-0.03269,60642,-0.16654,308949,-0.10102,187392,-0.1916,355434,-0.12607,233877,-103655,-38253,-98899,-33497,-172765,-107363,-269788,-204386,0.00418
"1512","E02003784","South Cambridgeshire 010",3990,8,123,220,8,55,3041,191,212,121,11,305.37299,93.373,114.263,-72.971,331.439,119.439,116.888,-93.282,446.397,234.397,90.772,-180.343,725.46301,513.46301,83.24,-406.729,-0.14595,270737,-0.04025,74651,-0.16378,303833,-0.05808,107747,-0.17631,327069,-0.07061,130983,-0.24908,462069,-0.14338,265983,-140840,-41149,-159752,-60061,-178444,-78753,-330550,-230859,0.00698
"1522","E02003734","East Cambridgeshire 003",5368,5,733,63,24,33,3343,277,266,610,14,449.914,183.914,559.61298,-108.781,323.03,57.03,591.81799,-31.429,988.646,722.646,387.43201,-422.5,1215.427,949.427,373.23499,-581.92102,-0.09133,169412,-0.04636,85994,-0.05527,102533,-0.01031,19115,-0.14749,273612,-0.10252,190194,-0.23179,430003,-0.18682,346585,-69570,-35821,-41272,-7523,-129211,-95462,-251391,-217642,0.00491
"1527","E02003722","Cambridge 004",4233,9,196,211,12,25,1359,82,1635,686,18,1894.00195,259.00201,583.54303,-114.916,1751.16895,116.169,651.43103,-58.942,1756.32397,121.324,658.85699,-75.275,1827.73706,192.737,649.60999,-124.611,-0.12269,227594,-0.01917,35554,-0.11621,215580,-0.01269,23540,-0.12447,230907,-0.02095,38867,-0.13439,249298,-0.03087,57258,-159234,-23773,-152020,-16559,-152792,-17331,-174319,-38858,0.00538
"1585","E02003248","Peterborough 012",4176,9,72,409,82,19,2198,636,251,459,41,500.185,249.185,423.61499,-139.88499,283.048,32.048,457.36801,-22.464,1450.05298,1199.05298,276.33801,-654.52301,1563.37805,1312.37805,273.58099,-728.30701,-0.10315,191338,-0.05003,92805,-0.06526,121052,-0.01214,22519,-0.2706,502018,-0.21749,403485,-0.23499,435945,-0.18188,337412,-50236,-24889,-32107,-6760,-131130,-105783,-162006,-136659,0.00408
"1602","E02003723","Cambridge 005",2326,15,124,119,9,13,682,50,897,408,9,1022.26703,125.267,354.98999,-51.87,978.85699,81.857,380.349,-40.727,927.349,30.349,404.271,-21.598,956.93701,59.937,402.62701,-43.885,-0.06078,112732,-0.00934,17311,-0.05906,109552,-0.00762,14131,-0.0619,114823,-0.01047,19402,-0.06917,128303,-0.01773,32882,-77979,-11418,-78855,-12294,-74965,-8404,-87356,-20795,0.00682
"1737","E02003762","Huntingdonshire 010",3884,11,167,74,12,33,2931,197,187,259,13,324.548,137.548,245.276,-107.463,243.901,56.901,255.38,-46.462,789.42401,602.42401,194.39999,-464.92801,981.57001,794.57001,183.658,-624.99902,-0.07264,134743,-0.03123,57907,-0.05567,103280,-0.01425,26444,-0.15314,284091,-0.11172,207255,-0.16297,302327,-0.12155,225491,-69899,-30612,-54572,-15285,-152515,-113228,-228861,-189574,0.00701
"1739","E02003241","Peterborough 005",2747,1,61,99,8,20,2149,165,83,147,14,215.772,132.772,136.104,-104.486,129.98399,46.984,145.451,-37.622,695.099,612.099,93.625,-478.33301,872.15302,789.15302,88.066,-626.45697,-0.09401,174383,-0.06109,113311,-0.05573,103378,-0.02281,42306,-0.3005,557486,-0.26758,496414,-0.27718,514225,-0.24426,453153,-56616,-36674,-34388,-14446,-178464,-158522,-247402,-227460,0.00342
"1781","E02006877","Peterborough 022",3633,9,137,207,12,21,2576,251,186,221,13,368.384,182.384,207.07401,-135.01401,266.35901,80.359,216.138,-59.482,1042.479,856.479,148.54201,-627.82202,1241.84497,1055.84497,138.92999,-782.00702,-0.11887,220514,-0.0602,111672,-0.08303,154022,-0.02436,45180,-0.32015,593939,-0.26148,485097,-0.29149,540776,-0.23282,431934,-66406,-34463,-46759,-14816,-177764,-145821,-236807,-204864,NA
