"","geo_code","geo_label","all","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2539","E02003786","South Cambridgeshire 012",2598,5,157,149,2,37,1572,90,476,101,9,587.65802,111.658,94.977,-82.143,604.68597,128.686,97.503,-93.853,657.724,181.724,81.238,-138.037,810.53198,334.53201,75.405,-255.936,-0.15247,282832,-0.03011,55834,-0.15562,288700,-0.03326,61702,-0.16551,307034,-0.04315,80036,-0.18428,341854,-0.06192,114856,-134993,-27673,-138831,-31511,-152052,-44732,-203699,-96379,0.00565
"2582","E02003247","Peterborough 011",3460,0,70,367,11,36,2011,285,290,381,9,502.52399,212.524,351.60501,-127.984,422.36801,132.368,366.229,-82.321,1196.47803,906.47803,244.349,-534.85901,1345.49097,1055.49097,235.677,-637.435,-0.13163,244183,-0.05695,105636,-0.1074,199244,-0.03272,60697,-0.30503,565899,-0.23035,427352,-0.26193,485928,-0.18725,347381,-68627,-29084,-58200,-18657,-155413,-115870,-190245,-150702,0.00531
"2597","E02003753","Huntingdonshire 001",5288,4,84,234,15,53,4135,305,152,289,17,330.62799,178.62801,270.88501,-136.27499,239.799,87.799,281.647,-65.932,969.13702,817.13702,197.51801,-615.83002,1330.32397,1178.32397,184.935,-911.39801,-0.09875,183178,-0.05858,108657,-0.06764,125472,-0.02747,50951,-0.27136,503428,-0.23119,428907,-0.28701,532458,-0.24684,457937,-92450,-53742,-66433,-27725,-257615,-218907,-406553,-367845,0.00971
"2673","E02003750","Fenland 009",2784,4,68,37,11,15,2042,174,223,201,9,353.94901,130.94901,183.369,-98.644,232.05701,9.057,200.403,-7.217,722.617,499.617,135.134,-377.082,796.96198,573.96198,133.196,-440.284,-0.07293,135284,-0.0315,58428,-0.04688,86965,-0.00545,10109,-0.13037,241855,-0.08894,164999,-0.13966,259096,-0.09823,182240,-43141,-18808,-27853,-3520,-83354,-59021,-122063,-97730,0.00245
"2684","E02003249","Peterborough 013",4460,6,81,345,35,19,2535,483,314,618,24,580.41901,266.41901,567.90698,-154.74001,420.44101,106.441,596.95697,-63.892,1516.15796,1202.15796,385.073,-693.47198,1658.23499,1344.23499,379.26901,-792.03101,-0.11447,212344,-0.05802,107620,-0.07862,145848,-0.02217,41124,-0.29921,555088,-0.24276,450364,-0.25633,475542,-0.19988,370818,-63908,-31758,-45569,-13419,-162508,-130358,-204697,-172547,0.00384
"2926","E02003772","Huntingdonshire 020",3316,3,145,76,8,14,2436,172,133,319,10,240.121,107.121,297.73999,-74.336,191.394,58.394,309.43701,-41.705,613.67902,480.67899,208.27901,-319.918,763.62799,630.62799,198.571,-444.14499,-0.04485,83172,-0.02106,39036,-0.03106,57615,-0.00727,13479,-0.08833,163839,-0.06453,119703,-0.11375,211000,-0.08996,166864,-45092,-22030,-31221,-8159,-94600,-71538,-170311,-147249,0.00809
"3050","E02003754","Huntingdonshire 002",2587,4,77,58,2,5,2124,139,41,129,8,99.182,58.182,122.094,-46.089,66.751,25.751,126.412,-19.7,303.09601,262.09601,90.276,-200.782,468.60901,427.60901,83.576,-343.55099,-0.03788,70251,-0.02277,42218,-0.0254,47113,-0.01029,19080,-0.09675,179471,-0.08164,151438,-0.12511,232098,-0.11,204065,-39658,-23195,-27331,-10868,-102260,-85797,-193244,-176781,0.01012
"3086","E02003759","Huntingdonshire 007",2875,4,65,63,3,19,2393,152,65,98,13,147.55701,82.557,91.271,-67.141,102.596,37.596,95.133,-31.002,403.08801,338.08801,66.783,-271.58099,561.43201,496.43201,63.031,-409.79401,-0.04821,89419,-0.02953,54757,-0.03032,56238,-0.01163,21576,-0.11889,220551,-0.10021,185889,-0.14604,270909,-0.12735,236247,-50016,-30824,-32026,-12834,-124277,-105085,-219546,-200354,0.00303
"3130","E02003765","Huntingdonshire 013",2952,2,71,153,20,17,1997,146,174,362,10,286.38699,112.387,332.93701,-69.857,200.11501,26.115,359.13501,-18.553,626.26202,452.26199,234.992,-274.01099,775.159,601.159,226.33501,-392.61301,-0.04595,85208,-0.02278,42244,-0.0323,59905,-0.00913,16941,-0.09666,179309,-0.0735,136345,-0.1167,216486,-0.09354,173522,-47233,-23467,-34017,-10251,-102734,-78968,-175239,-151473,0.00398
"3156","E02003238","Peterborough 002",3037,6,51,224,8,25,2165,220,195,136,7,360.29999,165.3,126.369,-123.493,265.46399,70.464,133.91499,-52.657,877.776,682.776,94.968,-506.61899,1055.42395,860.42401,91.411,-646.953,-0.13688,253917,-0.07141,132465,-0.09185,170388,-0.02638,48936,-0.35871,665491,-0.29325,544039,-0.32488,602722,-0.25941,481270,-74232,-38629,-50983,-15380,-192923,-157320,-253742,-218139,0.00342
"3240","E02003767","Huntingdonshire 015",2669,8,183,25,0,18,2153,103,29,139,11,82.036,53.036,131.64,-41.856,38.016,9.016,137.899,-7.084,265.078,236.078,100.876,-180.948,400.939,371.939,90.947,-296.629,-0.0271,50245,-0.01744,32333,-0.01348,25012,-0.00383,7100,-0.06767,125517,-0.05801,107605,-0.09465,175576,-0.08499,157664,-30181,-19828,-16889,-6536,-78053,-67700,-157882,-147529,0.01115
"3291","E02003736","East Cambridgeshire 005",4494,10,156,100,6,53,3626,261,82,181,19,202.032,120.032,167.424,-93.234,116.937,34.937,178.799,-27.856,559.35199,477.35199,116.604,-363.28,830.67401,748.67401,108.764,-592.87,-0.09957,184700,-0.06392,118564,-0.05916,109744,-0.02351,43608,-0.22544,418221,-0.18979,352085,-0.29842,553621,-0.26277,487485,-74625,-48079,-41410,-14864,-183836,-157290,-346401,-319855,0.00522
"3415","E02003737","East Cambridgeshire 006",5881,6,102,102,7,46,4740,382,245,230,21,446.474,201.474,211.20799,-160.506,258.595,13.595,229.88699,-11.677,1005.573,760.573,163.272,-607.51001,1347.78101,1102.78101,151.843,-899.34802,-0.13098,242986,-0.08236,152787,-0.06243,115814,-0.01381,25615,-0.31085,576700,-0.26223,486501,-0.37117,688620,-0.32255,598421,-101529,-63011,-50013,-11495,-248424,-209906,-434624,-396106,0.00447
"3496","E02003746","Fenland 005",3166,4,110,43,16,20,2106,208,320,318,21,472.26999,152.27,288.15201,-104.709,349.90701,29.907,313.28201,-22.354,862.54901,542.54901,213.013,-373.909,943.078,623.078,210.30701,-437.823,-0.07856,145724,-0.03152,58456,-0.06196,114952,-0.01492,27684,-0.12962,240467,-0.08258,153199,-0.14302,265317,-0.09598,178049,-50240,-19493,-41843,-11096,-87153,-56406,-130147,-99400,0.00138
"3692","E02003778","South Cambridgeshire 004",3005,1,217,105,5,34,1660,120,401,450,12,554.26898,153.269,406.58099,-87.051,508.978,107.978,441.48099,-72.945,828.67401,427.67401,324.595,-246.097,984.71198,583.71198,315.845,-357.01099,-0.10524,195212,-0.02953,54774,-0.11043,204852,-0.03472,64414,-0.14751,273640,-0.07181,133202,-0.1559,289198,-0.08019,148760,-104218,-29754,-105823,-31359,-151575,-77111,-207350,-132886,0.00291
"3721","E02003747","Fenland 006",4972,3,73,219,5,49,3686,335,231,362,9,451.50601,220.506,331.12601,-161.332,299.29501,68.295,354.54401,-51.131,1125.80896,894.80902,236.408,-651.41901,1405.479,1174.479,228.13,-878.92902,-0.18755,347924,-0.10944,203019,-0.11922,221167,-0.04111,76262,-0.43516,807320,-0.35705,662415,-0.44464,824913,-0.36653,680008,-105577,-57599,-70596,-22618,-262424,-214446,-391804,-343826,0.00348
"3746","E02003771","Huntingdonshire 019",2841,5,247,107,8,13,1785,159,122,382,13,210.48801,88.488,359.31799,-52.229,145.84599,23.846,375.43701,-14.517,521.10101,399.10101,261.95599,-221.117,636.763,514.763,253.522,-309.51999,-0.03724,69053,-0.01638,30361,-0.02757,51138,-0.00671,12446,-0.06766,125502,-0.0468,86810,-0.0894,165823,-0.06854,127131,-34778,-16293,-25212,-6727,-67090,-48605,-125216,-106731,0.00449
"3775","E02003792","South Cambridgeshire 018",4077,8,350,76,7,39,2919,188,160,306,24,280.383,120.383,283.54401,-83.897,241.73599,81.736,289.46301,-54.552,640.85199,480.85199,206.127,-334.293,853.55499,693.55499,192.541,-500.25,-0.07015,130113,-0.02866,53140,-0.06487,120334,-0.02338,43361,-0.12441,230790,-0.08292,153817,-0.15525,287999,-0.11376,211026,-78470,-32118,-74507,-28155,-142182,-95830,-239234,-192882,0.00748
"3909","E02003250","Peterborough 014",4477,7,152,538,70,21,1714,869,254,802,50,501.84,247.84,744.74597,-102.8,334.832,80.832,787.48602,-35.362,1470.078,1216.078,486.79901,-476.259,1588.65002,1334.65002,483.422,-538.78998,-0.09944,184468,-0.04628,85848,-0.07165,132906,-0.01848,34286,-0.24972,463287,-0.19656,364667,-0.21369,396424,-0.16053,297804,-40723,-19288,-29528,-8093,-102194,-80759,-126125,-104690,0.00569
"3918","E02003791","South Cambridgeshire 017",3548,10,246,93,5,34,2638,144,184,180,14,293.70401,109.704,165.799,-84.542,259.52301,75.523,174.03799,-60.797,564.97302,380.97299,123.209,-290.69501,767.95599,583.95599,115.665,-458.14301,-0.07912,146747,-0.02957,54829,-0.07615,141267,-0.0266,49349,-0.12815,237725,-0.0786,145807,-0.16587,307709,-0.11632,215791,-84248,-32095,-81963,-29810,-139422,-87269,-243976,-191823,0.01102
"3954","E02003742","Fenland 001",2426,4,28,32,12,23,2017,150,56,93,11,176.442,120.442,86.361,-100.892,84.475,28.475,91.838,-23.941,622.48297,566.48297,61.009,-472.82401,739.39398,683.39398,57.397,-574.49298,-0.07563,140300,-0.05215,96741,-0.03622,67192,-0.01274,23633,-0.21836,405103,-0.19488,361544,-0.20805,385972,-0.18457,342413,-42055,-29326,-19806,-7077,-135931,-123202,-185270,-172541,0.00198
"4013","E02003240","Peterborough 004",3268,4,84,127,3,25,2228,144,201,434,18,280.65601,79.656,410.771,-47.654,269.23499,68.235,418.25601,-43.813,470.39401,269.39401,350.85501,-156.862,686.78497,485.785,310.28101,-306.03201,-0.06376,118261,-0.02454,45501,-0.06444,119538,-0.02522,46778,-0.10496,194710,-0.06574,121950,-0.16055,297849,-0.12133,225089,-53801,-19508,-54543,-20250,-84893,-50600,-171924,-137631,0.01644
"4053","E02006825","East Cambridgeshire 011",2768,4,68,36,4,24,2255,133,83,145,16,140.94,57.94,139.379,-46.804,123.193,40.193,141.43401,-32.446,322.784,239.784,117.488,-189.543,509.07901,426.07901,104.754,-345.71301,-0.05883,109114,-0.02512,46585,-0.05595,103781,-0.02224,41252,-0.10128,187885,-0.06758,125356,-0.15217,282290,-0.11846,219761,-49557,-21324,-44492,-16259,-87492,-59259,-180596,-152363,0.01792
"4194","E02003726","Cambridge 008",3973,10,415,217,10,14,789,55,1331,1117,15,1571.61096,240.61099,969.73602,-58.851,1407.55603,76.556,1080.10999,-23.762,1506.71594,175.716,1012.22699,-46.852,1592.61096,261.61099,975.68903,-77.428,-0.02334,43276,-0.00443,8206,-0.02295,42575,-0.00405,7505,-0.02762,51225,-0.00871,16155,-0.03016,55927,-0.01125,20857,-74357,-12199,-68348,-6190,-73866,-11708,-88925,-26767,0.00506
"4199","E02003777","South Cambridgeshire 003",3311,1,55,153,4,41,2592,148,201,106,10,308.69501,107.695,97.486,-85.785,305.76099,104.761,105.369,-87.478,522.99298,321.99301,74.586,-255.66499,739.71899,538.71899,71.767,-437.802,-0.11744,217850,-0.03899,72317,-0.12826,237936,-0.04981,92403,-0.16975,314906,-0.0913,169373,-0.21338,395848,-0.13493,250315,-118347,-40535,-131149,-53337,-175016,-97204,-292759,-214947,0.00467
"4296","E02003243","Peterborough 007",3756,5,44,403,34,41,2316,405,278,212,18,507.29401,229.29401,193.916,-148.13699,389.06201,111.062,205.435,-71.537,1220.09998,942.09998,138.515,-605.349,1404.51404,1126.51404,131.745,-732.94702,-0.16421,304634,-0.077,142837,-0.12406,230150,-0.03685,68353,-0.39568,734079,-0.30847,572282,-0.35939,666755,-0.27218,504958,-84287,-38706,-65478,-19897,-196053,-150472,-249865,-204284,0.00338
"4342","E02003764","Huntingdonshire 012",5028,5,381,110,29,20,2914,249,312,989,19,506.621,194.621,923.54303,-108.1,402.06601,90.066,957.80701,-49.4,1208.28601,896.28601,664.39099,-474.95099,1416.43896,1104.43896,626.00201,-619.17102,-0.05598,103827,-0.02269,42064,-0.04132,76646,-0.00802,14883,-0.10839,201063,-0.07509,139300,-0.11352,210594,-0.08023,148831,-64973,-25817,-49919,-10763,-130237,-91081,-199138,-159982,0.00784
"4421","E02003237","Peterborough 001",2810,7,93,150,8,22,2122,153,100,140,15,217.149,117.149,129.72099,-90.558,147.29201,47.292,135.43401,-36.81,602.02899,502.02899,91.722,-383.96201,789.70801,689.70801,87.086,-537.836,-0.10583,196312,-0.06111,113353,-0.06474,120099,-0.02002,37140,-0.293,543586,-0.24828,460627,-0.28996,537948,-0.24525,454989,-61832,-35300,-40001,-13469,-170057,-143525,-248549,-222017,0.00418
"4580","E02003787","South Cambridgeshire 013",3208,6,171,53,4,30,2563,121,95,153,12,147.62801,52.628,144.211,-39.735,121.407,26.407,147.64799,-19.185,262.38901,167.38901,116.907,-120.301,418.18301,323.18301,106.66,-251.64799,-0.04236,78545,-0.01686,31236,-0.03302,61243,-0.00751,13934,-0.0639,118509,-0.03839,71200,-0.10954,203190,-0.08404,155881,-60979,-24276,-50561,-13858,-87224,-50521,-192913,-156210,NA
"4848","E02006878","Peterborough 023",4364,3,156,217,18,38,3221,300,180,224,7,348.47,168.47,211.123,-127.807,293.05301,113.053,215.689,-83.934,966.27301,786.27301,156.67101,-590.74701,1260.28101,1080.28101,142.35899,-819.48401,-0.14204,263492,-0.06805,126233,-0.11594,215090,-0.04196,77831,-0.36245,672434,-0.28847,535175,-0.3635,674374,-0.28951,537115,-81360,-39177,-68913,-26730,-204900,-162717,-299132,-256949,NA
"4849","E02003775","South Cambridgeshire 001",3307,2,50,146,4,47,2591,177,154,130,6,260.08701,106.087,118.322,-81.694,215.276,61.276,129.336,-52.112,498.93701,344.93701,88.494,-261.02399,695.17102,541.17102,85.363,-426.414,-0.0861,159704,-0.03557,65965,-0.08104,150322,-0.0305,56583,-0.1453,269546,-0.09477,175807,-0.18521,343583,-0.13468,249844,-94492,-38547,-89992,-34047,-156084,-100139,-271081,-215136,0.00258
"4856","E02003720","Cambridge 002",4097,7,99,286,18,60,1444,135,1475,554,19,1732.80896,257.81,480.987,-127.959,1591.37,116.37,523.68402,-61.65,1638.25403,163.254,511.75601,-92.007,1753.79602,278.79599,496.522,-167.548,-0.19803,367367,-0.03084,57191,-0.18131,336364,-0.01412,26188,-0.19478,361345,-0.02759,51169,-0.2077,385307,-0.04051,75131,-189146,-30034,-176491,-17379,-182245,-23133,-211248,-52136,0.00464
"4921","E02006873","South Cambridgeshire 020",3500,6,133,205,5,28,2654,152,103,199,15,175.22,72.22,184.90199,-49.216,133.31599,30.316,198.576,-22.87,342.505,239.505,137.20799,-152.40401,550.20099,447.20099,124.74,-315.90601,-0.05878,109008,-0.02488,46139,-0.05134,95229,-0.01745,32360,-0.09208,170791,-0.05818,107922,-0.15009,278412,-0.11619,215543,-68744,-29408,-58544,-19208,-108874,-69538,-235118,-195782,NA
"4972","E02003729","Cambridge 011",4210,5,133,539,22,55,1901,214,997,330,14,1242.90796,245.908,299.55399,-134.612,1203.24097,206.241,312.957,-111.766,1449.28101,452.28101,263.73901,-270.284,1655.552,658.552,247.724,-396.19501,-0.22147,410843,-0.0429,79563,-0.2096,388844,-0.03103,57564,-0.26055,483371,-0.08199,152091,-0.27222,505015,-0.09365,173735,-154015,-31213,-153848,-31046,-179831,-57029,-222010,-99208,0.00728
"4977","E02003732","East Cambridgeshire 001",3942,2,294,66,14,34,2899,290,78,241,24,177.569,99.569,225.564,-71.44,84.503,6.503,240.34599,-4.784,521.10999,443.10999,170.491,-314.76199,738.72198,660.72198,154.41299,-484.078,-0.05731,106311,-0.03957,73397,-0.02129,39488,-0.00354,6574,-0.15787,292874,-0.14012,259960,-0.18378,340949,-0.16604,308035,-43927,-29624,-16327,-2024,-127343,-113040,-221449,-207146,0.00913
"4987","E02003758","Huntingdonshire 006",4414,2,118,80,8,33,3596,233,108,219,17,213.823,105.823,206.912,-83.814,148.17799,40.178,213.95599,-31.898,551.896,443.896,159.33501,-343.099,811.23602,703.23602,147.689,-565.76398,-0.06716,124572,-0.03763,69790,-0.04348,80652,-0.01395,25870,-0.15314,284086,-0.1236,229304,-0.20277,376174,-0.17324,321392,-71972,-40415,-48642,-17085,-164313,-132756,-308822,-277265,0.00744
"5011","E02003785","South Cambridgeshire 011",4244,11,107,386,12,48,2545,243,638,237,17,828.34698,190.347,219.435,-126.169,783.08899,145.089,229.50101,-91.732,1064.03296,426.03299,180.74001,-286.306,1348.078,710.078,167.66701,-486.22501,-0.21427,397494,-0.04748,88063,-0.20663,383334,-0.03984,73903,-0.25179,467120,-0.085,157689,-0.2795,518509,-0.11271,209078,-183855,-42000,-175524,-33669,-223024,-81169,-309710,-167855,0.01076
"5150","E02003774","Huntingdonshire 022",2696,1,94,54,12,17,1924,171,152,259,12,245.53999,93.54,241.742,-64.352,224.32001,72.32,244.409,-47.714,546.73297,394.733,178.22099,-263.211,658.88098,506.88101,171.216,-355.15799,-0.05059,93834,-0.01751,32452,-0.04247,78786,-0.00938,17404,-0.08019,148751,-0.04711,87369,-0.09824,182232,-0.06515,120850,-52200,-17547,-46097,-11444,-84036,-49383,-137777,-103124,NA
"5202","E02003728","Cambridge 010",4493,6,274,336,20,35,1529,155,1408,709,21,1676.16602,268.16599,617.83398,-117.795,1565.88196,157.882,658.659,-74.82,1609.21997,201.22,659.82501,-113.34,1758.771,350.771,630.93597,-200.172,-0.13174,244367,-0.0231,42826,-0.12154,225467,-0.0129,23926,-0.14379,266751,-0.03516,65210,-0.15542,288327,-0.04679,86786,-146796,-25012,-142418,-20634,-149121,-27337,-181596,-59812,0.00594
"5473","E02003253","Peterborough 017",4129,3,108,371,19,34,2358,322,335,561,18,579.37799,244.37801,517.58099,-148.015,442.888,107.888,544.69299,-68.401,1403.95105,1068.95105,363.86801,-637.35999,1614.80298,1279.80298,335.759,-773.672,-0.14028,260218,-0.05908,109593,-0.10693,198364,-0.02574,47739,-0.32537,603640,-0.24418,453015,-0.27155,503774,-0.19035,353149,-81922,-34178,-63885,-16141,-186285,-138541,-228404,-180660,0.00599
"5547","E02003719","Cambridge 001",4515,5,76,446,16,61,1828,170,1405,492,16,1708.05603,303.056,431.474,-160.59599,1566.25403,161.254,465.31699,-79.859,1736.22705,331.22699,408.03101,-189.541,1903.90698,498.90701,391.12799,-295.07999,-0.26349,488809,-0.04595,85219,-0.24012,445476,-0.02258,41886,-0.26884,498749,-0.0513,95159,-0.28259,524252,-0.06505,120662,-208587,-38112,-193384,-22909,-213048,-42573,-253718,-83243,0.00394
"5792","E02003745","Fenland 004",3727,3,49,54,11,30,3175,187,76,126,16,224.106,148.106,117.583,-126.516,121.142,45.142,123.89,-38.928,739.073,663.073,85.138,-562.85797,940.617,864.617,80.846,-741.40503,-0.12518,232215,-0.08351,154922,-0.06467,119972,-0.02301,42679,-0.32851,609463,-0.28684,532170,-0.32639,605537,-0.28473,528244,-69867,-47366,-35354,-12853,-207724,-185223,-308738,-286237,0.00152
"5797","E02003740","East Cambridgeshire 009",2523,0,53,100,4,21,1935,110,127,158,15,200.293,73.293,147.201,-54.449,195.133,68.133,149.485,-51.798,361.81799,234.81799,112.958,-166.26401,536.401,409.401,104.852,-312.17099,-0.11756,218077,-0.04072,75527,-0.12353,229168,-0.04669,86618,-0.16504,306170,-0.0882,163620,-0.20838,386566,-0.13154,244016,-77616,-27698,-77186,-27268,-122741,-72823,-213961,-164043,0.00645
"5889","E02003721","Cambridge 003",4537,3,115,290,24,53,1747,153,1600,532,20,1879.76697,279.767,461.76001,-147.179,1753.724,153.724,499.73901,-85.362,1775.63,175.63,500.27701,-113.476,1893.56396,293.564,487.258,-193.536,-0.20498,380253,-0.03241,60103,-0.18986,352207,-0.01729,32057,-0.20416,378731,-0.03159,58581,-0.21946,407114,-0.04688,86964,-193304,-31016,-183441,-21153,-187984,-25696,-219294,-57006,0.00542
"6034","E02003768","Huntingdonshire 016",4078,10,152,164,6,29,3164,204,180,156,13,308.92001,128.92,145.005,-102.543,263.40601,83.406,151.73399,-69.098,643.54303,463.543,110.776,-364.56,865.58301,685.58301,104.862,-553.14801,-0.09399,174345,-0.04227,78404,-0.07826,145177,-0.02654,49236,-0.17608,326662,-0.12437,230721,-0.2177,403870,-0.16598,307929,-93567,-43228,-78154,-27815,-178490,-128151,-303638,-253299,0.00547
"6128","E02003757","Huntingdonshire 005",2890,3,76,63,4,23,2386,175,43,102,15,105.237,62.237,97.138,-50.01,56.396,13.396,101.242,-10.742,309.38699,266.38699,79.282,-211.342,499.07599,456.07599,71.981,-371.948,-0.03759,69705,-0.02647,49081,-0.0164,30416,-0.00528,9792,-0.10705,198588,-0.09593,177964,-0.13928,258373,-0.12816,237749,-37414,-26689,-15809,-5084,-108634,-97909,-211420,-200695,0.01248
"6219","E02003756","Huntingdonshire 004",3031,5,64,72,3,30,2434,151,38,226,8,97.541,59.541,212.892,-41.122,44.736,6.736,224.358,-4.667,288.26501,250.265,159.507,-162.21001,468.85101,430.85101,142.433,-307.241,-0.03022,56036,-0.02145,39763,-0.01105,20490,-0.00227,4217,-0.07605,141067,-0.06728,124794,-0.11567,214575,-0.1069,198302,-36696,-24045,-16522,-3871,-91712,-79061,-197716,-185065,NA
"6341","E02003761","Huntingdonshire 009",2752,4,106,75,13,25,1923,163,154,280,9,261.336,107.336,262.74701,-75.752,220.026,66.026,270.70801,-46.648,627.04199,473.04199,194.97,-326.811,783.58801,629.58801,176.099,-444.85699,-0.0484,89773,-0.02009,37253,-0.03878,71928,-0.01046,19408,-0.09692,179797,-0.06861,127277,-0.10211,189430,-0.0738,136910,-47219,-20338,-38441,-11560,-98298,-71417,-149602,-122721,0.0083
"6455","E02003760","Huntingdonshire 008",3760,2,94,148,30,37,1965,301,253,914,16,411.72198,158.722,860.84802,-80.366,284.31601,31.316,902.862,-15.607,1001.44897,748.44897,640.789,-358.414,1212.18005,959.17999,586.26898,-479.92099,-0.05108,94743,-0.01836,34035,-0.03685,68354,-0.00412,7646,-0.09113,169050,-0.05841,108342,-0.08699,161356,-0.05426,100648,-53583,-19552,-39316,-5285,-101987,-67956,-151868,-117837,0.01088
"6518","E02003245","Peterborough 009",3083,3,46,378,17,30,1585,343,237,422,22,424.483,187.483,387.39899,-97.748,330.43399,93.434,401.203,-44.583,1049.25806,812.258,266.98099,-418.02399,1186.98401,949.98401,253.722,-501.358,-0.10137,188044,-0.04634,85949,-0.07258,134632,-0.01754,32537,-0.24586,456120,-0.19083,354025,-0.20332,377200,-0.14829,275105,-50573,-22997,-37185,-9609,-121344,-93768,-151096,-123520,0.00495
"6698","E02003739","East Cambridgeshire 008",2840,2,46,75,4,23,2318,133,75,155,9,149.995,74.995,143.987,-57.147,102.993,27.993,154.871,-24.16,364.319,289.319,108.086,-216.43201,541.96002,466.95999,99.931,-367.95599,-0.06199,114981,-0.03639,67491,-0.05173,95960,-0.02613,48470,-0.12673,235097,-0.10113,187607,-0.18073,335274,-0.15513,287784,-51153,-29308,-40577,-18732,-108879,-87034,-217463,-195618,0.00883
"6712","E02003724","Cambridge 006",4897,8,155,464,26,67,1971,227,1421,538,20,1711.06494,290.065,480.00101,-152.78799,1539.64795,118.648,519.03003,-64.904,1729.93994,308.94,494.466,-201.067,1945.09595,524.09601,455.14301,-318.45099,-0.23504,436024,-0.04053,75169,-0.209,387729,-0.01449,26874,-0.25266,468730,-0.05815,107875,-0.26132,484781,-0.06681,123926,-196140,-35075,-177268,-16203,-205139,-44074,-243186,-82121,0.00514
