"","id","msoa1","msoa2","all","light_rail","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","avslope_q","clc"
"87059","E02003237 E02003249","E02003237","E02003249",257,1,5,1,3,216,17,10,2,2,21.02,11.02,1.91,-9.64,15.6,5.6,1.64,-4.46,52.69,42.69,1.75,-37.46,78.04,68.04,1.53,-59.61,-0.01625,30142,-0.00856,15880,-0.01132,21009,-0.00364,6747,-0.03991,74040,-0.03222,59778,-0.0412,76433,-0.03351,62171,-9415,-4974,-6740,-2299,-23774,-19333,-35208,-30767,1,7.89101,"Peterborough 001","Peterborough 013",10.147,10.542,3946,4274,1.28589,1.03893,34.49295,0.23715,3.89105
"87060","E02003237 E02003250","E02003237","E02003250",336,0,70,0,4,216,30,7,6,2,23.83,16.83,5.69,-11.05,10.68,3.68,5.93,-2.42,83.4,76.4,4.61,-50.16,115.44,108.44,4.02,-71.2,-0.01621,30070,-0.01145,21252,-0.00697,12929,-0.00222,4111,-0.05656,104928,-0.0518,96110,-0.05111,94823,-0.04636,86005,-7158,-5059,-3203,-1104,-25070,-22971,-34705,-32606,1,7.61329,"Peterborough 001","Peterborough 014",8.986,8.895,3712,3980,1.1803,0.98987,34.49811,0.32603,2.08333
"87061","E02003237 E02003251","E02003237","E02003251",165,0,6,1,1,138,11,5,2,0,12.31,7.31,1.91,-6.31,9.81,4.81,1.94,-4.18,36.47,31.47,1.61,-27.15,53.22,48.22,1.4,-41.6,-0.00871,16160,-0.00517,9596,-0.00656,12165,-0.00302,5601,-0.02573,47745,-0.0222,41181,-0.02507,46518,-0.02154,39954,-5039,-2985,-4031,-1977,-14898,-12844,-21731,-19677,1,7.07749,"Peterborough 001","Peterborough 015",9.301,9.283,3954,4350,1.31417,0.99806,52.68251,0.46321,3.0303
"87062","E02003237 E02003252","E02003237","E02003252",71,0,5,0,0,56,6,1,3,0,3.91,2.91,2.88,-2.33,2.33,1.33,2.98,-1.16,13.8,12.8,2.43,-10.19,20.86,19.86,2.13,-15.85,-0.00303,5615,-0.00224,4156,-0.00172,3184,-0.00093,1725,-0.0103,19116,-0.00952,17657,-0.01024,19004,-0.00946,17545,-1691,-1231,-1074,-614,-5845,-5385,-8838,-8378,0,8.34928,"Peterborough 001","Peterborough 016",10.375,10.762,4690,4676,1.24262,1.0373,38.55422,0.37168,1.40845
"87063","E02003237 E02003253","E02003237","E02003253",49,0,1,0,1,42,2,1,2,0,2.87,1.87,1.92,-1.64,2,1,1.95,-0.89,8.85,7.85,1.68,-6.85,13.8,12.8,1.48,-11.19,-0.00226,4190,-0.00148,2744,-0.00147,2728,-0.00069,1282,-0.00679,12590,-0.00601,11144,-0.00706,13095,-0.00628,11649,-1369,-887,-964,-482,-4194,-3712,-6544,-6062,0,9.57777,"Peterborough 001","Peterborough 017",10.636,11.567,5012,5500,1.11049,1.08753,47.95036,0.4582,2.04082
"87064","E02003237 E02003254","E02003237","E02003254",152,1,5,0,0,126,11,4,4,1,7.91,3.91,3.9,-3.34,7.14,3.14,3.94,-2.75,17.01,13.01,3.61,-10.98,31.65,27.65,3.21,-23.43,-0.00775,14369,-0.00382,7077,-0.00666,12358,-0.00273,5066,-0.01619,30043,-0.01226,22751,-0.02082,38622,-0.01689,31330,-4508,-2187,-4124,-1803,-9524,-7203,-17697,-15376,1,9.56539,"Peterborough 001","Peterborough 018",12.901,13.173,5620,6242,1.34872,1.02108,73.6377,0.64526,2.63158
"87065","E02003237 E02003255","E02003237","E02003255",39,0,1,0,0,35,1,2,0,0,2.96,0.96,0,-0.9,3.5,1.5,0,-1.34,3.71,1.71,0,-1.6,7.2,5.2,0,-4.89,-0.00326,6039,-0.00105,1950,-0.00363,6736,-0.00143,2647,-0.00404,7501,-0.00184,3412,-0.00589,10926,-0.00369,6837,-2065,-663,-2351,-949,-2569,-1167,-5001,-3599,0,11.05322,"Peterborough 001","Peterborough 019",15.117,13.082,6204,6148,1.36766,0.86538,41.67494,0.451,5.12821
"87066","E02003237 E02003257","E02003237","E02003257",42,0,4,0,0,35,1,1,1,0,2.01,1.01,0.97,-0.86,1,0,1,0,4.02,3.02,0.94,-2.55,7.88,6.88,0.84,-5.85,-0.00213,3942,-0.00107,1988,-0.00105,1954,0,0,-0.00418,7758,-0.00313,5804,-0.00568,10533,-0.00462,8579,-1250,-614,-636,0,-2456,-1820,-4818,-4182,0,10.49989,"Peterborough 001","Peterborough 021",14.003,14.011,5926,6546,1.33363,1.00057,56.41648,0.60667,2.38095
"87067","E02003237 E02003747","E02003237","E02003747",23,0,0,0,0,23,0,0,0,0,0.43,0.43,0,-0.43,0,0,0,0,1.36,1.36,0,-1.36,3.13,3.13,0,-3.13,-0.00052,969,-0.00052,969,0,0,0,0,-0.0016,2968,-0.0016,2968,-0.00267,4949,-0.00267,4949,-381,-381,0,0,-1217,-1217,-2790,-2790,0,14.51936,"Peterborough 001","Fenland 006",17.395,18.657,6976,8282,1.19806,1.07255,27.59414,0.268,0
"87068","E02003237 E02003749","E02003237","E02003749",20,0,0,0,0,19,1,0,0,0,0.28,0.28,0,-0.26,0,0,0,0,0.73,0.73,0,-0.68,2.05,2.05,0,-1.94,-0.00033,609,-0.00033,609,0,0,0,0,-0.00085,1582,-0.00085,1582,-0.00193,3572,-0.00193,3572,-270,-270,0,0,-712,-712,-2017,-2017,0,16.85912,"Peterborough 001","Fenland 008",20.339,22.784,8114,10658,1.20641,1.12021,25.56665,0.25456,0
