"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"6350","E02001879","Birmingham 053",2890,57,417,1214,131,67,19,891,56,14,24,145.733,88.733,401.522,1178.47,-35.53,108.545,51.545,409.27499,1193.01,-20.989,600.61298,543.61298,310.56699,1001.11,-212.89,868.63702,811.63702,271.74301,890.02002,-323.98001,-0.04445,82339,-0.0261,48307,-0.02784,51640,-0.0095,17608,-0.17387,322462,-0.15552,288430,-0.18566,344353,-0.16732,310321,-14731,-8784,-11619,-5672,-53266,-47319,-88859,-82912,1.91353
"6366","E02002126","Walsall 017",2209,56,348,1170,215,15,2,367,11,13,12,147.884,91.884,329.81201,1124.5439,-45.456,103.055,47.055,336.25299,1149.369,-20.631,581.07202,525.07202,233.095,916.47101,-253.528,752.82898,696.82898,213.01401,820.75598,-349.24399,-0.04312,79919,-0.02812,52086,-0.0217,40239,-0.00669,12406,-0.15279,283376,-0.13779,255543,-0.15083,279749,-0.13583,251916,-17498,-11178,-9557,-3237,-63149,-56829,-98032,-91712,1.24395
"6400","E02002066","Sandwell 024",2565,40,292,1429,187,135,5,440,14,8,15,122.42,82.42,279.78,1384.2581,-44.742,69.949,29.949,287.76199,1412.717,-16.283,532.46503,492.465,211.79401,1164.568,-264.43201,766.34198,726.34198,187.44501,1034.0179,-394.98199,-0.04037,74769,-0.02851,52769,-0.01876,34783,-0.00689,12783,-0.16712,309937,-0.15526,287937,-0.18232,338129,-0.17046,316129,-15990,-11363,-8257,-3630,-65688,-61061,-111435,-106808,1.90572
"6410","E02001937","Birmingham 111",2873,43,193,1739,183,78,4,591,18,13,11,133.466,90.466,184.578,1687.311,-51.689,76.076,33.076,190.729,1719.605,-19.395,543.47803,500.478,140.08099,1459.507,-279.49301,811.83398,768.83398,124.399,1297.6,-441.39999,-0.06005,111295,-0.04138,76664,-0.02738,50780,-0.00871,16149,-0.25058,464780,-0.23191,430149,-0.27547,510959,-0.25679,476328,-25421,-17331,-13982,-5892,-94263,-86173,-160993,-152903,1.76324
"6425","E02001931","Birmingham 105",3164,35,126,2177,170,183,16,405,25,17,10,140.28799,105.288,120.073,2105.4121,-71.588,68.764,33.764,123.734,2155.196,-21.805,629.26099,594.26099,87.699,1774.027,-402.97299,913.38501,878.38501,77.762,1582.651,-594.349,-0.06406,118725,-0.04753,88072,-0.02439,45224,-0.00786,14571,-0.29139,540498,-0.27486,509845,-0.31272,580057,-0.29619,549404,-28452,-21363,-12751,-5662,-117880,-110791,-193040,-185951,1.49665
"6435","E02002062","Sandwell 020",2395,50,309,1132,199,38,172,452,16,11,16,125.89,75.89,295.57001,1097.245,-34.755,87.335,37.335,300.211,1116.043,-15.957,494.65601,444.65601,222.177,933.198,-198.802,703.914,653.914,196.896,831.84601,-300.15399,-0.03996,74012,-0.0259,47947,-0.01984,36796,-0.00579,10731,-0.15062,279320,-0.13656,253255,-0.16367,303544,-0.14962,277479,-15131,-9186,-8795,-2850,-53400,-47455,-89720,-83775,1.58316
"6489","E02002143","Walsall 034",2794,49,459,1443,273,106,6,399,31,10,18,134.151,85.151,441.37299,1400.3051,-42.695,72.461,23.461,454.43799,1430.051,-12.949,567.245,518.245,329.798,1195.136,-247.864,800.091,751.091,293.23901,1071.823,-371.177,-0.05317,98537,-0.02987,55318,-0.02985,55369,-0.00655,12150,-0.15872,294367,-0.13542,251148,-0.17942,332764,-0.15612,289545,-20650,-11466,-13014,-3830,-64380,-55196,-110631,-101447,1.20312
"6497","E02002102","Solihull 022",3746,74,323,2581,187,214,6,306,18,21,16,215.25101,141.25101,303.45401,2489.083,-91.917,124.482,50.482,314.159,2549.9399,-31.06,826.33197,752.33197,205.261,2100.7461,-480.254,1074.989,1000.989,193.407,1920.052,-660.948,-0.06653,123310,-0.04326,80143,-0.03316,61505,-0.00989,18338,-0.19729,365911,-0.17401,322744,-0.22354,414619,-0.20027,371452,-39729,-26424,-19626,-6321,-131420,-118115,-219437,-206132,1.01065
"6551","E02006898","Birmingham 137",3348,68,1294,1152,77,306,29,386,17,6,13,164.10899,96.109,1246.7581,1124.106,-27.894,98.021,30.021,1282.994,1141.377,-10.623,680.98199,612.98199,952.56201,996.51001,-155.49001,983.33301,915.33301,822.00598,897.97601,-254.024,-0.03231,59835,-0.01497,27663,-0.02052,38067,-0.00318,5895,-0.08153,151154,-0.06419,118982,-0.07059,130855,-0.05324,98683,-15359,-8101,-9793,-2535,-46766,-39508,-83235,-75977,NA
"6589","E02001873","Birmingham 047",3355,49,410,1366,225,95,87,1052,29,9,33,162.38699,113.387,391.51199,1322.6379,-43.362,84.794,35.794,404.52399,1353.295,-12.705,737.89899,688.89899,285.42099,1111.29,-254.71001,1034.0031,985.00299,253.855,988.71002,-377.29001,-0.05075,94013,-0.03515,65087,-0.02188,40575,-0.00628,11649,-0.22505,417406,-0.20945,388480,-0.23688,439373,-0.22129,410447,-16012,-11326,-7593,-2907,-64801,-60115,-108286,-103600,1.72213
