"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"233570",1,1,1,22.464,9220,478,349,0.01554,4188,306,37136,"E02005617 E02005629"
"233571",1,1,1,24.121,11734,455,379,0.01571,4496,320,44102,"E02005617 E02005630"
"233572",1,1,1,21.688,9046,349,382,0.01761,4043,304,37612,"E02005617 E02005631"
"233573",1,1,1,8.054,3662,156,167,0.02074,1501,134,22051,"E02005617 E02005639"
"233574",1,1,1,10.658,4688,233,138,0.01295,1987,172,19755,"E02005617 E02005640"
"233575",1,1,1,13.915,5986,249,251,0.01804,2594,213,30779,"E02005617 E02005644"
"233576",1,1,1,15.43,6554,289,278,0.01802,2876,231,33054,"E02005617 E02005645"
"233577",1,1,1,20.046,8522,311,341,0.01701,3737,300,36001,"E02005617 E02005647"
"233578",1,1,1,20.295,8704,388,340,0.01675,3783,301,35932,"E02005617 E02005649"
"233581",1,1,1,29.855,13210,592,571,0.01913,5565,482,56876,"E02005617 E02005693"
"233582",1,1,1,2.649,1120,53,34,0.01284,494,40,4567,"E02005617 E02006862"
"233583",1,1,1,2.945,1404,80,66,0.02241,549,53,5564,"E02005617 E02006863"
"233592",1,1,1,13.91,6134,282,306,0.022,2593,232,25262,"E02005619 E02005620"
"233593",1,1,1,20.384,12260,375,388,0.01903,3800,353,36784,"E02005619 E02005621"
"233594",1,1,1,15.442,7836,362,492,0.03186,2879,355,40678,"E02005619 E02005622"
"233595",1,1,1,20.956,10946,446,462,0.02205,3906,344,40760,"E02005619 E02005623"
"233596",1,1,1,26.431,13956,648,535,0.02024,4927,461,40606,"E02005619 E02005624"
"233597",1,1,1,28.142,14724,670,570,0.02025,5246,494,42718,"E02005619 E02005625"
"233601",1,1,1,23.304,17952,472,393,0.01686,4344,321,42194,"E02005619 E02005645"
"233603",1,1,1,22.516,10336,505,385,0.0171,4197,346,40078,"E02005619 E02005650"
"233604",1,1,1,25.268,11658,574,408,0.01615,4710,388,43173,"E02005619 E02005651"
"233605",1,1,1,24.204,10676,553,390,0.01611,4512,355,40504,"E02005619 E02005667"
"233626",1,1,1,30.189,15012,562,652,0.0216,5628,563,55922,"E02005620 E02005621"
"233627",1,1,1,11.83,6170,246,350,0.02959,2205,277,31347,"E02005620 E02005622"
"233628",1,1,1,7.22,4880,172,156,0.02161,1346,115,15744,"E02005620 E02005623"
"233629",1,1,1,24.517,14796,579,639,0.02606,4570,493,48998,"E02005620 E02005624"
"233630",1,1,1,23.974,14806,568,654,0.02728,4469,502,51014,"E02005620 E02005625"
"233631",1,1,1,24.655,15252,565,646,0.0262,4596,508,52431,"E02005620 E02005626"
"233632",1,1,1,26.03,14196,720,498,0.01913,4852,442,42971,"E02005620 E02005627"
"233634",1,1,1,17.523,9358,333,337,0.01923,3266,265,32762,"E02005620 E02005645"
"233635",1,1,1,18.138,11734,313,366,0.02018,3381,284,31566,"E02005620 E02005647"
"233636",1,1,1,17.557,7244,253,309,0.0176,3273,250,32085,"E02005620 E02005649"
"233637",1,1,1,9.89,5690,271,199,0.02012,1844,173,17941,"E02005620 E02005650"
"233638",1,1,1,9.802,6296,250,196,0.02,1827,172,19678,"E02005620 E02005651"
"233639",1,1,1,8.857,4770,221,173,0.01953,1651,137,14671,"E02005620 E02005652"
"233640",1,1,1,10.787,6666,293,231,0.02141,2011,166,20175,"E02005620 E02005653"
"233641",1,1,1,10.218,6356,255,197,0.01928,1905,167,19942,"E02005620 E02005655"
"233642",1,1,1,12.109,7180,293,278,0.02296,2257,195,22793,"E02005620 E02005656"
"233643",1,1,1,8.918,4800,235,169,0.01895,1662,128,14400,"E02005620 E02005657"
"233644",1,1,1,10.099,5548,261,191,0.01891,1883,159,17674,"E02005620 E02005658"
"233645",1,1,1,14.494,8450,398,327,0.02256,2702,231,24732,"E02005620 E02005660"
"233646",1,1,1,12.37,6530,300,249,0.02013,2306,198,20653,"E02005620 E02005662"
"233647",1,1,1,12.009,6468,311,235,0.01957,2239,192,20115,"E02005620 E02005664"
"233648",1,1,1,10.332,5268,285,176,0.01703,1926,143,15425,"E02005620 E02005666"
"233649",1,1,1,11.578,6030,319,204,0.01762,2158,182,18367,"E02005620 E02005667"
