"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"244653",1,1,1,1.818,988,63,10,0.0055,339,22,2115,"E02005931 E02005932"
"244654",1,1,1,2.613,1222,72,19,0.00727,487,29,3222,"E02005931 E02005933"
"244655",1,1,1,3.823,1996,89,22,0.00575,713,47,4757,"E02005931 E02005934"
"244656",1,1,1,4.141,2612,128,27,0.00652,772,46,5311,"E02005931 E02005935"
"244657",1,1,1,10.065,5008,265,50,0.00497,1876,119,12095,"E02005931 E02005936"
"244658",1,1,1,18.323,8308,463,59,0.00322,3416,225,23018,"E02005931 E02005937"
"244659",1,1,1,18.921,9264,470,64,0.00338,3527,233,24841,"E02005931 E02005939"
"244660",1,1,1,20.617,9452,485,80,0.00388,3843,258,26119,"E02005931 E02005941"
"244661",1,1,1,22.238,10052,528,87,0.00391,4145,277,27617,"E02005931 E02005942"
"244662",1,1,1,25.403,12002,637,149,0.00587,4735,352,32346,"E02005931 E02005945"
"244663",1,1,1,24.73,11400,621,102,0.00412,4610,312,30478,"E02005931 E02005947"
"244665",1,1,1,27.098,12568,628,163,0.00602,5051,372,34599,"E02005931 E02005949"
"244671",1,1,1,31.701,15066,746,262,0.00826,5909,477,41340,"E02005931 E02005959"
"244673",1,1,1,31.64,14576,746,235,0.00743,5898,432,39621,"E02005931 E02005961"
"244678",1,1,1,24.755,11632,634,106,0.00428,4615,330,31022,"E02005931 E02005996"
"244694",1,1,1,1.427,680,48,9,0.00631,266,15,1786,"E02005932 E02005933"
"244695",1,1,1,2.244,1078,75,10,0.00446,418,28,3106,"E02005932 E02005934"
"244696",1,1,1,2.875,2100,97,17,0.00591,536,29,3617,"E02005932 E02005935"
"244697",1,1,1,8.533,4368,236,40,0.00469,1591,100,10316,"E02005932 E02005936"
"244698",1,1,1,16.791,7668,434,49,0.00292,3130,206,21239,"E02005932 E02005937"
"244699",1,1,1,17.389,8624,441,54,0.00311,3242,214,23062,"E02005932 E02005939"
"244700",1,1,1,18.462,8584,443,64,0.00347,3442,234,23443,"E02005932 E02005940"
"244701",1,1,1,19.085,8812,456,70,0.00367,3558,239,24340,"E02005932 E02005941"
"244702",1,1,1,20.706,9412,499,77,0.00372,3860,258,25838,"E02005932 E02005942"
"244703",1,1,1,23.871,11362,608,139,0.00582,4450,332,30567,"E02005932 E02005945"
"244704",1,1,1,24.499,11502,582,142,0.0058,4567,347,31245,"E02005932 E02005946"
"244705",1,1,1,23.198,10760,592,92,0.00397,4324,293,28699,"E02005932 E02005947"
"244706",1,1,1,22.716,10546,612,89,0.00392,4235,281,28180,"E02005932 E02005948"
"244707",1,1,1,25.566,11928,599,153,0.00598,4766,352,32820,"E02005932 E02005949"
"244708",1,1,1,27.742,12902,664,179,0.00645,5171,374,34659,"E02005932 E02005952"
"244713",1,1,1,30.108,13936,717,225,0.00747,5612,413,37842,"E02005932 E02005961"
"244716",1,1,1,23.223,10992,605,96,0.00413,4329,311,29243,"E02005932 E02005996"
