"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"5500","E02005955","Oxford 016",4390,613,506,2061,205,40,5,848,27,57,28,802.32599,189.326,476.647,1971.355,-89.645,859.84601,246.84599,458.91101,1943.6071,-117.393,1186.438,573.43799,401.88599,1780.912,-280.08801,1509.0389,896.039,362.797,1610.707,-450.293,-0.14279,264863,-0.03634,67384,-0.13487,250202,-0.02842,52723,-0.21645,401536,-0.11,204057,-0.23155,429557,-0.12511,232078,-79489,-21324,-81793,-23628,-119466,-61301,-176034,-117869,1.72197
"5631","E02005928","Cherwell 008",3133,72,205,2475,161,109,9,64,4,20,14,143.998,71.998,197.28799,2418.345,-56.655,115.064,43.064,201.629,2439.3799,-35.62,467.298,395.298,155.08299,2170.9919,-304.008,708.31702,636.31702,136.59399,1974.804,-500.19601,-0.04271,79208,-0.02136,39614,-0.03025,56110,-0.00891,16516,-0.11516,213642,-0.09382,174048,-0.13893,257742,-0.11759,218148,-33776,-16644,-27655,-10523,-91652,-74520,-163140,-146008,2.39035
"5653","E02005977","South Oxfordshire 020",2317,61,157,1780,91,119,14,66,5,16,8,105.279,44.279,151.43201,1746.4,-33.6,105.945,44.945,149.838,1747.462,-32.539,269.74799,208.748,123.869,1628.666,-151.334,442.27499,381.27499,111.342,1489.317,-290.68301,-0.03681,68231,-0.01555,28805,-0.03563,66083,-0.01437,26657,-0.07312,135613,-0.05187,96187,-0.09689,179702,-0.07563,140276,-33848,-14416,-32407,-12975,-73961,-54529,-144221,-124789,NA
"5675","E02006006","West Oxfordshire 014",3917,394,794,2276,202,17,3,182,5,31,13,554.255,160.255,740.17798,2187.4951,-88.505,455.858,61.858,774.12903,2240.9399,-35.06,1038.964,644.96399,587.17401,1914.869,-361.13101,1269.993,875.99298,538.05701,1767.2531,-508.74701,-0.03386,62793,-0.01689,31312,-0.02682,49746,-0.00985,18265,-0.07823,145112,-0.06126,113631,-0.08423,156242,-0.06726,124761,-46044,-19283,-35821,-9060,-99582,-72821,-158196,-131435,0.57687
"5753","E02005936","Cherwell 016",3668,80,133,2864,215,125,9,186,11,29,16,167.286,87.286,125.934,2797.2051,-66.795,118.83,38.83,131.786,2836.239,-27.761,417.66901,337.66901,98.863,2606.542,-257.45801,624.23602,544.23602,93.471,2439.9419,-424.05801,-0.09039,167671,-0.04403,81653,-0.0687,127451,-0.02234,41433,-0.17517,324954,-0.1288,238936,-0.23142,429322,-0.18505,343304,-63369,-31939,-53380,-21950,-131585,-100155,-244915,-213485,0.35375
"5755","E02005956","Oxford 017",2652,272,427,1128,135,18,1,624,14,25,8,398.33301,126.333,399.27499,1072.42,-55.58,423.00101,151.00101,396.04099,1063.818,-64.182,768.547,496.547,314.129,912.42902,-215.571,964.15399,692.15399,284.966,822.008,-305.992,-0.06818,126446,-0.02215,41063,-0.06738,124989,-0.02135,39606,-0.13258,245934,-0.08655,160551,-0.13052,242125,-0.0845,156742,-42404,-13385,-45161,-16142,-75285,-46266,-107059,-78040,1.69959
"5815","E02005926","Cherwell 006",3371,121,661,2138,200,129,4,59,16,25,18,218.271,97.271,633.08801,2079.606,-58.394,185.03,64.03,643.12799,2099.1851,-38.815,709.66699,588.66699,486.52899,1790.156,-347.84399,961.16498,840.16498,423.84,1630.792,-507.20901,-0.0283,52472,-0.01131,20969,-0.02274,42173,-0.00575,10670,-0.06897,127930,-0.05198,96427,-0.06675,123819,-0.04977,92316,-25364,-10294,-22360,-7290,-66562,-51492,-104351,-89281,2.22275
"5838","E02005999","West Oxfordshire 007",2795,98,151,2239,136,37,5,67,9,44,9,183.519,85.519,143.83701,2169.939,-69.061,148.425,50.425,146.817,2198.5471,-40.453,506.05801,408.05801,111.752,1913.325,-325.67499,667.65802,569.65802,103.851,1777.132,-461.86801,-0.03786,70214,-0.01723,31945,-0.03752,69596,-0.01689,31327,-0.07853,145664,-0.0579,107395,-0.10022,185907,-0.07959,147638,-42393,-19281,-38376,-15264,-90972,-67860,-161120,-138008,0.98349
"5873","E02005923","Cherwell 003",2666,123,685,1424,208,68,1,104,18,14,21,223.064,100.064,651.54303,1372.62,-51.38,183.442,60.442,663.98401,1394.527,-29.473,683.82703,560.82703,492.38699,1139.457,-284.543,866.47803,743.47803,437.83801,1040.718,-383.28201,-0.02701,50102,-0.00959,17785,-0.02063,38275,-0.00321,5958,-0.05789,107391,-0.04047,75074,-0.04696,87104,-0.02954,54787,-24231,-8752,-19745,-4266,-57333,-41854,-80348,-64869,2.20362
"6038","E02005979","Vale of White Horse 002",4222,573,305,2325,158,124,4,656,7,57,13,679.17902,106.179,293.83899,2267.7151,-57.285,763.05103,190.05099,285.01501,2228.3091,-96.691,733.02899,160.02901,273.392,2223.927,-101.073,1080.0439,507.04401,241.276,2012.3199,-312.67999,-0.15763,292402,-0.02813,52148,-0.1703,315933,-0.0408,75679,-0.16579,307537,-0.03628,67283,-0.21595,400600,-0.08644,160346,-116024,-22791,-129049,-35816,-131597,-38364,-225100,-131867,1.847
"6245","E02005930","Cherwell 010",3199,39,152,2551,153,153,13,96,3,23,16,77.256,38.256,147.31599,2521.627,-29.373,59.217,20.217,148.851,2535.479,-15.521,182.409,143.409,126.438,2446.28,-104.72,374.40701,335.40701,110.497,2292.1021,-258.89801,-0.04217,78214,-0.02315,42924,-0.02662,49373,-0.00759,14083,-0.08128,150762,-0.06225,115472,-0.15026,278748,-0.13123,243458,-37298,-19944,-30004,-12650,-72303,-54949,-184673,-167319,NA
"6278","E02005925","Cherwell 005",3507,130,584,2081,309,55,2,218,63,46,19,237.3,107.3,560.97699,2020.311,-60.689,211.45799,81.458,564.96503,2035.545,-45.455,752.54901,622.54901,446.229,1731.24,-349.76001,1047.1219,917.12201,387.26999,1557.838,-523.16199,-0.03647,67643,-0.01664,30856,-0.02779,51540,-0.00796,14753,-0.09752,180907,-0.07769,144120,-0.09649,179001,-0.07666,142214,-27119,-11920,-24194,-8995,-73634,-58435,-114736,-99537,2.42273
"6293","E02005960","South Oxfordshire 003",2519,91,375,1737,114,113,4,61,3,14,7,167.27901,76.279,349.66699,1691.921,-45.079,116.126,25.126,367.61801,1720.796,-16.204,448.67401,357.67401,244.923,1535.5129,-201.487,556.02399,465.02399,235.158,1449.824,-287.17599,-0.02793,51774,-0.01264,23416,-0.02073,38450,-0.00544,10092,-0.04931,91433,-0.03402,63075,-0.0685,127044,-0.05321,98686,-30739,-13708,-22585,-5554,-60751,-43720,-114225,-97194,0.8835
"6334","E02006004","West Oxfordshire 012",2192,54,165,1700,110,61,11,49,4,24,14,94.041,40.041,158.339,1670.3101,-29.69,76.47,22.47,161.129,1683.395,-16.605,240.91299,186.91299,128.64301,1566.511,-133.489,366.82599,312.82599,116.081,1465.9449,-234.05499,-0.02085,38662,-0.00998,18502,-0.02072,38426,-0.00985,18266,-0.04185,77626,-0.03098,57466,-0.06058,112369,-0.04971,92209,-24614,-11947,-22081,-9414,-51570,-38903,-105911,-93244,1.65041
"6359","E02005958","South Oxfordshire 001",2992,110,502,2037,144,87,5,75,4,15,13,206.52499,96.525,465.82501,1984.068,-52.932,178.59,68.59,471.836,2002.634,-34.366,567.72998,457.73001,317.49301,1798.085,-238.91499,693.74597,583.74597,306.15799,1697.785,-339.215,-0.02569,47622,-0.01452,26894,-0.01853,34374,-0.00736,13646,-0.05288,98062,-0.0417,77334,-0.07574,140480,-0.06457,119752,-32080,-16617,-25768,-10305,-70712,-55249,-137252,-121789,0.4786
"6376","E02005935","Cherwell 015",3844,171,475,2652,186,159,3,154,4,27,13,294.32599,123.326,441.84799,2576.3821,-75.618,235.69901,64.699,458.487,2611.739,-40.261,691.5,520.5,309.815,2352.1689,-299.83099,841.89899,670.89899,299.147,2236.373,-415.62799,-0.06503,120601,-0.02906,53877,-0.04907,91025,-0.0131,24301,-0.11226,208243,-0.07629,141519,-0.15839,293823,-0.12242,227099,-54602,-24648,-47013,-17059,-97571,-67617,-183326,-153372,0.38673
"6714","E02005961","South Oxfordshire 004",3008,85,247,2200,126,52,9,238,4,37,10,152.138,67.138,237.661,2153.719,-46.281,174.325,89.325,237.832,2141.6641,-58.336,399.41199,314.41199,189.772,1988.837,-211.16299,628.32397,543.32397,168.194,1822.218,-377.78201,-0.05148,95462,-0.02207,40902,-0.0612,113527,-0.03179,58967,-0.09719,180282,-0.06778,125722,-0.12488,231654,-0.09547,177094,-39552,-18142,-44184,-22774,-88718,-67308,-167810,-146400,1.44243
"6727","E02005991","Vale of White Horse 014",4598,185,671,3156,266,69,5,189,9,34,14,308.82001,123.82,629.67902,3085.6189,-70.381,273.483,88.483,641.81897,3105.5901,-50.41,667.84198,482.84201,471.427,2914.5869,-241.41299,959.58801,774.58801,426.01401,2705.4121,-450.58801,-0.07981,148036,-0.02902,53806,-0.06908,128151,-0.01829,33921,-0.11128,206423,-0.06049,112193,-0.15878,294540,-0.10798,200310,-97008,-35733,-88444,-27169,-149590,-88315,-291029,-229754,1.39558
"6755","E02005964","South Oxfordshire 007",3222,72,188,2576,144,59,14,116,3,37,13,145.58099,73.581,177.366,2521.228,-54.772,118.175,46.175,181.203,2542.3479,-33.652,376.29999,304.29999,135.944,2356.7109,-219.289,566.22198,494.22198,123.967,2200.3989,-375.60101,-0.05231,97003,-0.02606,48320,-0.04593,85194,-0.01968,36511,-0.10154,188339,-0.07529,139656,-0.13559,251507,-0.10934,202824,-52308,-25634,-46121,-19447,-109979,-83305,-211782,-185108,0.83585
