"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"244631",1,1,1,14.036,5738,249,169,0.01204,2616,172,46541,"E02005930 E02005996",249
"244632",1,1,1,20.496,8394,357,209,0.0102,3821,269,93946,"E02005930 E02005998",357
"244653",1,1,1,1.958,766,76,10,0.00511,365,24,2162,"E02005931 E02005932",76
"244654",1,1,1,2.442,952,84,15,0.00614,455,27,5606,"E02005931 E02005933",84
"244655",1,1,1,3.852,1538,131,18,0.00467,718,47,9242,"E02005931 E02005934",131
"244656",1,1,1,4.468,1732,150,21,0.0047,833,47,8017,"E02005931 E02005935",150
"244657",1,1,1,9.511,4638,278,42,0.00442,1773,110,34655,"E02005931 E02005936",278
"244658",1,1,1,16.874,6732,367,49,0.0029,3145,204,112150,"E02005931 E02005937",367
"244659",1,1,1,17.916,7380,387,54,0.00301,3340,219,114488,"E02005931 E02005939",387
"244660",1,1,1,19.499,7852,421,68,0.00349,3635,240,121076,"E02005931 E02005941",421
"244661",1,1,1,20.979,8248,385,75,0.00358,3911,259,156239,"E02005931 E02005942",385
"244662",1,1,1,22.937,9812,538,199,0.00868,4276,344,120564,"E02005931 E02005945",538
"244663",1,1,1,22.935,9136,461,84,0.00366,4275,286,161751,"E02005931 E02005947",461
"244665",1,1,1,24.816,10636,578,219,0.00882,4626,369,139427,"E02005931 E02005949",578
"244671",1,1,1,28.555,12414,868,328,0.01149,5323,462,56323,"E02005931 E02005959",868
"244673",1,1,1,25.909,10582,774,251,0.00969,4830,367,50689,"E02005931 E02005961",774
"244678",1,1,1,20.06,8346,419,204,0.01017,3739,299,60437,"E02005931 E02005996",419
"244694",1,1,1,1.427,680,48,9,0.00631,266,15,1786,"E02005932 E02005933",48
"244695",1,1,1,2.236,960,74,10,0.00447,417,29,3507,"E02005932 E02005934",74
"244696",1,1,1,3.276,1442,107,17,0.00519,611,35,4321,"E02005932 E02005935",107
"244697",1,1,1,8.142,4150,236,36,0.00442,1518,94,30893,"E02005932 E02005936",236
"244698",1,1,1,15.505,6244,325,43,0.00277,2890,187,108388,"E02005932 E02005937",325
"244699",1,1,1,16.547,6892,345,48,0.0029,3085,203,110726,"E02005932 E02005939",345
"244700",1,1,1,17.706,7158,276,56,0.00316,3301,222,159115,"E02005932 E02005940",276
"244701",1,1,1,18.13,7364,379,62,0.00342,3380,224,117314,"E02005932 E02005941",379
"244702",1,1,1,19.61,7760,343,69,0.00352,3656,242,152477,"E02005932 E02005942",343
"244703",1,1,1,21.568,9324,496,193,0.00895,4021,328,116802,"E02005932 E02005945",496
"244704",1,1,1,22.596,9850,510,202,0.00894,4212,349,134253,"E02005932 E02005946",510
"244705",1,1,1,21.566,8648,419,78,0.00362,4020,270,157989,"E02005932 E02005947",419
"244706",1,1,1,21.865,8752,440,85,0.00389,4076,269,155129,"E02005932 E02005948",440
"244707",1,1,1,23.447,10148,536,213,0.00908,4371,353,135665,"E02005932 E02005949",536
"244708",1,1,1,24.905,10850,585,231,0.00928,4643,367,137793,"E02005932 E02005952",585
"244713",1,1,1,26.098,10712,793,251,0.00962,4865,372,49855,"E02005932 E02005961",793
"244716",1,1,1,19.25,8074,362,198,0.01029,3588,290,59285,"E02005932 E02005996",362
"244717",1,1,1,23.459,10132,476,266,0.01134,4373,370,89067,"E02005932 E02005998",476
"244735",1,1,1,2.749,1164,77,17,0.00618,512,41,3925,"E02005933 E02005934",77
"244736",1,1,1,2.099,890,68,10,0.00476,391,23,2888,"E02005933 E02005935",68
"244737",1,1,1,8.314,4230,238,37,0.00445,1550,101,30621,"E02005933 E02005936",238
"244738",1,1,1,15.677,6324,327,44,0.00281,2922,195,108116,"E02005933 E02005937",327
"244739",1,1,1,16.719,6972,347,49,0.00293,3117,211,110454,"E02005933 E02005939",347
"244740",1,1,1,18.302,7444,381,63,0.00344,3412,232,117042,"E02005933 E02005941",381
"244741",1,1,1,21.74,9404,498,194,0.00892,4053,335,116530,"E02005933 E02005945",498
"244742",1,1,1,21.738,8728,421,79,0.00363,4052,278,157717,"E02005933 E02005947",421
"244743",1,1,1,22.037,8832,442,86,0.0039,4108,277,154857,"E02005933 E02005948",442
"244744",1,1,1,23.619,10228,538,214,0.00906,4403,361,135393,"E02005933 E02005949",538
"244745",1,1,1,23.074,9708,554,179,0.00776,4301,327,117767,"E02005933 E02005950",554
"244746",1,1,1,25.077,10930,587,232,0.00925,4675,375,137521,"E02005933 E02005952",587
"244752",1,1,1,24.806,10216,731,242,0.00976,4624,359,47147,"E02005933 E02005961",731
"244757",1,1,1,19.657,8362,399,209,0.01063,3664,303,53024,"E02005933 E02005996",399
"244777",1,1,1,3.073,1290,107,15,0.00488,573,32,4099,"E02005934 E02005935",107
"244778",1,1,1,7.49,3740,217,32,0.00427,1396,87,29335,"E02005934 E02005936",217
"244779",1,1,1,14.853,5834,306,39,0.00263,2769,181,106830,"E02005934 E02005937",306
"244780",1,1,1,15.895,6482,326,44,0.00277,2963,197,109168,"E02005934 E02005939",326
"244781",1,1,1,17.054,6748,257,52,0.00305,3179,216,157557,"E02005934 E02005940",257
"244782",1,1,1,17.478,6954,360,58,0.00332,3258,217,115756,"E02005934 E02005941",360
"244783",1,1,1,18.958,7350,324,65,0.00343,3534,236,150919,"E02005934 E02005942",324
"244784",1,1,1,20.916,8914,477,189,0.00904,3899,321,115244,"E02005934 E02005945",477
"244785",1,1,1,20.914,8238,400,74,0.00354,3899,264,156431,"E02005934 E02005947",400
"244786",1,1,1,21.213,8342,421,81,0.00382,3954,263,153571,"E02005934 E02005948",421
"244787",1,1,1,22.795,9738,517,209,0.00917,4249,346,134107,"E02005934 E02005949",517
"244788",1,1,1,22.25,9218,533,174,0.00782,4148,313,116481,"E02005934 E02005950",533
"244789",1,1,1,24.253,10440,566,227,0.00936,4521,361,136235,"E02005934 E02005952",566
"244790",1,1,1,24.775,10320,593,198,0.00799,4618,352,119633,"E02005934 E02005954",593
"244795",1,1,1,25.352,10462,727,259,0.01022,4726,367,65294,"E02005934 E02005961",727
"244798",1,1,1,23.04,9496,353,154,0.00668,4295,328,217836,"E02005934 E02005979",353
"244802",1,1,1,17.465,7284,348,194,0.01111,3256,269,49490,"E02005934 E02005996",348
"244803",1,1,1,21.674,9342,462,262,0.01209,4040,349,79272,"E02005934 E02005998",462
"244806",1,1,1,23.89,9286,351,81,0.00339,4453,306,156366,"E02005934 E02006003",351
"244827",1,1,1,8.016,4034,199,31,0.00387,1494,103,34892,"E02005935 E02005936",199
