"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1441","E02003208 E02004264","E02003208","E02004264","Poole 015","Purbeck 002",560,35,9,384,49,3,0,72,1,6,1,6.25,66.59,31.59,8.46,360.89999,-23.1,82.67,47.67,8.16,349.04001,-34.96,177,142,6.55,280.10001,-103.9,231.02,196.02,5.63,240.59,-143.41,-0.02011,37300,-0.00951,17647,-0.03122,57924,-0.02063,38271,-0.05214,96735,-0.04155,77082,-0.0466,86454,-0.03601,66801,-15216,-7226,-18920,-10930,-40488,-32498,-52847,-44857,4.37056,6.251,6.111,1.43025,0.9776,1.9037,2.07822,3144,4640
"1442","E02003208 E02004265","E02003208","E02004265","Poole 015","Purbeck 003",290,1,4,197,24,56,0,4,0,3,1,0.34483,7.02,6.02,3.92,192.89999,-4.1,1,0,4,197,0,23.48,22.48,3.69,181.67999,-15.32,49.58,48.58,3.33,163.89,-33.11,-0.00523,9703,-0.00451,8364,-0.00072,1339,0,0,-0.01692,31396,-0.0162,30057,-0.02353,43661,-0.02281,42322,-3546,-3034,-512,0,-11844,-11332,-25011,-24499,9.75628,14.626,14.87,1.49914,1.01668,1.41529,1.37861,6666,9300
"1443","E02003208 E02004266","E02003208","E02004266","Poole 015","Purbeck 004",159,0,5,120,5,24,0,1,0,4,0,0,1.66,1.66,4.95,118.75,-1.25,0,0,5,120,0,3.31,3.31,4.9,117.5,-2.5,12.54,12.54,4.61,110.53,-9.47,-0.00122,2262,-0.00122,2262,0,0,0,0,-0.0025,4642,-0.0025,4642,-0.00903,16758,-0.00903,16758,-1552,-1552,0,0,-3095,-3095,-11729,-11729,18.39076,24.534,27.237,1.33404,1.11017,1.62631,1.74395,11278,20574
"1444","E02003208 E02004267","E02003208","E02004267","Poole 015","Purbeck 005",99,1,4,85,1,3,0,3,0,0,2,1.0101,1.96,0.96,3.96,84.17,-0.83,2.5,1.5,3.94,83.67,-1.33,2.07,1.07,3.95,84.09,-0.91,7.81,6.81,3.72,79.11,-5.89,-0.00142,2637,-0.00071,1309,-0.00227,4209,-0.00155,2881,-0.00155,2875,-0.00083,1547,-0.00544,10099,-0.00473,8771,-2038,-988,-2625,-1575,-2125,-1075,-8039,-6989,10.68429,23.39,19.51,2.1892,0.83412,1.55195,2.25013,10846,18008
"1445","E02003208 E02004268","E02003208","E02004268","Poole 015","Purbeck 006",109,0,5,82,7,3,0,10,1,1,0,0,0.98,0.98,4.95,81.26,-0.74,0,0,5,82,0,3.13,3.13,4.85,79.64,-2.36,10.54,10.54,4.51,74.07,-7.93,-0.00071,1309,-0.00071,1309,0,0,0,0,-0.00231,4277,-0.00231,4277,-0.0057,10577,-0.0057,10577,-671,-671,0,0,-2140,-2140,-7207,-7207,12.05672,18.065,18.593,1.49833,1.02923,2.96706,2.94735,12924,16440
"1446","E02003208 E02006883","E02003208","E02006883","Poole 015","Bournemouth 023",238,19,3,134,7,4,0,67,0,4,0,7.98319,27.97,8.97,2.88,128.50999,-5.49,27.16,8.16,2.91,129.00999,-4.99,54.31,35.31,2.48,112.39,-21.61,83.98,64.98,2.08,94.23,-39.77,-0.01005,18636,-0.00322,5975,-0.0089,16506,-0.00207,3845,-0.02153,39951,-0.01471,27290,-0.02401,44544,-0.01719,31883,-5625,-1804,-5462,-1641,-10929,-7108,-16900,-13079,5.68178,6.441,8.069,1.13362,1.25276,2.46856,2.59016,3652,4474
"1447","E02003208 E02006885","E02003208","E02006885","Poole 015","Bournemouth 024",246,18,6,141,16,1,0,63,0,0,1,7.31707,27.59,9.59,5.75,135.08,-5.92,30.75,12.75,5.63,133.2,-7.8,56.13,38.13,5.04,117.32,-23.68,85.83,67.83,4.25,98.98,-42.02,-0.0104,19297,-0.00363,6730,-0.01017,18859,-0.00339,6292,-0.02395,44429,-0.01717,31862,-0.02586,47975,-0.01908,35408,-5978,-2091,-6639,-2752,-12247,-8360,-18726,-14839,5.90905,6.934,8.153,1.17345,1.1758,2.394,2.45308,4044,4342
"1448","E02003209 E02003210","E02003209","E02003210","Poole 016","Poole 017",68,9,3,49,3,1,0,1,0,2,0,13.23529,13.65,4.65,2.75,45.15,-3.85,12.13,3.13,2.68,46.52,-2.48,25.77,16.77,2.25,35,-14,31.05,22.05,1.97,30.62,-18.38,-0.00356,6605,-0.00124,2300,-0.00295,5479,-0.00063,1174,-0.00695,12898,-0.00463,8593,-0.00596,11065,-0.00364,6760,-2940,-1010,-2581,-651,-5603,-3673,-6753,-4823,4.13313,5.263,5.39,1.27337,1.02413,1.17804,1.59555,2468,2798
"1449","E02003209 E02003211","E02003209","E02003211","Poole 016","Poole 018",51,4,1,40,2,0,0,3,0,1,0,7.84314,5.97,1.97,0.96,38.32,-1.68,6.8,2.8,0.92,37.65,-2.35,11.01,7.01,0.81,34.13,-5.87,16.59,12.59,0.69,29.38,-10.62,-0.00279,5174,-0.00091,1688,-0.00297,5500,-0.00109,2014,-0.00515,9553,-0.00327,6067,-0.00557,10337,-0.00369,6851,-2185,-703,-2462,-980,-3936,-2454,-5921,-4439,6.58973,8.261,8.439,1.25362,1.02155,1.87629,2.07371,4076,4406
"1450","E02003209 E02004236","E02003209","E02004236","Poole 016","Christchurch 001",20,2,0,13,1,0,0,0,0,4,0,10,2.19,0.19,0,12.87,-0.13,2.13,0.13,0,12.9,-0.1,2,0,0,13,0,2.38,0.38,0,12.72,-0.28,-0.0018,3342,-0.00016,289,-0.00174,3230,-1e-04,177,-0.00165,3053,0,0,-0.00195,3607,-3e-04,554,-1577,-153,-1538,-114,-1424,0,-1746,-322,17.14684,22.092,24.733,1.2884,1.11955,2.06862,1.75878,10782,12296
