"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4264","E02001577","Doncaster 039",2515,25,157,2033,130,51,2,100,1,6,10,81.457,56.457,149.248,1990.967,-42.033,40.627,15.627,155.54401,2020.797,-12.203,303.98801,278.98801,109.876,1833.5909,-199.409,489.57599,464.57599,97.87,1682.917,-350.08301,-0.05468,101372,-0.03601,66756,-0.02924,54237,-0.01058,19621,-0.15392,285498,-0.13525,250882,-0.20284,376268,-0.18418,341652,-30965,-20077,-17199,-6311,-92061,-81173,-182598,-171710,1.60632
"4271","E02001613","Sheffield 003",4813,26,285,3469,287,123,28,533,12,36,14,82.192,56.192,280.22101,3430.6211,-38.379,52.374,26.374,282.664,3451.4189,-17.581,376.436,350.436,245.58501,3239.103,-229.897,851.69098,825.69098,209.83501,2909.2451,-559.755,-0.0356,65966,-0.02365,43796,-0.01708,31668,-0.00512,9498,-0.13923,258225,-0.12728,236055,-0.24538,455160,-0.23342,432990,-23341,-15541,-14225,-6425,-83566,-75766,-224596,-216796,3.85837
"4285","E02001630","Sheffield 020",2652,49,398,1204,151,28,13,659,101,9,40,86.9,37.9,392.66599,1186.939,-17.061,68.116,19.116,395.80301,1195.709,-8.291,292.64801,243.64799,358.147,1096.511,-107.489,607.63898,558.63898,306.202,957.21002,-246.78999,-0.02184,40444,-0.00909,16814,-0.01606,29768,-0.00331,6138,-0.0678,125717,-0.05506,102087,-0.09531,176758,-0.08257,153128,-10635,-4461,-9572,-3398,-30551,-24377,-66128,-59954,3.76627
"4304","E02001679","Sheffield 069",2384,35,206,1420,137,19,12,520,9,14,12,77.895,42.895,200.467,1396.731,-23.269,66.908,31.908,201.879,1404.709,-15.291,290.40302,255.403,166.317,1287.298,-132.702,531.20203,496.202,145.625,1147.913,-272.08701,-0.02665,49380,-0.01422,26324,-0.01708,31664,-0.00464,8608,-0.09037,167606,-0.07794,144550,-0.1308,242608,-0.11837,219552,-14465,-8073,-10618,-4226,-46248,-39856,-103863,-97471,2.66902
"4314","E02001593","Rotherham 016",2495,27,314,1395,249,21,20,403,38,15,13,79.576,52.576,306.95999,1366.618,-28.382,47.879,20.879,312.37601,1385.324,-9.676,373,346,259.13,1212.886,-182.114,640.68201,613.68201,221.265,1066.839,-328.16101,-0.02561,47429,-0.01706,31582,-0.0149,27626,-0.00635,11779,-0.10571,196047,-0.09716,180200,-0.13378,248131,-0.12523,232284,-11053,-7611,-5712,-2270,-45391,-41949,-90097,-86655,2.61038
"4344","E02001564","Doncaster 026",3335,43,122,2721,216,39,3,143,10,16,22,165.952,122.952,113.551,2624.0879,-96.912,80.45,37.45,120.583,2690.019,-30.981,632.21399,589.21399,78.011,2260.72,-460.28,857.35699,814.35699,74.032,2072.092,-648.90802,-0.0955,177134,-0.07584,140667,-0.04241,78664,-0.02275,42197,-0.33497,621420,-0.31531,584953,-0.33276,617318,-0.3131,580851,-49243,-39116,-23101,-12974,-185032,-174905,-284182,-274055,0.71383
"4352","E02001550","Doncaster 012",3286,108,317,2116,270,100,5,301,38,19,12,259.298,151.298,296.94101,2024.288,-91.712,162.37199,54.372,311.776,2082.7141,-33.286,859.63397,751.63397,208.616,1668.546,-447.45401,1064.209,956.20898,196.302,1527.3781,-588.62201,-0.10012,185694,-0.05829,108094,-0.06255,116025,-0.02072,38425,-0.28877,535692,-0.24693,458092,-0.27513,510397,-0.2333,432797,-46822,-26510,-30984,-10672,-138866,-118554,-199823,-179511,1.0513
"4380","E02001531","Barnsley 023",2648,27,255,1739,248,53,1,274,19,22,10,92.544,65.544,245.298,1700.436,-38.564,52.242,25.242,250.01401,1725.22,-13.78,432.66199,405.66199,185.687,1509.333,-229.66701,665.67102,638.67102,164.078,1357.645,-381.35501,-0.03049,56488,-0.02141,39638,-0.01329,24641,-0.0042,7791,-0.11818,219179,-0.10909,202329,-0.15048,279105,-0.1414,262255,-16706,-11641,-7805,-2740,-63525,-58460,-126305,-121240,2.54574
"4465","E02001524","Barnsley 016",2376,15,85,2014,115,62,8,56,1,14,6,39.769,24.769,83.419,1993.774,-20.226,28.16,13.16,84.133,2003.0959,-10.904,158.10001,143.10001,72.591,1900.722,-113.278,350.74799,335.74799,62.605,1740.701,-273.29901,-0.02377,44004,-0.01302,24079,-0.01711,31726,-0.00636,11801,-0.0702,130159,-0.05946,110234,-0.12579,233286,-0.11504,213361,-17424,-9142,-14207,-5925,-48004,-39722,-126429,-118147,3.73971
"4491","E02001522","Barnsley 014",3037,22,317,2040,308,70,2,219,12,31,16,93.94,71.94,304.686,1996.347,-43.653,50.897,28.897,308.73999,2025.307,-14.693,448.603,426.603,231.83701,1790.8409,-249.159,695.841,673.841,206.608,1626.306,-413.694,-0.03435,63638,-0.02613,48404,-0.0117,21694,-0.00348,6460,-0.13155,243983,-0.12333,228749,-0.173,320880,-0.16478,305646,-19430,-14773,-7274,-2617,-74339,-69682,-151868,-147211,1.91521
