"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"703","E02005409","North West Leicestershire 013",4788,0,11,134,7,64,3814,307,99,330,22,224.380996704102,125.380996704102,314.582000732422,-15.4180002212524,3720.12109375,-93.8789978027344,172.059005737305,73.0589981079102,319.955993652344,-10.043999671936,3760.54711914062,-53.4529991149902,766.056030273438,667.056030273438,237.899002075195,-92.1009979248047,3324.65087890625,-489.348999023438,1129.52001953125,1030.52001953125,210.546005249023,-119.454002380371,3035.28002929688,-778.719970703125,-0.0382600016891956,70986,-0.099820002913475,185123,-0.0615600012242794,114137,-0.0637800022959709,118311,-0.0255100000649691,47325,-0.259209990501404,480839,-0.220939993858337,409853,-0.32778999209404,608073,-0.289519995450974,537087,-0.0236699990928173,43915,-0.0597900003194809,110858,-0.0361200012266636,66943,-0.0397399999201298,73715,-0.0160600002855062,29800,-0.163000002503395,302339,-0.139329999685287,258424,-0.217250004410744,402987,-0.193570002913475,359072,-18845,-48801,-29956,-32619,-13774,-144440,-125595,-285180,-266335,NA
"718","E02005383","Hinckley and Bosworth 007",4328,1,15,197,5,46,3309,291,90,358,16,216.447006225586,126.446998596191,339.846008300781,-18.1539993286133,3220.35009765625,-88.6500015258789,142.304000854492,52.3040008544922,349.023986816406,-8.97599983215332,3273.81103515625,-35.1889991760254,741.211975097656,651.211975097656,249.70100402832,-108.299003601074,2867.76806640625,-441.231994628906,1059.35205078125,969.351989746094,227.117004394531,-130.882995605469,2618.2939453125,-690.705993652344,-0.0370800010859966,68792,-0.0992399975657463,184022,-0.0621500015258789,115230,-0.0578499995172024,107313,-0.0207700002938509,38521,-0.281560003757477,522310,-0.24447999894619,453518,-0.341749995946884,633976,-0.304670006036758,565184,-0.0229599997401237,42592,-0.060419999063015,112013,-0.0374599993228912,69421,-0.0364699997007847,67649,-0.0135099999606609,25057,-0.178570002317429,331221,-0.155609995126724,288629,-0.22495000064373,417255,-0.201989993453026,374663,-19102,-50571,-31469,-29941,-10839,-149859,-130757,-280933,-261831,0.0131891096670293
"766","E02002831","Leicester 005",2744,9,23,385,15,11,1734,252,67,233,15,221.998001098633,154.998001098633,216.615005493164,-16.3850002288818,1639.54895019531,-94.4509963989258,117.938003540039,50.9379997253418,225.606994628906,-7.39300012588501,1703.52099609375,-30.4790000915527,874.234985351562,807.234985351562,142.917007446289,-90.0830001831055,1245.03698730469,-488.963012695312,1040.47399902344,973.473999023438,134.220993041992,-98.7789993286133,1132.91796875,-601.081970214844,-0.0223399996757507,41435,-0.0851700007915497,157961,-0.062830001115799,116526,-0.0345400013029575,64052,-0.0121999997645617,22617,-0.393599987030029,730196,-0.371259987354279,688761,-0.345239996910095,640479,-0.322899997234344,599044,-0.0149600002914667,27740,-0.0551100000739098,102189,-0.0401500016450882,74449,-0.0229000002145767,42473,-0.00795000046491623,14733,-0.255589991807938,474137,-0.240630000829697,446397,-0.228019997477531,422990,-0.21306000649929,395250,-8567,-30899,-22332,-14386,-5819,-117995,-109428,-161445,-152878,0.00829286888080892
"832","E02005397","North West Leicestershire 001",3841,4,32,140,2,26,3045,155,96,319,22,214.945007324219,118.945999145508,298.976989746094,-20.0230007171631,2958.81909179688,-86.1809997558594,137.059997558594,41.060001373291,314.881011962891,-4.11899995803833,3012.69311523438,-32.306999206543,677.77001953125,581.77001953125,207.748001098633,-111.251998901367,2637.1259765625,-407.873992919922,911.995971679688,815.995971679688,189.610000610352,-129.389999389648,2445.96508789062,-599.034973144531,-0.0602900013327599,111850,-0.115500003099442,214207,-0.0552100017666817,102357,-0.0898400023579597,166665,-0.0295499991625547,54815,-0.229139998555183,425048,-0.168850004673004,313198,-0.274320006370544,508850,-0.214019998908043,397000,-0.0359099991619587,66605,-0.0690699964761734,128055,-0.033160001039505,61450,-0.0533099994063377,98879,-0.017400000244379,32274,-0.143910005688667,266917,-0.108010001480579,200312,-0.178749993443489,331534,-0.142839998006821,264929,-29883,-58127,-28244,-45657,-15774,-133634,-103751,-241482,-211599,0.0111823694563793
"867","E02005375","Harborough 009",3977,7,184,51,7,23,2687,171,150,678,19,269.217987060547,119.218002319336,635.3740234375,-42.6259994506836,2620.6240234375,-66.3759994506836,213.179000854492,63.1790008544922,654.765014648438,-23.2350006103516,2651.91796875,-35.0820007324219,751.424011230469,601.424011230469,446.381011962891,-231.619003295898,2366.09106445312,-320.908996582031,938.518981933594,788.518981933594,414.153015136719,-263.846984863281,2232.52197265625,-454.477996826172,-0.0266299992799759,49403,-0.0535699985921383,99332,-0.0269399993121624,49929,-0.0415499992668629,77085,-0.014919999986887,27682,-0.0807600021362305,149777,-0.0541200004518032,100374,-0.123029999434948,228210,-0.0964000001549721,178807,-0.0158099997788668,29326,-0.030009999871254,55618,-0.0142000000923872,26292,-0.0246099997311831,45638,-0.00879999995231628,16312,-0.049430001527071,91652,-0.0336199998855591,62326,-0.0834899991750717,154847,-0.0676800012588501,125521,-16270,-32243,-15973,-25844,-9574,-65836,-49566,-146989,-130719,0.0172691514333723
"936","E02002848","Leicester 022",3199,5,53,480,35,6,1250,300,94,948,28,230.322998046875,136.322998046875,901.080993652344,-46.9189987182617,1198.17199707031,-51.8279991149902,149.438003540039,55.4379997253418,927.817016601562,-20.1830005645752,1231.43395996094,-18.5659999847412,907.700012207031,813.700012207031,649.439025878906,-298.561004638672,950.72900390625,-299.27099609375,1147.28002929688,1053.28002929688,581.994995117188,-366.005004882812,851.387023925781,-398.613006591797,-0.0188299994915724,34933,-0.0456200018525124,84598,-0.0267900004982948,49665,-0.0258900001645088,48028,-0.00706000020727515,13095,-0.169550001621246,314523,-0.150720000267029,279590,-0.123819999396801,229686,-0.104989998042583,194753,-0.0129100000485778,23943,-0.0307700000703335,57030,-0.0178599990904331,33087,-0.0177999995648861,33007,-0.00488999998196959,9064,-0.11710000038147,217208,-0.104189999401569,193265,-0.0936300009489059,173665,-0.0807199999690056,149722,-6925,-17401,-10476,-10235,-3310,-60321,-53396,-88200,-81275,0.0137476875032434
"1004","E02005382","Hinckley and Bosworth 006",4511,3,19,205,14,50,3529,290,89,299,13,196.923004150391,107.922996520996,285.699005126953,-13.3009996414185,3449.62109375,-79.3789978027344,128.766998291016,39.7669982910156,294.634002685547,-4.36600017547607,3499.60400390625,-29.3959999084473,623.390991210938,534.390991210938,217.718994140625,-81.2809982299805,3150.666015625,-378.334014892578,989.018005371094,900.018005371094,193.39599609375,-105.603996276855,2861.17700195312,-667.823974609375,-0.0429599992930889,79699,-0.107390001416206,199164,-0.0644299983978271,119465,-0.0679899975657463,126118,-0.0250199995934963,46419,-0.287519991397858,533356,-0.244550004601479,453657,-0.373180001974106,692286,-0.330220013856888,612587,-0.0260600000619888,48344,-0.0652799978852272,121039,-0.0392200015485287,72695,-0.0403599999845028,74853,-0.0142900003120303,26509,-0.183290004730225,339976,-0.157230004668236,291632,-0.245179995894432,454807,-0.219109997153282,406463,-22213,-54865,-32652,-35456,-13243,-153986,-131773,-306004,-283791,0.0169693383421265
"1009","E02005403","North West Leicestershire 007",3152,2,4,90,10,28,2577,203,49,180,9,124.285003662109,75.2850036621094,172.675994873047,-7.32399988174438,2518.11791992188,-58.8819999694824,78.6520004272461,29.6520004272461,177.77099609375,-2.22900009155273,2553.41088867188,-23.5890007019043,468.930999755859,419.930999755859,131.470993041992,-48.5289993286133,2257.05200195312,-319.947998046875,722.664001464844,673.664001464844,115.375,-64.625,2049.2109375,-527.789001464844,-0.0298800002783537,55435,-0.0680399984121323,126173,-0.0381599999964237,70738,-0.046000000089407,85324,-0.0161099992692471,29889,-0.171389997005463,317911,-0.141509994864464,262476,-0.226820006966591,420743,-0.196930006146431,365308,-0.0179200004786253,33243,-0.0408699996769428,75747,-0.0229400005191565,42504,-0.0274000000208616,50827,-0.00947999954223633,17584,-0.107919998466969,200143,-0.089989997446537,166900,-0.146919995546341,272516,-0.12899999320507,239273,-14163,-32756,-18593,-22586,-8423,-94452,-80289,-190544,-176381,0.0158918600418413
"1105","E02002865","Rutland 003",3249,3,66,28,4,16,2046,179,181,712,14,275.765014648438,94.7649993896484,673.049011230469,-38.951000213623,1998.75402832031,-47.2459983825684,251.99299621582,70.9929962158203,681.468994140625,-30.5310001373291,2011.89599609375,-34.1040000915527,635.5,454.5,518.127990722656,-193.871994018555,1826.21203613281,-219.787994384766,828.120971679688,647.120971679688,459.154998779297,-252.845001220703,1711.25903320312,-334.740997314453,-0.0137400003150105,25487,-0.0241299998015165,44742,-0.0103900004178286,19255,-0.0198899991810322,36902,-0.00614999979734421,11415,-0.0461400002241135,85589,-0.0324000008404255,60102,-0.0490799993276596,91035,-0.0353399999439716,65548,-0.00972000043839216,18022,-0.0163100007921457,30230,-0.00658999988809228,12208,-0.0141000002622604,26156,-0.00438999990001321,8134,-0.032260000705719,59840,-0.0225499998778105,41818,-0.0372800007462502,69135,-0.0275599993765354,51113,-16367,-27084,-10717,-23092,-6725,-56934,-40567,-104871,-88504,0.0286944045911047
"1197","E02005364","Charnwood 020",2522,2,10,243,4,23,1781,157,103,194,5,198.332992553711,95.3330001831055,185.479995727539,-8.52000045776367,1714.01696777344,-66.9830017089844,175.953002929688,72.9530029296875,184.736999511719,-9.26299953460693,1731.93994140625,-49.060001373291,564.546020507812,461.545989990234,143.115005493164,-50.8849983215332,1466.26794433594,-314.731994628906,765.887023925781,662.887023925781,131.802993774414,-62.1969985961914,1316.35205078125,-464.648010253906,-0.0492499992251396,91351,-0.0964099988341331,178812,-0.0471599996089935,87461,-0.0768499970436096,142557,-0.0276100002229214,51206,-0.243269994854927,451289,-0.194030001759529,359938,-0.247339993715286,458835,-0.198100000619888,367484,-0.0306199993938208,56800,-0.0608800016343594,112885,-0.0302600003778934,56085,-0.0481299981474876,89273,-0.017510000616312,32473,-0.156570002436638,290418,-0.125949993729591,233618,-0.162410005927086,301252,-0.131789997220039,244452,-23522,-44775,-21253,-39257,-15735,-115322,-91800,-175523,-152001,0.010693920870495
