"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"150333",1,1,1,8.768,4544,375,128,0.0146,1634,155,13814,"E02003260 E02003271"
"150334",1,1,1,4.365,1874,132,46,0.01054,814,67,6645,"E02003260 E02003272"
"150335",1,1,1,8.463,3900,316,121,0.0143,1578,157,12193,"E02003260 E02003273"
"150336",1,1,1,5.182,2086,154,59,0.01139,966,65,8292,"E02003260 E02003274"
"150337",1,1,1,6.867,2870,286,71,0.01034,1280,100,8364,"E02003260 E02003275"
"150338",1,1,1,5.476,2652,124,59,0.01077,1021,75,8687,"E02003260 E02003276"
"150339",1,1,1,8.429,4286,338,137,0.01625,1571,164,12606,"E02003260 E02003277"
"150340",1,1,1,8.067,3896,333,82,0.01016,1504,120,10551,"E02003260 E02003278"
"150342",1,1,1,25.238,12782,515,457,0.01811,4705,431,42064,"E02003260 E02003605"
"150343",1,1,1,8.964,7028,183,228,0.02544,1671,143,14569,"E02003260 E02003636"
"150344",1,1,1,8.51,6048,200,230,0.02703,1586,188,18342,"E02003260 E02003637"
"150345",1,1,1,17.937,7380,552,222,0.01238,3344,260,22618,"E02003260 E02003643"
"150346",1,1,1,6.42,2634,327,54,0.00841,1197,98,8194,"E02003260 E02003644"
"150347",1,1,1,5.239,2382,139,54,0.01031,977,85,9201,"E02003260 E02003645"
"150348",1,1,1,8.511,3750,397,82,0.00963,1587,144,10678,"E02003260 E02003647"
"150349",1,1,1,8.05,10536,266,142,0.01764,1501,163,17318,"E02003260 E02003651"
"150362",1,1,1,5.089,2054,249,30,0.0059,949,74,5705,"E02003261 E02003262"
"150363",1,1,1,2.548,1058,85,19,0.00746,475,37,3235,"E02003261 E02003263"
"150364",1,1,1,1.733,752,52,18,0.01039,323,24,2183,"E02003261 E02003264"
"150365",1,1,1,4.344,2420,118,82,0.01888,810,102,8010,"E02003261 E02003265"
"150366",1,1,1,7.407,3052,341,47,0.00635,1381,115,8819,"E02003261 E02003266"
"150367",1,1,1,3.24,1450,95,32,0.00988,604,56,4584,"E02003261 E02003267"
"150368",1,1,1,3.89,1674,107,30,0.00771,725,59,5214,"E02003261 E02003268"
"150369",1,1,1,4.689,2786,106,89,0.01898,874,109,8346,"E02003261 E02003269"
"150370",1,1,1,6.338,2738,200,54,0.00852,1181,101,9203,"E02003261 E02003270"
"150371",1,1,1,5.925,3496,201,108,0.01823,1104,119,10525,"E02003261 E02003271"
"150372",1,1,1,4.053,1860,100,40,0.00987,756,66,6639,"E02003261 E02003272"
"150373",1,1,1,5.686,2916,147,105,0.01847,1060,122,9114,"E02003261 E02003273"
"150374",1,1,1,4.054,1924,101,55,0.01357,756,54,7005,"E02003261 E02003274"
"150375",1,1,1,4.09,1886,117,55,0.01345,762,65,5285,"E02003261 E02003275"
"150376",1,1,1,5.412,2794,137,95,0.01755,1009,94,7811,"E02003261 E02003276"
"150377",1,1,1,5.29,2912,164,66,0.01248,986,85,7472,"E02003261 E02003278"
"150379",1,1,1,18.988,12370,323,366,0.01928,3540,306,31526,"E02003261 E02003610"
"150380",1,1,1,7.608,5504,177,186,0.02445,1418,123,11185,"E02003261 E02003636"
"150381",1,1,1,8.733,3606,456,64,0.00733,1628,137,10409,"E02003261 E02003644"
"150382",1,1,1,7.321,3212,219,66,0.00902,1365,120,11067,"E02003261 E02003645"
"150383",1,1,1,10.824,4722,526,92,0.0085,2018,183,12893,"E02003261 E02003647"
"150393",1,1,1,2.663,1084,134,21,0.00789,496,39,3077,"E02003262 E02003263"
"150394",1,1,1,4.849,1920,247,32,0.0066,904,67,5359,"E02003262 E02003264"
"150395",1,1,1,7.526,3652,318,100,0.01329,1403,147,11396,"E02003262 E02003265"
"150396",1,1,1,2.84,1222,111,23,0.0081,529,48,3859,"E02003262 E02003266"
"150397",1,1,1,4.459,1972,164,44,0.00987,831,73,5963,"E02003262 E02003267"
"150398",1,1,1,1.642,844,42,28,0.01705,306,29,2655,"E02003262 E02003268"
"150399",1,1,1,7.871,4018,306,107,0.01359,1467,154,11732,"E02003262 E02003269"
"150400",1,1,1,2.441,1102,42,26,0.01065,455,43,4194,"E02003262 E02003270"
"150401",1,1,1,9.107,4728,401,126,0.01384,1698,164,13911,"E02003262 E02003271"
"150402",1,1,1,3.362,1612,51,40,0.0119,627,56,5379,"E02003262 E02003272"
"150403",1,1,1,8.802,4084,342,119,0.01352,1641,165,12290,"E02003262 E02003273"
"150404",1,1,1,4.223,1880,77,63,0.01492,787,57,7227,"E02003262 E02003274"
"150405",1,1,1,7.206,3054,312,69,0.00958,1343,108,8461,"E02003262 E02003275"
"150406",1,1,1,4.425,2272,66,57,0.01288,825,66,7300,"E02003262 E02003276"
"150407",1,1,1,6.614,3144,107,102,0.01542,1233,105,10739,"E02003262 E02003278"
"150413",1,1,1,14.677,6340,326,269,0.01833,2736,230,27852,"E02003262 E02003613"
"150414",1,1,1,11.042,6398,295,230,0.02083,2058,187,19715,"E02003262 E02003615"
"150417",1,1,1,7.769,3618,182,130,0.01673,1448,148,19122,"E02003262 E02003637"
"150418",1,1,1,15.683,6522,451,208,0.01326,2923,232,19873,"E02003262 E02003643"
"150419",1,1,1,4.166,1776,226,40,0.0096,777,70,5449,"E02003262 E02003644"
"150420",1,1,1,3.424,1576,61,38,0.0111,638,63,6058,"E02003262 E02003645"
"150421",1,1,1,6.982,3098,299,74,0.0106,1302,126,8747,"E02003262 E02003646"
"150422",1,1,1,6.257,2892,296,68,0.01087,1166,116,7933,"E02003262 E02003647"
"150423",1,1,1,5.754,3848,104,84,0.0146,1073,120,11206,"E02003262 E02003649"
"150424",1,1,1,9.654,4904,351,136,0.01409,1800,151,13233,"E02003262 E02003650"
"150425",1,1,1,6.677,9982,206,136,0.02037,1245,150,15451,"E02003262 E02003651"
"150436",1,1,1,2.042,886,34,25,0.01224,381,26,2907,"E02003263 E02003264"
"150437",1,1,1,4.719,2618,105,93,0.01971,880,105,8944,"E02003263 E02003265"
"150438",1,1,1,4.981,2098,226,38,0.00763,929,82,6230,"E02003263 E02003266"
"150439",1,1,1,1.796,888,31,23,0.01281,335,34,2887,"E02003263 E02003267"
"150440",1,1,1,1.768,780,31,11,0.00622,330,27,2515,"E02003263 E02003268"
"150441",1,1,1,5.064,2984,93,100,0.01975,944,112,9280,"E02003263 E02003269"
"150442",1,1,1,3.839,1744,77,43,0.0112,716,67,6515,"E02003263 E02003270"
"150443",1,1,1,6.3,3694,188,119,0.01889,1174,122,11459,"E02003263 E02003271"
"150444",1,1,1,2.333,1082,29,23,0.00986,435,40,4030,"E02003263 E02003272"
"150445",1,1,1,5.995,3050,129,112,0.01868,1118,124,9838,"E02003263 E02003273"
"150446",1,1,1,2.862,1222,67,42,0.01468,534,37,5445,"E02003263 E02003274"
"150447",1,1,1,4.399,2020,99,62,0.01409,820,66,6009,"E02003263 E02003275"
"150448",1,1,1,4.229,2034,53,36,0.00851,788,61,6680,"E02003263 E02003276"
"150449",1,1,1,5.961,3436,151,128,0.02147,1111,131,10251,"E02003263 E02003277"
"150450",1,1,1,5.599,3046,146,73,0.01304,1044,86,8196,"E02003263 E02003278"
"150454",1,1,1,18.301,7974,402,305,0.01667,3412,295,33981,"E02003263 E02003610"
"150460",1,1,1,8.872,6008,164,201,0.02266,1654,139,13515,"E02003263 E02003636"
"150461",1,1,1,10.194,6590,262,215,0.02109,1900,208,20924,"E02003263 E02003637"
"150462",1,1,1,17.824,7398,566,223,0.01251,3323,266,22244,"E02003263 E02003643"
