"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2650","E02003651","Central Bedfordshire 033",2667,26,114,2121,140,157,10,65,7,24,3,73.743,47.743,110.142,2083.072,-37.928,40.135,14.135,113.196,2109.1299,-11.87,286.73999,260.73999,89.085,1919.181,-201.819,492.905,466.905,78.594,1748.608,-372.392,-0.02613,48409,-0.01789,33127,-0.01353,25093,-0.00529,9811,-0.08356,154955,-0.07532,139673,-0.11453,212396,-0.10628,197114,-22621,-15229,-12134,-4742,-75644,-68252,-156895,-149503,1.79471
"2696","E02003600","Central Bedfordshire 002",2814,96,244,2007,124,248,5,51,5,25,9,182.87801,86.878,227.629,1947.488,-59.512,142.99001,46.99,231.864,1977.526,-29.474,486.92401,390.92401,165.44,1744.861,-262.13901,620.86298,524.86298,156.97099,1636.583,-370.41699,-0.03696,68522,-0.0237,43938,-0.02338,43354,-0.01012,18770,-0.09473,175706,-0.08148,151122,-0.10995,203948,-0.09669,179364,-31507,-19909,-19768,-8170,-85991,-74393,-148189,-136591,0.75354
"2753","E02003622","Bedford 007",3675,193,341,2397,267,110,4,305,26,22,10,399.75699,206.757,315.51599,2261.4141,-135.586,278.30301,85.303,326.48401,2344.738,-52.262,1164.907,971.90698,216.2,1763.34,-633.65997,1317.446,1124.446,208.621,1650.292,-746.70801,-0.0878,162845,-0.04951,91813,-0.05255,97480,-0.01426,26448,-0.23098,428496,-0.19269,357464,-0.20769,385286,-0.1694,314254,-52419,-29445,-33712,-10738,-149440,-126466,-196301,-173327,0.41482
"2800","E02003606","Central Bedfordshire 008",3244,25,107,2635,167,209,3,58,4,20,16,73.749,48.749,103.921,2594.5901,-40.41,45.094,20.094,105.929,2617.9031,-17.097,250.908,225.908,87.835,2452.9629,-182.037,475,450,78.337,2262.082,-372.918,-0.03885,72010,-0.02563,47491,-0.02252,41775,-0.0093,17256,-0.10132,187922,-0.0881,163403,-0.15555,288525,-0.14233,264006,-34154,-22554,-19718,-8118,-95230,-83630,-215185,-203585,1.67569
"3007","E02003258","Luton 001",4293,51,220,3304,234,273,10,154,14,17,16,191.74899,140.74899,209.19901,3192.5569,-111.443,107.653,56.653,217.136,3257.8059,-46.194,835.302,784.302,148.951,2693.0859,-610.914,1140.465,1089.465,135.403,2442.113,-861.888,-0.07237,134198,-0.05253,97389,-0.0357,66208,-0.01585,29399,-0.29413,545638,-0.27429,508829,-0.30692,569362,-0.28707,532553,-45301,-32938,-28091,-15728,-173096,-160733,-275934,-263571,1.40656
"3044","E02003272","Luton 015",3234,22,544,1774,353,96,7,306,77,6,49,123.798,101.798,520.02301,1722.45,-51.55,32.702,10.702,541.776,1768.88,-5.12,666.13501,644.13501,376.57901,1456.9,-317.10001,881.68903,859.68903,338.883,1338.369,-435.63101,-0.02366,43831,-0.01989,36850,-0.00475,8807,-0.00099,1826,-0.10804,200377,-0.10427,193396,-0.11849,219771,-0.11473,212790,-12943,-11201,-2447,-705,-56797,-55055,-99248,-97506,1.7282
"3406","E02003629","Bedford 014",4075,241,590,2470,325,121,7,242,29,27,23,470.76599,229.76601,541.883,2330.7061,-139.29401,361.44699,120.447,557.284,2404.4031,-65.597,1313.7469,1072.7469,356.81601,1826.11,-643.89001,1448.542,1207.542,347.90302,1726.936,-743.06403,-0.0787,145959,-0.04026,74662,-0.0499,92568,-0.01147,21271,-0.18471,342645,-0.14628,271348,-0.17087,316972,-0.13244,245675,-51935,-26843,-35259,-10167,-133966,-108874,-182591,-157499,0.43663
"3592","E02003276","Luton 019",3033,32,607,1382,414,125,13,325,76,7,52,111.711,79.711,583.005,1347.897,-34.103,48.139,16.139,601.42401,1375.634,-6.366,543.38898,511.38901,437.95599,1170.172,-211.828,767.13397,735.13397,386.039,1067.361,-314.63901,-0.02037,37724,-0.01501,27795,-0.00668,12381,-0.00132,2452,-0.07993,148230,-0.07457,138301,-0.09032,167528,-0.08497,157599,-10361,-7774,-3642,-1055,-41231,-38644,-74595,-72008,2.09846
"3641","E02003274","Luton 017",3317,53,700,1400,483,177,15,368,68,13,40,145.408,92.408,670.63,1364.795,-35.205,68.258,15.258,695.00702,1393.495,-6.505,629.00598,576.00598,496.19101,1192.313,-207.687,840.047,787.047,447.19199,1101.399,-298.60101,-0.0329,60970,-0.0174,32225,-0.01727,32032,-0.00178,3287,-0.09535,176836,-0.07985,148091,-0.10866,201548,-0.09317,172803,-14954,-8275,-8193,-1514,-44628,-37949,-77971,-71292,1.81894
"3830","E02003267","Luton 010",4271,59,651,2395,450,225,15,314,98,14,50,189.483,130.483,621.45099,2325.5,-69.5,95.495,36.495,643.82001,2374.0129,-20.987,853.71399,794.71399,449.461,1986.109,-408.89099,1148.09,1089.09,401.117,1816.426,-578.57397,-0.04345,80550,-0.02768,51301,-0.02059,38180,-0.00482,8931,-0.15165,281299,-0.13588,252050,-0.17025,315803,-0.15448,286554,-24918,-15764,-13292,-4138,-83907,-74753,-142690,-133536,1.7893
